reference_number,role,citation_short,year,journal,volume,issue,pages_or_article,doi,url,title,authors
1,closest_overlap_and_main_ordered_dataset_context,Peng et al.,2026,Cancer Cell,44,2,321-339.e13,10.1016/j.ccell.2025.10.004,https://doi.org/10.1016/j.ccell.2025.10.004,Multimodal spatial-omics reveal co-evolution of alveolar progenitors and proinflammatory niches in progression of lung precursor lesions,"Peng, F.; Sinjab, A.; Dai, Y.; Treekitkarnmongkol, W.; Yang, S.; Gomez Bolanos, L.I."
2,discovery_spatial_scrna_context,Zhu et al.,2022,Experimental & Molecular Medicine,54,11,2060-2076,10.1038/s12276-022-00896-9,https://doi.org/10.1038/s12276-022-00896-9,Delineating the dynamic evolution from preneoplasia to invasive lung adenocarcinoma by integrating single-cell RNA sequencing and spatial transcriptomics,"Zhu, J.; Fan, Y.; Xiong, Y.; Wang, W.; Chen, J.; Xia, Y."
3,mif_cd74_luad_biological_plausibility,Cao et al.,2023,Laboratory Investigation,103,3,100034,10.1016/j.labinv.2022.100034,https://doi.org/10.1016/j.labinv.2022.100034,Tumor necrosis factor alpha-dependent lung inflammation promotes the progression of lung adenocarcinoma originating from alveolar type II cells by upregulating MIF-CD74,"Cao, L.; Wang, X.; Liu, X.; Meng, W.; Guo, W.; Duan, C."
4,mif_cd74_cd44_receptor_biology,Shi et al.,2006,Immunity,25,4,595-606,10.1016/j.immuni.2006.08.020,https://doi.org/10.1016/j.immuni.2006.08.020,CD44 is the signaling component of the macrophage migration inhibitory factor-CD74 receptor complex,"Shi, X.; Leng, L.; Wang, T.; Wang, W.; Du, X.; Li, J."
5,mif_cd74_cxcr4_receptor_biology,Schwartz et al.,2009,FEBS Letters,583,17,2749-2757,10.1016/j.febslet.2009.07.058,https://doi.org/10.1016/j.febslet.2009.07.058,A functional heteromeric MIF receptor formed by CD74 and CXCR4,"Schwartz, V.; Lue, H.; Kraemer, S.; Korbiel, J.; Krohn, R.; Ohl, K."
6,cd74_spatial_boundary,Zhang et al.,2023,iScience,26,10,107699,10.1016/j.isci.2023.107699,https://doi.org/10.1016/j.isci.2023.107699,Spatial downregulation of CD74 signatures may drive invasive component development in part-solid lung adenocarcinoma,"Zhang, J.T.; Zhang, J.; Wang, S.R.; Yan, L.X.; Qin, J.; Yin, K."
7,trem2_macrophage_state_context,Zhang et al.,2022,"Cancer Immunology, Immunotherapy",71,10,2511-2522,10.1007/s00262-022-03173-w,https://doi.org/10.1007/s00262-022-03173-w,Immunosuppressive TREM2(+) macrophages are associated with undesirable prognosis and responses to anti-PD-1 immunotherapy in non-small cell lung cancer,"Zhang, H.; Liu, Z.; Wen, H.; Guo, Y.; Xu, F.; Zhu, Q."
8,spp1_macrophage_state_context,Wang et al.,2023,Journal of Thoracic Disease,15,8,4456-4471,10.21037/jtd-23-1012,https://doi.org/10.21037/jtd-23-1012,Dynamic changes in macrophage subtypes during lung cancer progression and metastasis at single-cell resolution,"Wang, J.; Wu, W.; Xia, J.; Chen, L.; Liu, D.; Wang, G."
9,gse131907_specificity_reference,Kim et al.,2020,Nature Communications,11,1,2285,10.1038/s41467-020-16164-1,https://doi.org/10.1038/s41467-020-16164-1,Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma,"Kim, N.; Kim, H.K.; Lee, K.; Hong, Y.; Cho, J.H.; Choi, J.W."
10,luad_multiregion_scrna_context,Sinjab et al.,2021,Cancer Discovery,11,10,2506-2523,10.1158/2159-8290.CD-20-1285,https://doi.org/10.1158/2159-8290.CD-20-1285,Resolving the spatial and cellular architecture of lung adenocarcinoma by multiregion single-cell sequencing,"Sinjab, A.; Han, G.; Treekitkarnmongkol, W.; Hara, K.; Brennan, P.M.; Dang, M."
