perturbation_id,perturbed_genes,axis_id,evidence_short,row_label,stage,n_samples,coupling_loss
mif_cd74_cxcr4_gene_MIF_x0,MIF,mif_cd74_cxcr4,source-side,MIF (source-side),Normal,1,1.0
mif_cd74_cxcr4_gene_MIF_x0,MIF,mif_cd74_cxcr4,source-side,MIF (source-side),AAH,11,1.0
mif_cd74_cxcr4_gene_MIF_x0,MIF,mif_cd74_cxcr4,source-side,MIF (source-side),AIS,14,1.0
mif_cd74_cxcr4_gene_MIF_x0,MIF,mif_cd74_cxcr4,source-side,MIF (source-side),MIA,4,1.0
mif_cd74_cxcr4_gene_MIF_x0,MIF,mif_cd74_cxcr4,source-side,MIF (source-side),LUAD,26,1.0
mif_cd74_cxcr4_gene_CD74_x0,CD74,mif_cd74_cxcr4,receptor-side,CD74 (receptor-side),Normal,1,0.8546383430329639
mif_cd74_cxcr4_gene_CD74_x0,CD74,mif_cd74_cxcr4,receptor-side,CD74 (receptor-side),AAH,11,0.7409864773085938
mif_cd74_cxcr4_gene_CD74_x0,CD74,mif_cd74_cxcr4,receptor-side,CD74 (receptor-side),AIS,14,0.7682638650804314
mif_cd74_cxcr4_gene_CD74_x0,CD74,mif_cd74_cxcr4,receptor-side,CD74 (receptor-side),MIA,4,0.7840591814677432
mif_cd74_cxcr4_gene_CD74_x0,CD74,mif_cd74_cxcr4,receptor-side,CD74 (receptor-side),LUAD,26,0.7335137836000024
mif_cd74_cxcr4_gene_CD44_x0,CD44,mif_cd74_cxcr4,receptor-side,CD44 (receptor-side),Normal,1,0.1290868769908705
mif_cd74_cxcr4_gene_CD44_x0,CD44,mif_cd74_cxcr4,receptor-side,CD44 (receptor-side),AAH,11,0.21789318045360506
mif_cd74_cxcr4_gene_CD44_x0,CD44,mif_cd74_cxcr4,receptor-side,CD44 (receptor-side),AIS,14,0.1951320855371706
mif_cd74_cxcr4_gene_CD44_x0,CD44,mif_cd74_cxcr4,receptor-side,CD44 (receptor-side),MIA,4,0.17912906071497758
mif_cd74_cxcr4_gene_CD44_x0,CD44,mif_cd74_cxcr4,receptor-side,CD44 (receptor-side),LUAD,26,0.20300827039759226
mif_cd74_cxcr4_gene_CXCR4_x0,CXCR4,mif_cd74_cxcr4,receptor-side,CXCR4 (receptor-side),Normal,1,0.0162747799761658
mif_cd74_cxcr4_gene_CXCR4_x0,CXCR4,mif_cd74_cxcr4,receptor-side,CXCR4 (receptor-side),AAH,11,0.041120342237801415
mif_cd74_cxcr4_gene_CXCR4_x0,CXCR4,mif_cd74_cxcr4,receptor-side,CXCR4 (receptor-side),AIS,14,0.036604049382397925
mif_cd74_cxcr4_gene_CXCR4_x0,CXCR4,mif_cd74_cxcr4,receptor-side,CXCR4 (receptor-side),MIA,4,0.036811757817279224
mif_cd74_cxcr4_gene_CXCR4_x0,CXCR4,mif_cd74_cxcr4,receptor-side,CXCR4 (receptor-side),LUAD,26,0.06347794600240522
spp1_trem2_macrophage_epithelial_gene_SPP1_x0,SPP1,spp1_trem2_macrophage_epithelial,source-side,SPP1 (source-side),Normal,1,0.0012173734193769
spp1_trem2_macrophage_epithelial_gene_SPP1_x0,SPP1,spp1_trem2_macrophage_epithelial,source-side,SPP1 (source-side),AAH,11,0.01159212307227448
spp1_trem2_macrophage_epithelial_gene_SPP1_x0,SPP1,spp1_trem2_macrophage_epithelial,source-side,SPP1 (source-side),AIS,14,0.01939318619359286
spp1_trem2_macrophage_epithelial_gene_SPP1_x0,SPP1,spp1_trem2_macrophage_epithelial,source-side,SPP1 (source-side),MIA,4,0.0169850585782209
spp1_trem2_macrophage_epithelial_gene_SPP1_x0,SPP1,spp1_trem2_macrophage_epithelial,source-side,SPP1 (source-side),LUAD,26,0.13734108790198807
c1q_apoe_trem2_lgals3_gene_TREM2_x0,TREM2,c1q_apoe_trem2_lgals3,receptor-side,TREM2 (receptor-side),Normal,1,0.0454667063535875
c1q_apoe_trem2_lgals3_gene_TREM2_x0,TREM2,c1q_apoe_trem2_lgals3,receptor-side,TREM2 (receptor-side),AAH,11,0.03444355940464504
c1q_apoe_trem2_lgals3_gene_TREM2_x0,TREM2,c1q_apoe_trem2_lgals3,receptor-side,TREM2 (receptor-side),AIS,14,0.03758893265485056
c1q_apoe_trem2_lgals3_gene_TREM2_x0,TREM2,c1q_apoe_trem2_lgals3,receptor-side,TREM2 (receptor-side),MIA,4,0.0236160069938987
c1q_apoe_trem2_lgals3_gene_TREM2_x0,TREM2,c1q_apoe_trem2_lgals3,receptor-side,TREM2 (receptor-side),LUAD,26,0.04481899338266156
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,PLA2G7,spp1_trem2_macrophage_epithelial,source-side,PLA2G7 (source-side),Normal,1,0.007703496659238
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,PLA2G7,spp1_trem2_macrophage_epithelial,source-side,PLA2G7 (source-side),AAH,11,0.019716128603689532
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,PLA2G7,spp1_trem2_macrophage_epithelial,source-side,PLA2G7 (source-side),AIS,14,0.02092840346289466
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,PLA2G7,spp1_trem2_macrophage_epithelial,source-side,PLA2G7 (source-side),MIA,4,0.013301526848892898
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,PLA2G7,spp1_trem2_macrophage_epithelial,source-side,PLA2G7 (source-side),LUAD,26,0.021407180156546243
