accession,filename,url,local_path,remote_bytes,local_bytes,download_complete,download_status
GSE308103,GSE308103_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE308nnn/GSE308103/suppl/GSE308103_RAW.tar,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE308103\GSE308103_RAW.tar,1561128960,0,False,missing
GSE308103,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE308nnn/GSE308103/suppl/filelist.txt,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE308103\filelist.txt,1218,0,False,missing
GSE307534,GSE307534_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE307nnn/GSE307534/suppl/GSE307534_RAW.tar,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE307534\GSE307534_RAW.tar,10090321920,0,False,missing
GSE307534,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE307nnn/GSE307534/suppl/filelist.txt,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE307534\filelist.txt,952,0,False,missing
GSE164789,GSE164789_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164789/suppl/GSE164789_RAW.tar,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE164789\GSE164789_RAW.tar,2117703680,0,False,missing
GSE164789,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164789/suppl/filelist.txt,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE164789\filelist.txt,2299,0,False,missing
GSE131907,GSE131907_Lung_Cancer_Feature_Summary.xlsx,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131907/suppl/GSE131907_Lung_Cancer_Feature_Summary.xlsx,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE131907\GSE131907_Lung_Cancer_Feature_Summary.xlsx,19500,0,False,missing
GSE131907,GSE131907_Lung_Cancer_cell_annotation.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131907/suppl/GSE131907_Lung_Cancer_cell_annotation.txt.gz,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE131907\GSE131907_Lung_Cancer_cell_annotation.txt.gz,1886187,0,False,missing
GSE131907,GSE131907_Lung_Cancer_normalized_log2TPM_matrix.rds.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131907/suppl/GSE131907_Lung_Cancer_normalized_log2TPM_matrix.rds.gz,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE131907\GSE131907_Lung_Cancer_normalized_log2TPM_matrix.rds.gz,865847230,0,False,missing
GSE131907,GSE131907_Lung_Cancer_normalized_log2TPM_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131907/suppl/GSE131907_Lung_Cancer_normalized_log2TPM_matrix.txt.gz,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE131907\GSE131907_Lung_Cancer_normalized_log2TPM_matrix.txt.gz,3065932358,0,False,missing
GSE131907,GSE131907_Lung_Cancer_raw_UMI_matrix.rds.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131907/suppl/GSE131907_Lung_Cancer_raw_UMI_matrix.rds.gz,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE131907\GSE131907_Lung_Cancer_raw_UMI_matrix.rds.gz,633500069,0,False,missing
GSE131907,GSE131907_Lung_Cancer_raw_UMI_matrix.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131907/suppl/GSE131907_Lung_Cancer_raw_UMI_matrix.txt.gz,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE131907\GSE131907_Lung_Cancer_raw_UMI_matrix.txt.gz,408736818,0,False,missing
