Cell_type.refined,n_cells,mean_expression,median_expression,gene
B lymphocytes,27657,0.011088905,0.0,EPCAM
Endothelial cells,2107,0.030731607,0.0,EPCAM
Epithelial cells,36467,1.5270214,1.3862944,EPCAM
Fibroblasts,3794,0.043401815,0.0,EPCAM
MAST cells,3396,0.013829243,0.0,EPCAM
Myeloid cells,42245,0.037544504,0.0,EPCAM
T/NK cells,64403,0.010081405,0.0,EPCAM
,28437,0.015184245,0.0,EPCAM
B lymphocytes,27657,0.020058215,0.0,KRT8
Endothelial cells,2107,0.08392587,0.0,KRT8
Epithelial cells,36467,1.7875321,1.7917595,KRT8
Fibroblasts,3794,0.118388034,0.0,KRT8
MAST cells,3396,0.019255418,0.0,KRT8
Myeloid cells,42245,0.0700598,0.0,KRT8
T/NK cells,64403,0.021178031,0.0,KRT8
,28437,0.030416345,0.0,KRT8
B lymphocytes,27657,0.03377497,0.0,KRT18
Endothelial cells,2107,0.16255867,0.0,KRT18
Epithelial cells,36467,2.0868473,2.0794415,KRT18
Fibroblasts,3794,0.14128752,0.0,KRT18
MAST cells,3396,0.02398456,0.0,KRT18
Myeloid cells,42245,0.08489938,0.0,KRT18
T/NK cells,64403,0.03457695,0.0,KRT18
,28437,0.042386603,0.0,KRT18
B lymphocytes,27657,0.025064314,0.0,KRT19
Endothelial cells,2107,0.0381061,0.0,KRT19
Epithelial cells,36467,2.1193964,2.0794415,KRT19
Fibroblasts,3794,0.11653202,0.0,KRT19
MAST cells,3396,0.16027886,0.0,KRT19
Myeloid cells,42245,0.07023613,0.0,KRT19
T/NK cells,64403,0.026818063,0.0,KRT19
,28437,0.035299074,0.0,KRT19
B lymphocytes,27657,0.013211171,0.0,CLDN4
Endothelial cells,2107,0.025627725,0.0,CLDN4
Epithelial cells,36467,1.6479083,1.609438,CLDN4
Fibroblasts,3794,0.049175583,0.0,CLDN4
MAST cells,3396,0.0152233085,0.0,CLDN4
Myeloid cells,42245,0.041796036,0.0,CLDN4
T/NK cells,64403,0.011158672,0.0,CLDN4
,28437,0.014804472,0.0,CLDN4
B lymphocytes,27657,0.021224258,0.0,MUC1
Endothelial cells,2107,0.03964506,0.0,MUC1
Epithelial cells,36467,1.7209263,1.7917595,MUC1
Fibroblasts,3794,0.08267282,0.0,MUC1
MAST cells,3396,0.037675407,0.0,MUC1
Myeloid cells,42245,0.060474828,0.0,MUC1
T/NK cells,64403,0.015681539,0.0,MUC1
,28437,0.01871493,0.0,MUC1
B lymphocytes,27657,0.17364365,0.0,SFTPC
Endothelial cells,2107,0.60977644,0.6931472,SFTPC
Epithelial cells,36467,0.9426874,0.0,SFTPC
Fibroblasts,3794,0.53592587,0.0,SFTPC
MAST cells,3396,0.7748557,0.6931472,SFTPC
Myeloid cells,42245,0.67782444,0.0,SFTPC
T/NK cells,64403,0.23137005,0.0,SFTPC
,28437,0.30759236,0.0,SFTPC
B lymphocytes,27657,0.04453697,0.0,SFTPA1
Endothelial cells,2107,0.12221425,0.0,SFTPA1
Epithelial cells,36467,0.99406314,0.0,SFTPA1
Fibroblasts,3794,0.11473734,0.0,SFTPA1
MAST cells,3396,0.15800378,0.0,SFTPA1
Myeloid cells,42245,0.19124733,0.0,SFTPA1
T/NK cells,64403,0.0460682,0.0,SFTPA1
,28437,0.06132879,0.0,SFTPA1
B lymphocytes,27657,0.04708172,0.0,SFTPA2
Endothelial cells,2107,0.13162915,0.0,SFTPA2
Epithelial cells,36467,0.9976121,0.0,SFTPA2
Fibroblasts,3794,0.11268739,0.0,SFTPA2
MAST cells,3396,0.16786963,0.0,SFTPA2
Myeloid cells,42245,0.21478392,0.0,SFTPA2
T/NK cells,64403,0.050121505,0.0,SFTPA2
,28437,0.0638122,0.0,SFTPA2
B lymphocytes,27657,0.08889146,0.0,LYZ
Endothelial cells,2107,0.228024,0.0,LYZ
Epithelial cells,36467,0.18816307,0.0,LYZ
Fibroblasts,3794,0.16038159,0.0,LYZ
MAST cells,3396,0.16390511,0.0,LYZ
Myeloid cells,42245,2.6342669,2.7725887,LYZ
T/NK cells,64403,0.081120595,0.0,LYZ
,28437,0.08822585,0.0,LYZ
B lymphocytes,27657,0.09880177,0.0,LST1
Endothelial cells,2107,0.073605515,0.0,LST1
Epithelial cells,36467,0.051279094,0.0,LST1
Fibroblasts,3794,0.07755357,0.0,LST1
MAST cells,3396,0.08447775,0.0,LST1
Myeloid cells,42245,1.696732,1.7917595,LST1
T/NK cells,64403,0.061228,0.0,LST1
,28437,0.074925184,0.0,LST1
B lymphocytes,27657,0.07417288,0.0,CD68
Endothelial cells,2107,0.1078934,0.0,CD68
Epithelial cells,36467,0.14189449,0.0,CD68
Fibroblasts,3794,0.20842338,0.0,CD68
MAST cells,3396,0.23809841,0.0,CD68
Myeloid cells,42245,1.9058247,1.9459101,CD68
T/NK cells,64403,0.027751816,0.0,CD68
,28437,0.04854393,0.0,CD68
B lymphocytes,27657,0.0044275452,0.0,CD163
Endothelial cells,2107,0.016499216,0.0,CD163
Epithelial cells,36467,0.016468674,0.0,CD163
Fibroblasts,3794,0.019370418,0.0,CD163
MAST cells,3396,0.010682927,0.0,CD163
