Sample_Origin,Cell_type.refined,n_cells,mean_expression,median_expression,gene
PE,B lymphocytes,3285,0.009495167,0.0,EPCAM
PE,Epithelial cells,396,1.5867593,1.3862944,EPCAM
PE,Myeloid cells,3063,0.02472219,0.0,EPCAM
PE,T/NK cells,9192,0.008986324,0.0,EPCAM
PE,,4368,0.009706905,0.0,EPCAM
mBrain,B lymphocytes,1311,0.05882745,0.0,EPCAM
mBrain,Endothelial cells,159,0.19839604,0.0,EPCAM
mBrain,Epithelial cells,15463,1.71852,1.609438,EPCAM
mBrain,Fibroblasts,444,0.19126214,0.0,EPCAM
mBrain,MAST cells,508,0.044692833,0.0,EPCAM
mBrain,Myeloid cells,5657,0.10818557,0.0,EPCAM
mBrain,T/NK cells,2683,0.051953226,0.0,EPCAM
mBrain,,2835,0.065548986,0.0,EPCAM
mLN,B lymphocytes,6062,0.013436418,0.0,EPCAM
mLN,Epithelial cells,3053,1.9179271,2.0794415,EPCAM
mLN,Myeloid cells,5442,0.061962124,0.0,EPCAM
mLN,T/NK cells,5069,0.020694572,0.0,EPCAM
mLN,,1819,0.03054951,0.0,EPCAM
nLN,B lymphocytes,10584,0.0006932102,0.0,EPCAM
nLN,Myeloid cells,1288,0.0027822352,0.0,EPCAM
nLN,T/NK cells,19478,9.1988884e-05,0.0,EPCAM
nLN,,6096,0.0011563739,0.0,EPCAM
nLung,B lymphocytes,634,0.0021865843,0.0,EPCAM
nLung,Endothelial cells,1295,0.007493483,0.0,EPCAM
nLung,Epithelial cells,3703,0.80671823,0.6931472,EPCAM
nLung,Fibroblasts,1585,0.015198898,0.0,EPCAM
nLung,MAST cells,1079,0.0044967844,0.0,EPCAM
nLung,Myeloid cells,16672,0.009524735,0.0,EPCAM
nLung,T/NK cells,11413,0.00291519,0.0,EPCAM
nLung,,6614,0.003371408,0.0,EPCAM
tL/B,B lymphocytes,469,0.046931367,0.0,EPCAM
tL/B,Epithelial cells,6582,1.4276143,1.3862944,EPCAM
tL/B,Myeloid cells,1329,0.07545933,0.0,EPCAM
tL/B,T/NK cells,2627,0.025902627,0.0,EPCAM
tL/B,,963,0.025912045,0.0,EPCAM
tLung,B lymphocytes,5312,0.016224738,0.0,EPCAM
tLung,Endothelial cells,627,0.02938962,0.0,EPCAM
tLung,Epithelial cells,7270,1.4091872,1.3862944,EPCAM
tLung,Fibroblasts,1654,0.028477939,0.0,EPCAM
tLung,MAST cells,1809,0.010728646,0.0,EPCAM
tLung,Myeloid cells,8794,0.033940703,0.0,EPCAM
tLung,T/NK cells,13941,0.015728433,0.0,EPCAM
tLung,,5742,0.016317075,0.0,EPCAM
PE,B lymphocytes,3285,0.029946662,0.0,KRT8
