Cell_type.refined,n_cells,mean_expression,median_expression,gene
Epithelial cells,36467,0.253971,0.0,ABCA3
Myeloid cells,42245,1.2966514,1.0986123,ACP5
Myeloid cells,42245,0.07800059,0.0,ADAMDEC1
Epithelial cells,36467,2.1341023,2.0794415,ANXA2
Epithelial cells,36467,0.3411511,0.0,ANXA3
Myeloid cells,42245,2.4768496,2.7080503,APOC1
Myeloid cells,42245,2.151701,1.9459101,APOE
Epithelial cells,36467,0.19523574,0.0,ARL5B
Myeloid cells,42245,0.0644246,0.0,ATP6V0D2
Myeloid cells,42245,0.02729267,0.0,AZU1
Myeloid cells,42245,2.485511,2.7725887,C1QA
Myeloid cells,42245,2.325552,2.5649493,C1QB
Myeloid cells,42245,1.7528377,1.7917595,C1QC
Myeloid cells,42245,0.19337262,0.0,CAMK1
Epithelial cells,36467,0.6438885,0.6931472,CARHSP1
Endothelial cells,2107,0.7386811,0.6931472,CAV2
Myeloid cells,42245,0.069146805,0.0,CCL17
Myeloid cells,42245,1.4867747,1.0986123,CCL3
Myeloid cells,42245,1.1056839,0.6931472,CCL4
Myeloid cells,42245,0.9202561,0.6931472,CCL4L2
Myeloid cells,42245,0.69215214,0.6931472,CD163
Myeloid cells,42245,0.12504673,0.0,CD1C
Epithelial cells,36467,0.95535636,0.6931472,CD24
T/NK cells,64403,1.1604671,1.0986123,CD3D
T/NK cells,64403,0.90076303,1.0986123,CD3E
Myeloid cells,42245,1.4406369,1.609438,CD44
Myeloid cells,42245,1.9058247,1.9459101,CD68
Myeloid cells,42245,3.7708783,4.0073333,CD74
B lymphocytes,27657,1.5067878,1.609438,CD79A
B lymphocytes,27657,0.8612275,0.6931472,CD79B
Epithelial cells,36467,1.5401087,1.3862944,CD9
Epithelial cells,36467,0.18191883,0.0,CHCHD6
Epithelial cells,36467,0.30674732,0.0,CHI3L1
Myeloid cells,42245,0.050692867,0.0,CHIT1
Epithelial cells,36467,0.5787548,0.0,CKS1B
Epithelial cells,36467,1.0199356,0.6931472,CLDN3
Epithelial cells,36467,1.6479083,1.609438,CLDN4
Endothelial cells,2107,1.9357395,1.9459101,CLDN5
Epithelial cells,36467,0.96880203,0.6931472,CLDN7
Myeloid cells,42245,0.26895505,0.0,CLEC10A
Myeloid cells,42245,0.017606327,0.0,CLEC9A
Fibroblasts,3794,2.1298022,1.9459101,COL1A1
Fibroblasts,3794,2.5667849,2.6020033,COL1A2
Fibroblasts,3794,1.8086488,1.3862944,COL3A1
T/NK cells,64403,1.0939955,1.0986123,CORO1A
MAST cells,3396,2.0256734,2.0794415,CPA3
Fibroblasts,3794,0.76612425,0.6931472,CPE
Endothelial cells,2107,1.0248424,1.0986123,CRIP2
Myeloid cells,42245,0.19520035,0.0,CSF3R
Epithelial cells,36467,0.5942903,0.0,CST6
Fibroblasts,3794,0.95385444,0.6931472,CTGF
Fibroblasts,3794,0.89046305,0.6931472,CTSK
Myeloid cells,42245,0.18366063,0.0,CXCL10
Myeloid cells,42245,1.6860651,1.609438,CXCL8
Myeloid cells,42245,0.0959555,0.0,CXCL9
Myeloid cells,42245,0.017340325,0.0,CXCR2
T/NK cells,64403,0.14450257,0.0,CXCR3
B lymphocytes,27657,1.4752654,1.609438,CXCR4
Myeloid cells,42245,0.63567376,0.0,CYP27A1
Epithelial cells,36467,0.13492198,0.0,CYP4B1
Fibroblasts,3794,3.739892,3.9607677,DCN
Epithelial cells,36467,0.8578588,0.6931472,DEK
Epithelial cells,36467,0.21928017,0.0,DEXI
,28437,0.5383423,0.0,DUSP2
Epithelial cells,36467,0.6444322,0.6931472,DUT
Epithelial cells,36467,0.47025806,0.0,ECI1
Myeloid cells,42245,0.07803874,0.0,EEPD1
Fibroblasts,3794,0.038142174,0.0,ELANE
Epithelial cells,36467,1.1570581,1.0986123,EMP2
Endothelial cells,2107,0.9395143,0.6931472,ENG
Epithelial cells,36467,1.5270214,1.3862944,EPCAM
Myeloid cells,42245,0.3888157,0.0,EREG
Myeloid cells,42245,0.16065583,0.0,FABP3
Myeloid cells,42245,0.95056266,0.0,FABP4
Myeloid cells,42245,0.1842524,0.0,FAM89A
MAST cells,3396,0.52056354,0.6931472,FCER1A
