Cell_type.refined,n_cells,mean_score,median_score,sd_score,score
B lymphocytes,27657,0.043298244,0.0,0.119050644,epithelial
Endothelial cells,2107,0.13824609,0.12206803,0.13190562,epithelial
Epithelial cells,36467,1.5359995,1.4846048,0.83056134,epithelial
Fibroblasts,3794,0.14608982,0.07701635,0.21808927,epithelial
MAST cells,3396,0.15233065,0.07701635,0.174652,epithelial
Myeloid cells,42245,0.16098516,0.12206803,0.17349882,epithelial
T/NK cells,64403,0.04967271,0.0,0.09091669,epithelial
,28437,0.065504335,0.0,0.11625101,epithelial
B lymphocytes,27657,0.073029704,0.06931472,0.10693812,macrophage
Endothelial cells,2107,0.1291645,0.06931472,0.26826462,macrophage
Epithelial cells,36467,0.1588111,0.06931472,0.24582337,macrophage
Fibroblasts,3794,0.20624188,0.13862944,0.27271634,macrophage
MAST cells,3396,0.14070033,0.10986123,0.19050774,macrophage
Myeloid cells,42245,1.7795799,1.7611783,0.9480704,macrophage
T/NK cells,64403,0.053357627,0.0,0.07992513,macrophage
,28437,0.07050203,0.0,0.12014084,macrophage
B lymphocytes,27657,0.0064929747,0.0,0.047418475,mast_cell
Endothelial cells,2107,0.025859134,0.0,0.11007521,mast_cell
Epithelial cells,36467,0.015163389,0.0,0.06988014,mast_cell
Fibroblasts,3794,0.014232841,0.0,0.08420768,mast_cell
MAST cells,3396,2.0659614,2.0904002,0.4961264,mast_cell
Myeloid cells,42245,0.023356555,0.0,0.16308676,mast_cell
T/NK cells,64403,0.0037153212,0.0,0.024324058,mast_cell
,28437,0.005405578,0.0,0.051844448,mast_cell
B lymphocytes,27657,0.01681759,0.0,0.049325105,neutrophil
Endothelial cells,2107,0.03491003,0.0,0.09627992,neutrophil
Epithelial cells,36467,0.22769305,0.15694462,0.26160258,neutrophil
Fibroblasts,3794,0.040740054,0.0,0.096366815,neutrophil
MAST cells,3396,0.019907502,0.0,0.062543795,neutrophil
Myeloid cells,42245,0.5145731,0.48588535,0.37264112,neutrophil
T/NK cells,64403,0.016594755,0.0,0.045611475,neutrophil
,28437,0.021283993,0.0,0.05644066,neutrophil
B lymphocytes,27657,0.019295018,0.0,0.06266743,dendritic
Endothelial cells,2107,0.0033533857,0.0,0.038007844,dendritic
Epithelial cells,36467,0.002364656,0.0,0.0258926,dendritic
Fibroblasts,3794,0.005226985,0.0,0.043257996,dendritic
MAST cells,3396,0.106138654,0.13862944,0.118893355,dendritic
Myeloid cells,42245,0.10782634,0.0,0.27540514,dendritic
T/NK cells,64403,0.0013634488,0.0,0.014369242,dendritic
,28437,0.008882329,0.0,0.060073804,dendritic
B lymphocytes,27657,0.123540215,0.11552453,0.17470884,t_nk
Endothelial cells,2107,0.068399146,0.0,0.19631359,t_nk
Epithelial cells,36467,0.04827233,0.0,0.13090742,t_nk
Fibroblasts,3794,0.07378674,0.0,0.16578412,t_nk
MAST cells,3396,0.06467616,0.0,0.12955338,t_nk
Myeloid cells,42245,0.21034321,0.18310206,0.22450243,t_nk
T/NK cells,64403,0.91209346,0.8654928,0.3203291,t_nk
,28437,0.6303558,0.52967566,0.4067922,t_nk
B lymphocytes,27657,0.9053845,0.81886894,0.5300664,b_plasma
Endothelial cells,2107,0.029222636,0.0,0.097095534,b_plasma
Epithelial cells,36467,0.02085975,0.0,0.079882085,b_plasma
Fibroblasts,3794,0.04012197,0.0,0.11497211,b_plasma
MAST cells,3396,0.028780214,0.0,0.08364971,b_plasma
Myeloid cells,42245,0.03658565,0.0,0.121684834,b_plasma
T/NK cells,64403,0.04325988,0.0,0.08913227,b_plasma
,28437,0.04970342,0.0,0.1631323,b_plasma
B lymphocytes,27657,0.013297997,0.0,0.04839263,endothelial
Endothelial cells,2107,1.1074914,1.0150348,0.578165,endothelial
Epithelial cells,36467,0.04577174,0.0,0.09734033,endothelial
Fibroblasts,3794,0.11102136,0.13862944,0.13040166,endothelial
MAST cells,3396,0.009914008,0.0,0.04752172,endothelial
Myeloid cells,42245,0.19042479,0.13862944,0.19116685,endothelial
T/NK cells,64403,0.0081063695,0.0,0.034327276,endothelial
,28437,0.011449579,0.0,0.074806385,endothelial
B lymphocytes,27657,0.009500475,0.0,0.047415532,fibroblast
Endothelial cells,2107,0.026211333,0.0,0.07291726,fibroblast
Epithelial cells,36467,0.12433274,0.0,0.22638483,fibroblast
Fibroblasts,3794,2.6005108,2.578238,1.1320479,fibroblast
MAST cells,3396,0.010114497,0.0,0.041708283,fibroblast
Myeloid cells,42245,0.027295422,0.0,0.10434114,fibroblast
T/NK cells,64403,0.0072284676,0.0,0.03502375,fibroblast
,28437,0.011316809,0.0,0.079515144,fibroblast
B lymphocytes,27657,0.054574654,0.0,0.1796663,at2_mature
