Sample_Origin,Cell_type.refined,n_cells,mean_score,median_score,sd_score,score
PE,B lymphocytes,3285,0.01259655,0.0,0.03389931,epithelial
PE,Epithelial cells,396,1.4868826,1.4029292,0.8657007,epithelial
PE,Myeloid cells,3063,0.026730638,0.0,0.054150354,epithelial
PE,T/NK cells,9192,0.015113975,0.0,0.035424754,epithelial
PE,,4368,0.015925309,0.0,0.038208682,epithelial
mBrain,B lymphocytes,1311,0.33595967,0.3080654,0.32937202,epithelial
mBrain,Endothelial cells,159,0.21062054,0.1540327,0.21671018,epithelial
mBrain,Epithelial cells,15463,1.4274877,1.3471589,0.78733337,epithelial
mBrain,Fibroblasts,444,0.19869219,0.1540327,0.23791134,epithelial
mBrain,MAST cells,508,0.44187525,0.46209812,0.2286195,epithelial
mBrain,Myeloid cells,5657,0.1403887,0.07701635,0.20418678,epithelial
mBrain,T/NK cells,2683,0.20220622,0.07701635,0.22813511,epithelial
mBrain,,2835,0.17857888,0.07701635,0.22644348,epithelial
mLN,B lymphocytes,6062,0.014960021,0.0,0.038395677,epithelial
mLN,Epithelial cells,3053,1.4938757,1.6308297,0.94804657,epithelial
mLN,Myeloid cells,5442,0.056690805,0.0,0.08125065,epithelial
mLN,T/NK cells,5069,0.021030594,0.0,0.044689756,epithelial
mLN,,1819,0.027061528,0.0,0.058912415,epithelial
nLN,B lymphocytes,10584,0.001958344,0.0,0.013254771,epithelial
nLN,Myeloid cells,1288,0.005607271,0.0,0.025270259,epithelial
nLN,T/NK cells,19478,0.0020854857,0.0,0.012734746,epithelial
nLN,,6096,0.0018793568,0.0,0.012487918,epithelial
nLung,B lymphocytes,634,0.14263143,0.12206803,0.12290338,epithelial
nLung,Endothelial cells,1295,0.12793939,0.12206803,0.110784456,epithelial
nLung,Epithelial cells,3703,1.8377728,2.0538683,1.0263342,epithelial
nLung,Fibroblasts,1585,0.16272026,0.12206803,0.23118927,epithelial
nLung,MAST cells,1079,0.12653823,0.12206803,0.10798781,epithelial
nLung,Myeloid cells,16672,0.24537839,0.19908439,0.17730844,epithelial
nLung,T/NK cells,11413,0.11176844,0.07701635,0.09315658,epithelial
nLung,,6614,0.114552304,0.07701635,0.11489962,epithelial
tL/B,B lymphocytes,469,0.04413411,0.0,0.08974763,epithelial
tL/B,Epithelial cells,6582,1.3120731,1.3075283,0.6318592,epithelial
tL/B,Myeloid cells,1329,0.07405974,0.07701635,0.10811987,epithelial
tL/B,T/NK cells,2627,0.028712243,0.0,0.05064958,epithelial
tL/B,,963,0.027368614,0.0,0.05421811,epithelial
tLung,B lymphocytes,5312,0.092834085,0.07701635,0.110050954,epithelial
tLung,Endothelial cells,627,0.13967326,0.12206803,0.13036054,epithelial
tLung,Epithelial cells,7270,1.83619,1.8313318,0.7862531,epithelial
tLung,Fibroblasts,1654,0.11773155,0.07701635,0.19538976,epithelial
tLung,MAST cells,1809,0.08640548,0.07701635,0.08583221,epithelial
tLung,Myeloid cells,8794,0.16143458,0.1540327,0.14058085,epithelial
tLung,T/NK cells,13941,0.07311953,0.07701635,0.07930381,epithelial
tLung,,5742,0.0770163,0.07701635,0.0863265,epithelial
PE,B lymphocytes,3285,0.035056714,0.0,0.058677718,macrophage
PE,Epithelial cells,396,0.30554834,0.20794415,0.31429625,macrophage
PE,Myeloid cells,3063,1.1876644,1.0316921,0.6533477,macrophage
PE,T/NK cells,9192,0.029834144,0.0,0.049861357,macrophage
PE,,4368,0.04313168,0.0,0.073536694,macrophage
mBrain,B lymphocytes,1311,0.13854378,0.06931472,0.18179157,macrophage
mBrain,Endothelial cells,159,0.15456809,0.06931472,0.19931826,macrophage
