Sample_Origin,n_cells,mean_score,median_score,sd_score,score
PE,20304,0.04533838,0.0,0.23968194,epithelial
mBrain,29060,0.8500632,0.5522015,0.8581623,epithelial
mLN,21479,0.2383118,0.0,0.626152,epithelial
nLN,37446,0.0021371287,0.0,0.013482474,epithelial
nLung,42995,0.3158516,0.1540327,0.5762441,epithelial
tL/B,12073,0.73486704,0.43013346,0.78751487,epithelial
tLung,45149,0.38012114,0.07701635,0.71945494,epithelial
PE,20304,0.21358396,0.0,0.48902833,macrophage
mBrain,29060,0.45727092,0.13862944,0.77791226,macrophage
mLN,21479,0.54754907,0.13862944,0.8906029,macrophage
nLN,37446,0.06177325,0.0,0.25899884,macrophage
nLung,42995,0.8302484,0.20794415,1.0605378,macrophage
tL/B,12073,0.1993343,0.0,0.4879879,macrophage
tLung,45149,0.4465491,0.06931472,0.8337755,macrophage
PE,20304,0.0012751664,0.0,0.032606658,mast_cell
mBrain,29060,0.04948364,0.0,0.29208773,mast_cell
mLN,21479,0.009540341,0.0,0.13668789,mast_cell
nLN,37446,0.0016820861,0.0,0.047259767,mast_cell
nLung,42995,0.06031596,0.0,0.3266641,mast_cell
tL/B,12073,0.025968326,0.0,0.21031828,mast_cell
tLung,45149,0.101843506,0.0,0.4231518,mast_cell
PE,20304,0.15711807,0.0,0.3371017,neutrophil
mBrain,29060,0.23043013,0.099021025,0.3054988,neutrophil
mLN,21479,0.19700986,0.0,0.315807,neutrophil
nLN,37446,0.006578322,0.0,0.049224183,neutrophil
nLung,42995,0.23535265,0.099021025,0.3206469,neutrophil
tL/B,12073,0.16776212,0.099021025,0.26289013,neutrophil
tLung,45149,0.13217501,0.0,0.25562868,neutrophil
PE,20304,0.066596135,0.0,0.23090212,dendritic
mBrain,29060,0.0133553175,0.0,0.08203913,dendritic
mLN,21479,0.024704482,0.0,0.10656531,dendritic
nLN,37446,0.015088021,0.0,0.08353458,dendritic
nLung,42995,0.03316608,0.0,0.15605989,dendritic
tL/B,12073,0.008922747,0.0,0.06687483,dendritic
tLung,45149,0.033957597,0.0,0.1452196,dendritic
PE,20304,0.59445363,0.59725314,0.41482356,t_nk
mBrain,29060,0.15063387,0.0,0.310289,t_nk
mLN,21479,0.41768745,0.18310206,0.48884442,t_nk
nLN,37446,0.5392898,0.57762265,0.37675068,t_nk
nLung,42995,0.5203321,0.3465736,0.47912234,t_nk
tL/B,12073,0.3512343,0.0,0.515773,t_nk
tLung,45149,0.42412117,0.23104906,0.44421542,t_nk
PE,20304,0.19062209,0.0,0.37882632,b_plasma
mBrain,29060,0.05861771,0.0,0.25025415,b_plasma
mLN,21479,0.2777249,0.0,0.4582786,b_plasma
nLN,37446,0.2944306,0.13862944,0.45937654,b_plasma
nLung,42995,0.024318414,0.0,0.13377497,b_plasma
tL/B,12073,0.057396393,0.0,0.2176601,b_plasma
tLung,45149,0.167327,0.0,0.40426156,b_plasma
PE,20304,0.030595433,0.0,0.08356819,endothelial
mBrain,29060,0.056378577,0.0,0.180281,endothelial
mLN,21479,0.05935684,0.0,0.12794922,endothelial
nLN,37446,0.011044387,0.0,0.051036794,endothelial
nLung,42995,0.1401968,0.0,0.24259402,endothelial
tL/B,12073,0.0454066,0.0,0.111445874,endothelial
tLung,45149,0.07073134,0.0,0.19488427,endothelial
PE,20304,0.010686375,0.0,0.117765866,fibroblast
mBrain,29060,0.11687006,0.0,0.4124861,fibroblast
mLN,21479,0.036999464,0.0,0.18309784,fibroblast
nLN,37446,0.0031669326,0.0,0.06393566,fibroblast
nLung,42995,0.1043665,0.0,0.4776184,fibroblast
tL/B,12073,0.09003773,0.0,0.3141382,fibroblast
tLung,45149,0.1460137,0.0,0.5713077,fibroblast
PE,20304,0.0073103006,0.0,0.059249375,at2_mature
mBrain,29060,0.29016894,0.0,0.63623774,at2_mature
mLN,21479,0.066081025,0.0,0.26165283,at2_mature
nLN,37446,0.0024250047,0.0,0.024763905,at2_mature
nLung,42995,0.4682469,0.27725887,0.8364628,at2_mature
tL/B,12073,0.034382146,0.0,0.14237848,at2_mature
tLung,45149,0.30683753,0.13862944,0.6411516,at2_mature
PE,20304,0.06343843,0.0,0.33539382,epithelial_progenitor_like
mBrain,29060,0.9879491,0.4540077,1.0949844,epithelial_progenitor_like
mLN,21479,0.30734512,0.0,0.8010322,epithelial_progenitor_like
nLN,37446,0.002848024,0.0,0.017874628,epithelial_progenitor_like
nLung,42995,0.10951703,0.0,0.33857283,epithelial_progenitor_like
tL/B,12073,1.0531285,0.6109523,1.1275219,epithelial_progenitor_like
tLung,45149,0.32853448,0.0,0.73866254,epithelial_progenitor_like
PE,20304,0.038418673,0.0,0.17137201,proliferating_epithelial
mBrain,29060,0.11371692,0.0,0.27174723,proliferating_epithelial
mLN,21479,0.110920794,0.0,0.31756404,proliferating_epithelial
nLN,37446,0.0273827,0.0,0.1369922,proliferating_epithelial
nLung,42995,0.056135546,0.0,0.16480516,proliferating_epithelial
tL/B,12073,0.12359323,0.0,0.30239746,proliferating_epithelial
tLung,45149,0.06739794,0.0,0.20378417,proliferating_epithelial
PE,20304,0.11609832,0.0,0.27338794,spp1_macrophage
mBrain,29060,0.8822111,0.72751725,0.7496149,spp1_macrophage
mLN,21479,0.6314105,0.21972246,0.89694697,spp1_macrophage
nLN,37446,0.07311575,0.0,0.3225371,spp1_macrophage
nLung,42995,0.65961874,0.27725887,0.8066497,spp1_macrophage
tL/B,12073,0.48391587,0.32188758,0.54012567,spp1_macrophage
tLung,45149,0.5400406,0.21972246,0.7273491,spp1_macrophage
PE,20304,0.15360162,0.0,0.48408863,c1q_macrophage
mBrain,29060,0.5284835,0.13862944,0.95612586,c1q_macrophage
mLN,21479,0.54840136,0.13862944,0.9979365,c1q_macrophage
nLN,37446,0.057253078,0.0,0.28336096,c1q_macrophage
nLung,42995,0.9944454,0.27725887,1.3338871,c1q_macrophage
tL/B,12073,0.2274814,0.0,0.6123099,c1q_macrophage
tLung,45149,0.52235585,0.13862944,1.0258092,c1q_macrophage
PE,20304,0.26023814,0.13862944,0.34636495,inflammatory_macrophage
