Sample_Origin,Cell_type.refined,Cell_subtype,n_cells,mean_score,median_score,sd_score,score
PE,B lymphocytes,Follicular B cells,3019,0.010260075,0.0,0.029748132,epithelial
PE,B lymphocytes,MALT B cells,109,0.06677797,0.07701635,0.0666184,epithelial
PE,B lymphocytes,Undetermined,152,0.020057166,0.0,0.042602003,epithelial
PE,Epithelial cells,,396,1.4868826,1.4029292,0.8657007,epithelial
PE,Myeloid cells,Pleural Mac,2713,0.02688351,0.0,0.051106896,epithelial
PE,Myeloid cells,Undetermined,142,0.015053381,0.0,0.043254748,epithelial
PE,T/NK cells,CD8 low T,1691,0.016610175,0.0,0.03716814,epithelial
PE,T/NK cells,Cytotoxic CD8+ T,149,0.016111368,0.0,0.03379888,epithelial
PE,T/NK cells,Exhausted CD8+ T,438,0.02058952,0.0,0.0406015,epithelial
PE,T/NK cells,NK,517,0.018969538,0.0,0.03907916,epithelial
PE,T/NK cells,Naive CD4+ T,4365,0.014648263,0.0,0.034376226,epithelial
PE,T/NK cells,Naive CD8+ T,1418,0.012212341,0.0,0.033744186,epithelial
PE,T/NK cells,Treg,519,0.011179962,0.0,0.030881118,epithelial
PE,,,4368,0.015925309,0.0,0.038208682,epithelial
mBrain,B lymphocytes,Follicular B cells,675,0.2731467,0.32115242,0.23807482,epithelial
mBrain,B lymphocytes,MALT B cells,326,0.17595637,0.07701635,0.26543126,epithelial
mBrain,B lymphocytes,Plasma cells,299,0.6601428,0.68597627,0.355927,epithelial
mBrain,Endothelial cells,Tumor ECs,155,0.20736457,0.1540327,0.21637145,epithelial
mBrain,Epithelial cells,Malignant cells,15423,1.430123,1.3505778,0.7864663,epithelial
mBrain,Fibroblasts,FB-like cells,200,0.22072367,0.19908439,0.18355198,epithelial
mBrain,Fibroblasts,Pericytes,217,0.1787218,0.12206803,0.27683616,epithelial
mBrain,MAST cells,MAST,508,0.44187525,0.46209812,0.2286195,epithelial
mBrain,Myeloid cells,Alveolar Mac,133,0.18283495,0.1540327,0.1672462,epithelial
mBrain,Myeloid cells,CD163+CD14+ DCs,177,0.13300423,0.07701635,0.1883787,epithelial
mBrain,Myeloid cells,Microglia/Mac,563,0.1887617,0.1540327,0.1262255,epithelial
