Sample_Origin,Cell_type.refined,Cell_subtype,score,n_cells,mean_score,median_score,sd_score
tLung,Epithelial cells,tS2,epithelial_progenitor_like,3018,2.403854,2.397284,0.8190946
PE,Epithelial cells,,epithelial_progenitor_like,396,2.060405,1.8890128,1.2452128
mLN,Epithelial cells,Malignant cells,epithelial_progenitor_like,2961,1.9406726,2.124757,1.2065806
tL/B,Epithelial cells,Malignant cells,epithelial_progenitor_like,6400,1.9024068,1.8985971,0.89625895
mBrain,Epithelial cells,Malignant cells,epithelial_progenitor_like,15423,1.7725946,1.7350069,0.96114933
tLung,Epithelial cells,tS1,epithelial_progenitor_like,3270,1.398876,1.4179344,0.6331753
nLung,Epithelial cells,Club,epithelial_progenitor_like,439,1.1945182,1.1599567,0.661675
nLung,Epithelial cells,Ciliated,epithelial_progenitor_like,654,1.1813515,1.0503318,0.71891963
tLung,Epithelial cells,,epithelial_progenitor_like,918,1.1772871,1.1060574,0.64676946
tL/B,Epithelial cells,,epithelial_progenitor_like,182,1.1505601,1.1173863,0.74402916
nLung,Epithelial cells,AT2,epithelial_progenitor_like,2020,1.0330278,1.018471,0.4620505
nLung,Epithelial cells,AT1,epithelial_progenitor_like,530,0.88115895,0.80698216,0.48144165
mBrain,Fibroblasts,FB-like cells,epithelial_progenitor_like,200,0.27851692,0.19804205,0.22299112
mBrain,Myeloid cells,Microglia/Mac,epithelial_progenitor_like,563,0.2539799,0.19804205,0.16996394
mBrain,Endothelial cells,Tumor ECs,epithelial_progenitor_like,155,0.24480416,0.19804205,0.25921246
nLung,Myeloid cells,CD141+ DCs,epithelial_progenitor_like,101,0.2310365,0.25596565,0.13491824
mBrain,Myeloid cells,Alveolar Mac,epithelial_progenitor_like,133,0.22111015,0.19804205,0.19153377
mBrain,Fibroblasts,Pericytes,epithelial_progenitor_like,217,0.2175324,0.15694462,0.310073
tL/B,Myeloid cells,mo-Mac,epithelial_progenitor_like,460,0.14818145,0.099021025,0.16987434
mBrain,B lymphocytes,Plasma cells,epithelial_progenitor_like,299,0.1462058,0.099021025,0.14223577
tLung,Epithelial cells,tS2,refined_epithelial_progenitor_like,3018,1.627637,1.6135952,0.58415645
PE,Epithelial cells,,refined_epithelial_progenitor_like,396,1.4333748,1.3620632,0.9205472
mLN,Epithelial cells,Malignant cells,refined_epithelial_progenitor_like,2961,1.3524674,1.353938,0.8310604
tL/B,Epithelial cells,Malignant cells,refined_epithelial_progenitor_like,6400,1.2126126,1.165401,0.63070697
mBrain,Epithelial cells,Malignant cells,refined_epithelial_progenitor_like,15423,1.0502696,0.94844025,0.65443504
