sample,sample_name,stage,broad_class,n_cells,denominator,fraction
GSM5019481,GSM5019481_CXL-A,Adjacent,ambiguous,126,6004,0.020986009327115255
GSM5019481,GSM5019481_CXL-A,Adjacent,b_plasma,129,6004,0.021485676215856096
GSM5019481,GSM5019481_CXL-A,Adjacent,dendritic,24,6004,0.003997335109926716
GSM5019481,GSM5019481_CXL-A,Adjacent,endothelial,831,6004,0.13840772818121252
GSM5019481,GSM5019481_CXL-A,Adjacent,epithelial,786,6004,0.13091272485009994
GSM5019481,GSM5019481_CXL-A,Adjacent,fibroblast,346,6004,0.05762824783477682
GSM5019481,GSM5019481_CXL-A,Adjacent,macrophage,547,6004,0.09110592938041306
GSM5019481,GSM5019481_CXL-A,Adjacent,mast_cell,38,6004,0.006329113924050633
GSM5019481,GSM5019481_CXL-A,Adjacent,neutrophil,146,6004,0.024317121918720853
GSM5019481,GSM5019481_CXL-A,Adjacent,t_nk,3004,6004,0.5003331112591606
GSM5019481,GSM5019481_CXL-A,Adjacent,unassigned,27,6004,0.004497001998667555
GSM5019482,GSM5019482_CXL-T,Tumor,ambiguous,109,5096,0.021389324960753534
GSM5019482,GSM5019482_CXL-T,Tumor,b_plasma,530,5096,0.10400313971742543
GSM5019482,GSM5019482_CXL-T,Tumor,dendritic,76,5096,0.014913657770800628
GSM5019482,GSM5019482_CXL-T,Tumor,endothelial,466,5096,0.09144427001569859
GSM5019482,GSM5019482_CXL-T,Tumor,epithelial,1095,5096,0.21487441130298274
GSM5019482,GSM5019482_CXL-T,Tumor,fibroblast,247,5096,0.04846938775510204
GSM5019482,GSM5019482_CXL-T,Tumor,macrophage,485,5096,0.09517268445839874
GSM5019482,GSM5019482_CXL-T,Tumor,mast_cell,113,5096,0.02217425431711146
GSM5019482,GSM5019482_CXL-T,Tumor,neutrophil,58,5096,0.011381475667189953
GSM5019482,GSM5019482_CXL-T,Tumor,t_nk,1865,5096,0.36597331240188385
GSM5019482,GSM5019482_CXL-T,Tumor,unassigned,52,5096,0.01020408163265306
GSM5019483,GSM5019483_CZX-A,Adjacent,ambiguous,93,5686,0.0163559620119592
GSM5019483,GSM5019483_CZX-A,Adjacent,b_plasma,39,5686,0.00685895181146676
GSM5019483,GSM5019483_CZX-A,Adjacent,dendritic,20,5686,0.0035174111853675696
GSM5019483,GSM5019483_CZX-A,Adjacent,endothelial,465,5686,0.081779810059796
GSM5019483,GSM5019483_CZX-A,Adjacent,epithelial,935,5686,0.16443897291593387
GSM5019483,GSM5019483_CZX-A,Adjacent,fibroblast,152,5686,0.02673232500879353
GSM5019483,GSM5019483_CZX-A,Adjacent,macrophage,819,5686,0.14403798804080198
GSM5019483,GSM5019483_CZX-A,Adjacent,mast_cell,151,5686,0.02655645444952515
GSM5019483,GSM5019483_CZX-A,Adjacent,neutrophil,98,5686,0.01723531480830109
GSM5019483,GSM5019483_CZX-A,Adjacent,t_nk,2882,5686,0.5068589518114668
GSM5019483,GSM5019483_CZX-A,Adjacent,unassigned,32,5686,0.005627857896588111
GSM5019484,GSM5019484_CZX-T,Tumor,ambiguous,120,5744,0.020891364902506964
GSM5019484,GSM5019484_CZX-T,Tumor,b_plasma,516,5744,0.08983286908077995
GSM5019484,GSM5019484_CZX-T,Tumor,dendritic,73,5744,0.01270891364902507
GSM5019484,GSM5019484_CZX-T,Tumor,endothelial,93,5744,0.016190807799442895
GSM5019484,GSM5019484_CZX-T,Tumor,epithelial,2307,5744,0.40163649025069637
GSM5019484,GSM5019484_CZX-T,Tumor,fibroblast,27,5744,0.004700557103064067
GSM5019484,GSM5019484_CZX-T,Tumor,macrophage,917,5744,0.15964484679665739
GSM5019484,GSM5019484_CZX-T,Tumor,mast_cell,228,5744,0.03969359331476323
GSM5019484,GSM5019484_CZX-T,Tumor,neutrophil,57,5744,0.009923398328690807
GSM5019484,GSM5019484_CZX-T,Tumor,t_nk,1383,5744,0.24077298050139276
GSM5019484,GSM5019484_CZX-T,Tumor,unassigned,23,5744,0.004004178272980502
GSM5019485,GSM5019485_HJY-A,Adjacent,ambiguous,176,5492,0.032046613255644577
GSM5019485,GSM5019485_HJY-A,Adjacent,b_plasma,120,5492,0.021849963583394028
GSM5019485,GSM5019485_HJY-A,Adjacent,dendritic,53,5492,0.009650400582665695
GSM5019485,GSM5019485_HJY-A,Adjacent,endothelial,440,5492,0.08011653313911143
GSM5019485,GSM5019485_HJY-A,Adjacent,epithelial,1185,5492,0.21576839038601603
GSM5019485,GSM5019485_HJY-A,Adjacent,fibroblast,82,5492,0.014930808448652586
GSM5019485,GSM5019485_HJY-A,Adjacent,macrophage,753,5492,0.13710852148579752
GSM5019485,GSM5019485_HJY-A,Adjacent,mast_cell,94,5492,0.01711580480699199
GSM5019485,GSM5019485_HJY-A,Adjacent,neutrophil,110,5492,0.02002913328477786
GSM5019485,GSM5019485_HJY-A,Adjacent,t_nk,2422,5492,0.44100509832483614
GSM5019485,GSM5019485_HJY-A,Adjacent,unassigned,57,5492,0.010378732702112163
GSM5019486,GSM5019486_HJY-T,Tumor,ambiguous,124,4001,0.030992251937015745
GSM5019486,GSM5019486_HJY-T,Tumor,b_plasma,160,4001,0.039990002499375156
GSM5019486,GSM5019486_HJY-T,Tumor,dendritic,41,4001,0.010247438140464884
GSM5019486,GSM5019486_HJY-T,Tumor,endothelial,64,4001,0.015996000999750064
GSM5019486,GSM5019486_HJY-T,Tumor,epithelial,1641,4001,0.41014746313421646
GSM5019486,GSM5019486_HJY-T,Tumor,fibroblast,38,4001,0.0094976255936016
GSM5019486,GSM5019486_HJY-T,Tumor,macrophage,313,4001,0.07823044238940265
GSM5019486,GSM5019486_HJY-T,Tumor,mast_cell,74,4001,0.01849537615596101
GSM5019486,GSM5019486_HJY-T,Tumor,neutrophil,22,4001,0.005498625343664084
GSM5019486,GSM5019486_HJY-T,Tumor,t_nk,1387,4001,0.3466633341664584
GSM5019486,GSM5019486_HJY-T,Tumor,unassigned,137,4001,0.03424143964008998
GSM5019487,GSM5019487_HYS-A,Adjacent,ambiguous,93,5529,0.016820401519262073
GSM5019487,GSM5019487_HYS-A,Adjacent,b_plasma,72,5529,0.013022246337493217
GSM5019487,GSM5019487_HYS-A,Adjacent,dendritic,28,5529,0.00506420690902514
GSM5019487,GSM5019487_HYS-A,Adjacent,endothelial,516,5529,0.09332609875203472
GSM5019487,GSM5019487_HYS-A,Adjacent,epithelial,211,5529,0.03816241635015374
GSM5019487,GSM5019487_HYS-A,Adjacent,fibroblast,68,5529,0.012298788207632484
GSM5019487,GSM5019487_HYS-A,Adjacent,macrophage,1567,5529,0.2834147223729427
GSM5019487,GSM5019487_HYS-A,Adjacent,mast_cell,57,5529,0.010309278350515464
GSM5019487,GSM5019487_HYS-A,Adjacent,neutrophil,260,5529,0.04702477844094773
GSM5019487,GSM5019487_HYS-A,Adjacent,t_nk,2649,5529,0.4791101465002713
GSM5019487,GSM5019487_HYS-A,Adjacent,unassigned,8,5529,0.0014469162597214686
GSM5019488,GSM5019488_HYS-T,Tumor,ambiguous,88,3649,0.024116196218141955
GSM5019488,GSM5019488_HYS-T,Tumor,b_plasma,143,3649,0.03918881885448068
GSM5019488,GSM5019488_HYS-T,Tumor,dendritic,51,3649,0.013976431899150453
GSM5019488,GSM5019488_HYS-T,Tumor,endothelial,77,3649,0.02110167169087421
GSM5019488,GSM5019488_HYS-T,Tumor,epithelial,1104,3649,0.3025486434639627
GSM5019488,GSM5019488_HYS-T,Tumor,fibroblast,12,3649,0.003288572211564812
GSM5019488,GSM5019488_HYS-T,Tumor,macrophage,835,3649,0.22882981638805153
GSM5019488,GSM5019488_HYS-T,Tumor,mast_cell,50,3649,0.013702384214853385
GSM5019488,GSM5019488_HYS-T,Tumor,neutrophil,42,3649,0.011510002740476843
GSM5019488,GSM5019488_HYS-T,Tumor,t_nk,1233,3649,0.33790079473828444
GSM5019488,GSM5019488_HYS-T,Tumor,unassigned,14,3649,0.0038366675801589476
GSM5019489,GSM5019489_HYY-A1,Adjacent,ambiguous,93,4450,0.020898876404494383
GSM5019489,GSM5019489_HYY-A1,Adjacent,b_plasma,74,4450,0.01662921348314607
GSM5019489,GSM5019489_HYY-A1,Adjacent,dendritic,24,4450,0.005393258426966292
GSM5019489,GSM5019489_HYY-A1,Adjacent,endothelial,43,4450,0.009662921348314606
GSM5019489,GSM5019489_HYY-A1,Adjacent,epithelial,359,4450,0.08067415730337078
GSM5019489,GSM5019489_HYY-A1,Adjacent,fibroblast,29,4450,0.00651685393258427
GSM5019489,GSM5019489_HYY-A1,Adjacent,macrophage,1556,4450,0.3496629213483146
GSM5019489,GSM5019489_HYY-A1,Adjacent,mast_cell,23,4450,0.005168539325842696
