sample,sample_name,stage,epithelial_state,n_cells,denominator,fraction
GSM5019481,GSM5019481_CXL-A,Adjacent,at2_mature_like,162,786,0.20610687022900764
GSM5019481,GSM5019481_CXL-A,Adjacent,other_epithelial,378,786,0.48091603053435117
GSM5019481,GSM5019481_CXL-A,Adjacent,progenitor_like,121,786,0.15394402035623408
GSM5019481,GSM5019481_CXL-A,Adjacent,proliferating_epithelial,125,786,0.15903307888040713
GSM5019482,GSM5019482_CXL-T,Tumor,at2_mature_like,174,1095,0.1589041095890411
GSM5019482,GSM5019482_CXL-T,Tumor,other_epithelial,515,1095,0.4703196347031963
GSM5019482,GSM5019482_CXL-T,Tumor,progenitor_like,132,1095,0.12054794520547946
GSM5019482,GSM5019482_CXL-T,Tumor,proliferating_epithelial,274,1095,0.2502283105022831
GSM5019483,GSM5019483_CZX-A,Adjacent,at2_mature_like,138,935,0.14759358288770053
GSM5019483,GSM5019483_CZX-A,Adjacent,other_epithelial,438,935,0.46844919786096256
GSM5019483,GSM5019483_CZX-A,Adjacent,progenitor_like,146,935,0.15614973262032086
GSM5019483,GSM5019483_CZX-A,Adjacent,proliferating_epithelial,213,935,0.22780748663101605
GSM5019484,GSM5019484_CZX-T,Tumor,at2_mature_like,333,2307,0.14434330299089726
GSM5019484,GSM5019484_CZX-T,Tumor,other_epithelial,1241,2307,0.5379280450801908
GSM5019484,GSM5019484_CZX-T,Tumor,progenitor_like,156,2307,0.06762028608582575
GSM5019484,GSM5019484_CZX-T,Tumor,proliferating_epithelial,577,2307,0.25010836584308627
GSM5019485,GSM5019485_HJY-A,Adjacent,at2_mature_like,233,1185,0.19662447257383966
GSM5019485,GSM5019485_HJY-A,Adjacent,other_epithelial,537,1185,0.4531645569620253
GSM5019485,GSM5019485_HJY-A,Adjacent,progenitor_like,119,1185,0.10042194092827005
GSM5019485,GSM5019485_HJY-A,Adjacent,proliferating_epithelial,296,1185,0.249789029535865
GSM5019486,GSM5019486_HJY-T,Tumor,at2_mature_like,293,1641,0.1785496648385131
GSM5019486,GSM5019486_HJY-T,Tumor,other_epithelial,769,1641,0.46861669713589277
GSM5019486,GSM5019486_HJY-T,Tumor,progenitor_like,169,1641,0.10298598415600244
GSM5019486,GSM5019486_HJY-T,Tumor,proliferating_epithelial,410,1641,0.2498476538695917
GSM5019487,GSM5019487_HYS-A,Adjacent,at2_mature_like,33,211,0.15639810426540285
GSM5019487,GSM5019487_HYS-A,Adjacent,other_epithelial,96,211,0.4549763033175355
GSM5019487,GSM5019487_HYS-A,Adjacent,progenitor_like,36,211,0.17061611374407584
GSM5019487,GSM5019487_HYS-A,Adjacent,proliferating_epithelial,46,211,0.21800947867298578
GSM5019488,GSM5019488_HYS-T,Tumor,at2_mature_like,201,1104,0.18206521739130435
GSM5019488,GSM5019488_HYS-T,Tumor,other_epithelial,488,1104,0.4420289855072464
GSM5019488,GSM5019488_HYS-T,Tumor,progenitor_like,139,1104,0.12590579710144928
GSM5019488,GSM5019488_HYS-T,Tumor,proliferating_epithelial,276,1104,0.25
GSM5019489,GSM5019489_HYY-A1,Adjacent,at2_mature_like,58,359,0.1615598885793872
GSM5019489,GSM5019489_HYY-A1,Adjacent,other_epithelial,177,359,0.49303621169916434
GSM5019489,GSM5019489_HYY-A1,Adjacent,progenitor_like,34,359,0.0947075208913649
GSM5019489,GSM5019489_HYY-A1,Adjacent,proliferating_epithelial,90,359,0.25069637883008355
