sample,sample_name,stage,context,score,n_cells,mean_score
GSM5019481,GSM5019481_CXL-A,Adjacent,all_cells,epithelial,6004,0.3224480452558748
GSM5019481,GSM5019481_CXL-A,Adjacent,all_cells,macrophage,6004,0.2612822483899695
GSM5019481,GSM5019481_CXL-A,Adjacent,all_cells,epithelial_progenitor_like,6004,0.17020716428170027
GSM5019481,GSM5019481_CXL-A,Adjacent,all_cells,spp1_macrophage,6004,0.3033930146733639
GSM5019481,GSM5019481_CXL-A,Adjacent,all_cells,c1q_macrophage,6004,0.27190018064646426
GSM5019481,GSM5019481_CXL-A,Adjacent,all_cells,inflammatory_macrophage,6004,0.7392749531123955
GSM5019481,GSM5019481_CXL-A,Adjacent,all_cells,refined_epithelial_progenitor_like,6004,0.25477411114728965
GSM5019481,GSM5019481_CXL-A,Adjacent,all_cells,refined_spp1_macrophage,6004,0.06826181781464755
GSM5019481,GSM5019481_CXL-A,Adjacent,all_cells,refined_c1q_macrophage,6004,0.1517232521307871
GSM5019481,GSM5019481_CXL-A,Adjacent,all_cells,refined_inflammatory_macrophage,6004,0.4376671497569213
GSM5019481,GSM5019481_CXL-A,Adjacent,epithelial,epithelial,786,1.2022747400079272
GSM5019481,GSM5019481_CXL-A,Adjacent,epithelial,macrophage,786,0.12061207175094733
GSM5019481,GSM5019481_CXL-A,Adjacent,epithelial,epithelial_progenitor_like,786,1.0583060536129525
GSM5019481,GSM5019481_CXL-A,Adjacent,epithelial,spp1_macrophage,786,0.6061318039548028
GSM5019481,GSM5019481_CXL-A,Adjacent,epithelial,c1q_macrophage,786,0.12810754225342644
GSM5019481,GSM5019481_CXL-A,Adjacent,epithelial,inflammatory_macrophage,786,0.4610040169680803
GSM5019481,GSM5019481_CXL-A,Adjacent,epithelial,refined_epithelial_progenitor_like,786,0.8376908114763906
GSM5019481,GSM5019481_CXL-A,Adjacent,epithelial,refined_spp1_macrophage,786,0.14343968134844673
GSM5019481,GSM5019481_CXL-A,Adjacent,epithelial,refined_c1q_macrophage,786,0.15498128658168714
GSM5019481,GSM5019481_CXL-A,Adjacent,epithelial,refined_inflammatory_macrophage,786,0.22749356363238252
GSM5019481,GSM5019481_CXL-A,Adjacent,macrophage,epithelial,547,0.1454691868841403
GSM5019481,GSM5019481_CXL-A,Adjacent,macrophage,macrophage,547,1.5035703794038786
GSM5019481,GSM5019481_CXL-A,Adjacent,macrophage,epithelial_progenitor_like,547,0.03827644076695274
GSM5019481,GSM5019481_CXL-A,Adjacent,macrophage,spp1_macrophage,547,0.8277676658705837
GSM5019481,GSM5019481_CXL-A,Adjacent,macrophage,c1q_macrophage,547,1.7260875640630624
GSM5019481,GSM5019481_CXL-A,Adjacent,macrophage,inflammatory_macrophage,547,1.8685520734867929
GSM5019481,GSM5019481_CXL-A,Adjacent,macrophage,refined_epithelial_progenitor_like,547,0.19142680568791606
GSM5019481,GSM5019481_CXL-A,Adjacent,macrophage,refined_spp1_macrophage,547,0.07854681809334524
GSM5019481,GSM5019481_CXL-A,Adjacent,macrophage,refined_c1q_macrophage,547,0.5956018120851649
GSM5019481,GSM5019481_CXL-A,Adjacent,macrophage,refined_inflammatory_macrophage,547,0.8177176324917481
GSM5019482,GSM5019482_CXL-T,Tumor,all_cells,epithelial,5096,0.4119533425586518
GSM5019482,GSM5019482_CXL-T,Tumor,all_cells,macrophage,5096,0.23780124762334182
GSM5019482,GSM5019482_CXL-T,Tumor,all_cells,epithelial_progenitor_like,5096,0.3694034232809074
GSM5019482,GSM5019482_CXL-T,Tumor,all_cells,spp1_macrophage,5096,0.37420587172539255
GSM5019482,GSM5019482_CXL-T,Tumor,all_cells,c1q_macrophage,5096,0.2339909749297768
GSM5019482,GSM5019482_CXL-T,Tumor,all_cells,inflammatory_macrophage,5096,0.5378808317988008
GSM5019482,GSM5019482_CXL-T,Tumor,all_cells,refined_epithelial_progenitor_like,5096,0.29970063494683086
GSM5019482,GSM5019482_CXL-T,Tumor,all_cells,refined_spp1_macrophage,5096,0.08245759873839105
GSM5019482,GSM5019482_CXL-T,Tumor,all_cells,refined_c1q_macrophage,5096,0.13632679545521662
GSM5019482,GSM5019482_CXL-T,Tumor,all_cells,refined_inflammatory_macrophage,5096,0.3483326875399757
GSM5019482,GSM5019482_CXL-T,Tumor,epithelial,epithelial,1095,1.392245614553493
GSM5019482,GSM5019482_CXL-T,Tumor,epithelial,macrophage,1095,0.06581225411067633
GSM5019482,GSM5019482_CXL-T,Tumor,epithelial,epithelial_progenitor_like,1095,1.4140122889593416
GSM5019482,GSM5019482_CXL-T,Tumor,epithelial,spp1_macrophage,1095,0.5087673208013107
GSM5019482,GSM5019482_CXL-T,Tumor,epithelial,c1q_macrophage,1095,0.061286426874188706
GSM5019482,GSM5019482_CXL-T,Tumor,epithelial,inflammatory_macrophage,1095,0.31683551836546753
GSM5019482,GSM5019482_CXL-T,Tumor,epithelial,refined_epithelial_progenitor_like,1095,0.8527696226604639
GSM5019482,GSM5019482_CXL-T,Tumor,epithelial,refined_spp1_macrophage,1095,0.15621406104337668
GSM5019482,GSM5019482_CXL-T,Tumor,epithelial,refined_c1q_macrophage,1095,0.1946115385962241
GSM5019482,GSM5019482_CXL-T,Tumor,epithelial,refined_inflammatory_macrophage,1095,0.16977662995985798
GSM5019482,GSM5019482_CXL-T,Tumor,macrophage,epithelial,485,0.12129285745657613
GSM5019482,GSM5019482_CXL-T,Tumor,macrophage,macrophage,485,1.5422335264426488
GSM5019482,GSM5019482_CXL-T,Tumor,macrophage,epithelial_progenitor_like,485,0.0694845119604731
GSM5019482,GSM5019482_CXL-T,Tumor,macrophage,spp1_macrophage,485,1.0072756512362921
GSM5019482,GSM5019482_CXL-T,Tumor,macrophage,c1q_macrophage,485,1.727412134261669
GSM5019482,GSM5019482_CXL-T,Tumor,macrophage,inflammatory_macrophage,485,1.5924842040599259
GSM5019482,GSM5019482_CXL-T,Tumor,macrophage,refined_epithelial_progenitor_like,485,0.16065853822623505
GSM5019482,GSM5019482_CXL-T,Tumor,macrophage,refined_spp1_macrophage,485,0.10992392970189938
GSM5019482,GSM5019482_CXL-T,Tumor,macrophage,refined_c1q_macrophage,485,0.4213100368905138
GSM5019482,GSM5019482_CXL-T,Tumor,macrophage,refined_inflammatory_macrophage,485,0.7597395802834692
GSM5019483,GSM5019483_CZX-A,Adjacent,all_cells,epithelial,5686,0.3915647633479475
GSM5019483,GSM5019483_CZX-A,Adjacent,all_cells,macrophage,5686,0.3082916838798834
GSM5019483,GSM5019483_CZX-A,Adjacent,all_cells,epithelial_progenitor_like,5686,0.23791760098878947
GSM5019483,GSM5019483_CZX-A,Adjacent,all_cells,spp1_macrophage,5686,0.4573051334258909
GSM5019483,GSM5019483_CZX-A,Adjacent,all_cells,c1q_macrophage,5686,0.3757804693443338
GSM5019483,GSM5019483_CZX-A,Adjacent,all_cells,inflammatory_macrophage,5686,0.7979881434123163
GSM5019483,GSM5019483_CZX-A,Adjacent,all_cells,refined_epithelial_progenitor_like,5686,0.2641281362765232
GSM5019483,GSM5019483_CZX-A,Adjacent,all_cells,refined_spp1_macrophage,5686,0.08587124117841835
GSM5019483,GSM5019483_CZX-A,Adjacent,all_cells,refined_c1q_macrophage,5686,0.22446460228588722
GSM5019483,GSM5019483_CZX-A,Adjacent,all_cells,refined_inflammatory_macrophage,5686,0.4064295151985707
GSM5019483,GSM5019483_CZX-A,Adjacent,epithelial,epithelial,935,1.5465078841591973
GSM5019483,GSM5019483_CZX-A,Adjacent,epithelial,macrophage,935,0.06728493505786892
GSM5019483,GSM5019483_CZX-A,Adjacent,epithelial,epithelial_progenitor_like,935,1.2643171178214208
GSM5019483,GSM5019483_CZX-A,Adjacent,epithelial,spp1_macrophage,935,0.6832457233419283
GSM5019483,GSM5019483_CZX-A,Adjacent,epithelial,c1q_macrophage,935,0.08337185560183638
GSM5019483,GSM5019483_CZX-A,Adjacent,epithelial,inflammatory_macrophage,935,0.5462763964203542
