stage,context,score,n_samples,mean_score,sd_score,total_cells
Adjacent,all_cells,c1q_macrophage,31,0.6830990074580428,0.31772431075827073,180251
Adjacent,all_cells,epithelial,31,0.2185519345290375,0.1398184182050826,180251
Adjacent,all_cells,epithelial_progenitor_like,31,0.1581968434946288,0.10233436406515929,180251
Adjacent,all_cells,inflammatory_macrophage,31,0.6715878475897842,0.180855394387051,180251
Adjacent,all_cells,macrophage,31,0.5824641286348797,0.2514260416347696,180251
Adjacent,all_cells,refined_c1q_macrophage,31,0.3372164211017593,0.15522366513566027,180251
Adjacent,all_cells,refined_epithelial_progenitor_like,31,0.21428974370699325,0.07794889979047767,180251
Adjacent,all_cells,refined_inflammatory_macrophage,31,0.36766593184911894,0.0848442176034193,180251
Adjacent,all_cells,refined_spp1_macrophage,31,0.08028840025660587,0.02185452264441254,180251
Adjacent,all_cells,spp1_macrophage,31,0.5425830734294216,0.19356052392379,180251
Adjacent,epithelial,c1q_macrophage,31,0.19525625358728949,0.1273040485712221,18012
Adjacent,epithelial,epithelial,31,1.2948408060346817,0.18060688975940176,18012
Adjacent,epithelial,epithelial_progenitor_like,31,1.2488163091522948,0.21164614472897972,18012
Adjacent,epithelial,inflammatory_macrophage,31,0.3689759151367387,0.15057890377801353,18012
Adjacent,epithelial,macrophage,31,0.16278982926856628,0.0973979020441808,18012
Adjacent,epithelial,refined_c1q_macrophage,31,0.20338942546474784,0.04687853061210748,18012
Adjacent,epithelial,refined_epithelial_progenitor_like,31,0.8792299801143361,0.14901523452733703,18012
Adjacent,epithelial,refined_inflammatory_macrophage,31,0.16676368458549626,0.06288228948366001,18012
Adjacent,epithelial,refined_spp1_macrophage,31,0.16515202058500295,0.022801326171869068,18012
Adjacent,epithelial,spp1_macrophage,31,0.6953367810760808,0.07995145166067438,18012
Adjacent,macrophage,c1q_macrophage,31,2.1954242163678885,0.2985117394454179,42455
Adjacent,macrophage,epithelial,31,0.09331484698148151,0.09179982932523001,42455
Adjacent,macrophage,epithelial_progenitor_like,31,0.03430080591590006,0.021783437287774834,42455
Adjacent,macrophage,inflammatory_macrophage,31,1.258588625434766,0.420899975810527,42455
Adjacent,macrophage,macrophage,31,1.8249348538439951,0.21438831234955594,42455
Adjacent,macrophage,refined_c1q_macrophage,31,0.9783521332002969,0.23424170206230385,42455
Adjacent,macrophage,refined_epithelial_progenitor_like,31,0.20402685089403155,0.033047336662190896,42455
Adjacent,macrophage,refined_inflammatory_macrophage,31,0.4700986257555488,0.17783926046357146,42455
Adjacent,macrophage,refined_spp1_macrophage,31,0.12079005020378183,0.028828126258607492,42455
Adjacent,macrophage,spp1_macrophage,31,1.3228758695317964,0.22802576817052467,42455
Tumor,all_cells,c1q_macrophage,31,0.5174941245283342,0.4667913246539456,176340
Tumor,all_cells,epithelial,31,0.37374596737879695,0.3036867977544116,176340
Tumor,all_cells,epithelial_progenitor_like,31,0.3065936675589991,0.27037640176644095,176340
Tumor,all_cells,inflammatory_macrophage,31,0.5272715731975212,0.2965379231275338,176340
Tumor,all_cells,macrophage,31,0.4567228467096867,0.394782792334979,176340
Tumor,all_cells,refined_c1q_macrophage,31,0.24253128941494215,0.19855995035813,176340
Tumor,all_cells,refined_epithelial_progenitor_like,31,0.24630726943088044,0.15387325718776312,176340
Tumor,all_cells,refined_inflammatory_macrophage,31,0.3061461085957847,0.14302356540796035,176340
Tumor,all_cells,refined_spp1_macrophage,31,0.082018382354036,0.0443040261223082,176340
Tumor,all_cells,spp1_macrophage,31,0.49124806697569967,0.28857626770791817,176340
Tumor,epithelial,c1q_macrophage,31,0.1517782894708482,0.12269372282666324,32565
Tumor,epithelial,epithelial,31,1.4735414946920307,0.2537986179061377,32565
Tumor,epithelial,epithelial_progenitor_like,31,1.3127200678327944,0.25219380187859985,32565
Tumor,epithelial,inflammatory_macrophage,31,0.39414963636087214,0.144824672945506,32565
Tumor,epithelial,macrophage,31,0.14483676135395238,0.11029400951122639,32565
Tumor,epithelial,refined_c1q_macrophage,31,0.20738010986262026,0.062168246824998025,32565
Tumor,epithelial,refined_epithelial_progenitor_like,31,0.8097999293777427,0.1587564852978869,32565
Tumor,epithelial,refined_inflammatory_macrophage,31,0.17671319644840944,0.05508266518149835,32565
Tumor,epithelial,refined_spp1_macrophage,31,0.16790703588745554,0.029227960608654215,32565
Tumor,epithelial,spp1_macrophage,31,0.6190982932425733,0.12249783292947931,32565
Tumor,macrophage,c1q_macrophage,31,2.0620792121848863,0.2805534161685822,31477
Tumor,macrophage,epithelial,31,0.13800675160984216,0.10170107233325826,31477
Tumor,macrophage,epithelial_progenitor_like,31,0.06374918238791968,0.04582642665581836,31477
Tumor,macrophage,inflammatory_macrophage,31,1.3259251280767435,0.44772715105412353,31477
Tumor,macrophage,macrophage,31,1.766614489909634,0.21518002254496374,31477
Tumor,macrophage,refined_c1q_macrophage,31,0.7292921049372687,0.2356095921297677,31477
Tumor,macrophage,refined_epithelial_progenitor_like,31,0.17886178093478636,0.028203178770174846,31477
Tumor,macrophage,refined_inflammatory_macrophage,31,0.5906579320051667,0.22317168572259705,31477
Tumor,macrophage,refined_spp1_macrophage,31,0.14512289435765097,0.06294574571380762,31477
Tumor,macrophage,spp1_macrophage,31,1.2474822687926426,0.2276318916574994,31477
