signature,expected_celltype,specificity_status,n_genes
c1q_macrophage_vs_other_macrophage,Myeloid cells,expected,20
c1q_macrophage_vs_other_macrophage,Myeloid cells,off_target,10
epithelial_progenitor_like_vs_other_epithelial,Epithelial cells,expected,25
epithelial_progenitor_like_vs_other_epithelial,Epithelial cells,off_target,5
inflammatory_macrophage_vs_other_macrophage,Myeloid cells,expected,19
inflammatory_macrophage_vs_other_macrophage,Myeloid cells,missing,1
inflammatory_macrophage_vs_other_macrophage,Myeloid cells,off_target,10
proliferating_epithelial_vs_other_epithelial,Epithelial cells,expected,23
proliferating_epithelial_vs_other_epithelial,Epithelial cells,missing,3
proliferating_epithelial_vs_other_epithelial,Epithelial cells,off_target,4
resident_macrophage_vs_other_macrophage,Myeloid cells,expected,3
resident_macrophage_vs_other_macrophage,Myeloid cells,missing,26
resident_macrophage_vs_other_macrophage,Myeloid cells,off_target,1
spp1_macrophage_vs_other_macrophage,Myeloid cells,expected,14
spp1_macrophage_vs_other_macrophage,Myeloid cells,missing,1
spp1_macrophage_vs_other_macrophage,Myeloid cells,off_target,15
