stage,broad_class,n_samples,mean_fraction,sd_fraction,total_cells
AIS,ambiguous,3,0.030566454760179097,0.0077229576115473465,1089
AIS,b_plasma,3,0.0896825395363528,0.07229303907203954,4133
AIS,dendritic,3,0.0048202661571775446,0.0049420180777996195,221
AIS,endothelial,3,0.023501982741054046,0.0029073584360242116,938
AIS,epithelial,3,0.11697263151322877,0.10069724021652088,2897
AIS,fibroblast,3,0.03827275399659006,0.024369806398872814,1604
AIS,macrophage,3,0.22216206118359347,0.08876864354110105,7053
AIS,mast_cell,3,0.1477742411597593,0.09172921642780163,6117
AIS,neutrophil,3,0.020323728131162535,0.016007740533189103,639
AIS,t_nk,3,0.3047242967913896,0.10728637726793817,13358
AIS,unassigned,3,0.001199044029512748,0.0007958620073656286,58
IAC,ambiguous,3,0.024326668911772126,0.007231656620739666,1257
IAC,b_plasma,3,0.12522270356350598,0.05394831763871905,6398
IAC,dendritic,3,0.008407771268276753,0.00708245928084746,443
IAC,endothelial,3,0.0068171204111916765,0.0012724461290842914,346
IAC,epithelial,3,0.15526238551025848,0.11452142279756165,7891
IAC,fibroblast,3,0.010136495504157673,0.009142566361499753,489
IAC,macrophage,3,0.14990938058298164,0.07965286679445724,7802
IAC,mast_cell,3,0.02370535416952271,0.006514263903552948,1188
IAC,neutrophil,3,0.03417929357900428,0.039830565202566066,1828
IAC,t_nk,3,0.45562388479383076,0.22264694460940995,22886
IAC,unassigned,3,0.0064089417054979435,0.004148618710381327,325
MIA,ambiguous,3,0.021606390609521922,0.006409195615109962,701
MIA,b_plasma,3,0.09313279314407819,0.07813897338945949,3404
MIA,dendritic,3,0.007960654084070663,0.0020410029366266214,261
MIA,endothelial,3,0.07686354925715007,0.09268382726275987,2846
MIA,epithelial,3,0.06677316318747563,0.04987105203969209,2058
MIA,fibroblast,3,0.02997751344329332,0.017655750895008405,1055
MIA,macrophage,3,0.20593812625786664,0.10118354230759112,6506
MIA,mast_cell,3,0.06798912513976063,0.03158687631753878,2187
MIA,neutrophil,3,0.04054447275867964,0.04267128262971457,1200
MIA,t_nk,3,0.3863194198648177,0.0716269023548438,13101
MIA,unassigned,3,0.002894792253285578,0.0008799493737417822,94
