stage,epithelial_state,n_samples,mean_fraction,sd_fraction,total_cells
AIS,at2_mature_like,3,0.2057819675321786,0.014039869531025916,596
AIS,other_epithelial,3,0.465369031627445,0.06504314542137063,1368
AIS,progenitor_like,3,0.15778730979335626,0.01847715838037455,446
AIS,proliferating_epithelial,3,0.17106169104702018,0.07529615713313394,487
IAC,at2_mature_like,3,0.19765622228261248,0.021296053220609307,1525
IAC,other_epithelial,3,0.4379748645699871,0.05404098588064676,3384
IAC,progenitor_like,3,0.13571939641773653,0.005898488933359831,1069
IAC,proliferating_epithelial,3,0.22864951672966394,0.037024396886130635,1913
MIA,at2_mature_like,3,0.17844051072251443,0.0167640120191917,376
MIA,other_epithelial,3,0.41887140254487193,0.02169530011743289,848
MIA,progenitor_like,3,0.1557385084286754,0.008722513124867382,325
MIA,proliferating_epithelial,3,0.24694957830393824,0.006306337355082191,509
