sample,sample_name,stage,macrophage_state,n_cells,denominator,fraction
GSM5699777,GSM5699777_TD1,IAC,ambiguous_macrophage,47,1111,0.0423042304230423
GSM5699777,GSM5699777_TD1,IAC,c1q_macrophage,463,1111,0.41674167416741675
GSM5699777,GSM5699777_TD1,IAC,inflammatory_macrophage,526,1111,0.4734473447344735
GSM5699777,GSM5699777_TD1,IAC,other_macrophage,6,1111,0.0054005400540054005
GSM5699777,GSM5699777_TD1,IAC,resident_macrophage,2,1111,0.0018001800180018
GSM5699777,GSM5699777_TD1,IAC,spp1_macrophage,67,1111,0.06030603060306031
GSM5699778,GSM5699778_TD2,IAC,ambiguous_macrophage,144,2613,0.05510907003444317
GSM5699778,GSM5699778_TD2,IAC,c1q_macrophage,1664,2613,0.6368159203980099
GSM5699778,GSM5699778_TD2,IAC,inflammatory_macrophage,449,2613,0.17183314198239572
GSM5699778,GSM5699778_TD2,IAC,other_macrophage,11,2613,0.004209720627631076
GSM5699778,GSM5699778_TD2,IAC,resident_macrophage,7,2613,0.0026789131266743206
GSM5699778,GSM5699778_TD2,IAC,spp1_macrophage,338,2613,0.12935323383084577
GSM5699779,GSM5699779_TD3,MIA,ambiguous_macrophage,34,1363,0.024944974321349962
GSM5699779,GSM5699779_TD3,MIA,c1q_macrophage,715,1363,0.524578136463683
GSM5699779,GSM5699779_TD3,MIA,inflammatory_macrophage,576,1363,0.42259721203228173
GSM5699779,GSM5699779_TD3,MIA,other_macrophage,5,1363,0.003668378576669112
GSM5699779,GSM5699779_TD3,MIA,resident_macrophage,23,1363,0.016874541452677916
GSM5699779,GSM5699779_TD3,MIA,spp1_macrophage,10,1363,0.007336757153338224
GSM5699780,GSM5699780_TD4,MIA,ambiguous_macrophage,47,2355,0.019957537154989383
GSM5699780,GSM5699780_TD4,MIA,c1q_macrophage,1509,2355,0.640764331210191
GSM5699780,GSM5699780_TD4,MIA,inflammatory_macrophage,756,2355,0.32101910828025476
GSM5699780,GSM5699780_TD4,MIA,other_macrophage,8,2355,0.003397027600849257
GSM5699780,GSM5699780_TD4,MIA,resident_macrophage,7,2355,0.0029723991507431
GSM5699780,GSM5699780_TD4,MIA,spp1_macrophage,28,2355,0.0118895966029724
GSM5699781,GSM5699781_TD5,AIS,ambiguous_macrophage,104,2630,0.03954372623574144
GSM5699781,GSM5699781_TD5,AIS,c1q_macrophage,1896,2630,0.7209125475285171
GSM5699781,GSM5699781_TD5,AIS,inflammatory_macrophage,555,2630,0.21102661596958175
GSM5699781,GSM5699781_TD5,AIS,other_macrophage,2,2630,0.0007604562737642585
GSM5699781,GSM5699781_TD5,AIS,resident_macrophage,9,2630,0.0034220532319391636
GSM5699781,GSM5699781_TD5,AIS,spp1_macrophage,64,2630,0.024334600760456272
GSM5699782,GSM5699782_TD6,MIA,ambiguous_macrophage,131,2788,0.046987087517934005
GSM5699782,GSM5699782_TD6,MIA,c1q_macrophage,1499,2788,0.537661406025825
GSM5699782,GSM5699782_TD6,MIA,inflammatory_macrophage,1046,2788,0.3751793400286944
GSM5699782,GSM5699782_TD6,MIA,other_macrophage,15,2788,0.005380200860832138
GSM5699782,GSM5699782_TD6,MIA,resident_macrophage,49,2788,0.01757532281205165
GSM5699782,GSM5699782_TD6,MIA,spp1_macrophage,48,2788,0.01721664275466284
GSM5699783,GSM5699783_TD7,AIS,ambiguous_macrophage,32,1104,0.028985507246376812
GSM5699783,GSM5699783_TD7,AIS,c1q_macrophage,712,1104,0.644927536231884
GSM5699783,GSM5699783_TD7,AIS,inflammatory_macrophage,311,1104,0.2817028985507246
GSM5699783,GSM5699783_TD7,AIS,resident_macrophage,10,1104,0.009057971014492754
GSM5699783,GSM5699783_TD7,AIS,spp1_macrophage,39,1104,0.035326086956521736
GSM5699784,GSM5699784_TD8,AIS,ambiguous_macrophage,74,3319,0.022295872250677914
GSM5699784,GSM5699784_TD8,AIS,c1q_macrophage,2204,3319,0.6640554383850558
GSM5699784,GSM5699784_TD8,AIS,inflammatory_macrophage,947,3319,0.28532690569448627
GSM5699784,GSM5699784_TD8,AIS,other_macrophage,11,3319,0.0033142512805061767
GSM5699784,GSM5699784_TD8,AIS,resident_macrophage,50,3319,0.015064778547755347
GSM5699784,GSM5699784_TD8,AIS,spp1_macrophage,33,3319,0.009942753841518529
GSM5699785,GSM5699785_TD9,IAC,ambiguous_macrophage,116,4078,0.028445316331535065
GSM5699785,GSM5699785_TD9,IAC,c1q_macrophage,1163,4078,0.2851888180480628
GSM5699785,GSM5699785_TD9,IAC,inflammatory_macrophage,2672,4078,0.6552231486022561
GSM5699785,GSM5699785_TD9,IAC,other_macrophage,19,4078,0.004659146640510054
GSM5699785,GSM5699785_TD9,IAC,resident_macrophage,18,4078,0.004413928396272682
GSM5699785,GSM5699785_TD9,IAC,spp1_macrophage,90,4078,0.022069641981363415
