stage,macrophage_state,n_samples,mean_fraction,sd_fraction,total_cells
AIS,ambiguous_macrophage,3,0.03027503524426539,0.008695934602762481,210
AIS,c1q_macrophage,3,0.6766318407151523,0.0395228403219418,4812
AIS,inflammatory_macrophage,3,0.2593521400715975,0.04189033977834737,1813
AIS,other_macrophage,2,0.0020373537771352177,0.001805805767027555,13
AIS,resident_macrophage,3,0.009181600931395755,0.00582234716090958,69
AIS,spp1_macrophage,3,0.023201147186165515,0.012729569425577953,136
IAC,ambiguous_macrophage,3,0.04195287226300684,0.01333534888181798,307
IAC,c1q_macrophage,3,0.44624880420449653,0.17766093498297228,3290
IAC,inflammatory_macrophage,3,0.43350121177304174,0.24415823717195462,3647
IAC,other_macrophage,3,0.004756469107382176,0.0006013455524706034,36
IAC,resident_macrophage,3,0.0029643405136496014,0.0013300457665640943,27
IAC,spp1_macrophage,3,0.07057630213842316,0.05437417703367236,495
MIA,ambiguous_macrophage,3,0.03062986633142445,0.014383589471352293,212
MIA,c1q_macrophage,3,0.5676679578998997,0.06364041820216947,3723
MIA,inflammatory_macrophage,3,0.37293188678041034,0.05082633249647084,2378
MIA,other_macrophage,3,0.004148535679450169,0.0010752474958311254,28
MIA,resident_macrophage,3,0.012474087805157555,0.008236160458155409,79
MIA,spp1_macrophage,3,0.01214766550365782,0.0049449959091935666,86
