target,stage,n_samples,observed_fraction_mean,null_mean_mean,enrichment_delta_mean,empirical_p_greater_median,empirical_p_less_median
c1q_macrophage,AIS,2,0.3856149732620321,0.5655635561497326,-0.17994858288770055,0.999001996007984,0.00499001996007984
c1q_macrophage,IAC,2,0.36355015851449274,0.5709303243885869,-0.2073801658740942,1.0,0.001996007984031936
c1q_macrophage,MIA,2,0.4207189753524917,0.5505395436443872,-0.12982056829189545,1.0,0.001996007984031936
inflammatory_macrophage,AIS,2,0.49049465240641715,0.5649485294117648,-0.07445387700534761,0.9261477045908184,0.08483033932135728
inflammatory_macrophage,IAC,2,0.5466697803442029,0.5711906419836956,-0.02452086163949274,0.8163672654690619,0.19461077844311378
inflammatory_macrophage,MIA,2,0.5912388332795178,0.550577171456248,0.04066166182326991,0.15768463073852296,0.8632734530938124
resident_macrophage,AIS,2,0.47846256684491983,0.566185614973262,-0.08772304812834217,0.935129740518962,0.07984031936127745
resident_macrophage,IAC,2,0.5063264266304348,0.5714294893568841,-0.06510306272644939,0.719560878243513,0.2944111776447106
resident_macrophage,MIA,2,0.5305618340329351,0.5520835970293834,-0.0215217629964482,0.5289421157684631,0.4760479041916168
spp1_macrophage,AIS,2,0.42177807486631014,0.5657778342245989,-0.14399975935828882,0.7704590818363273,0.24451097804391217
spp1_macrophage,IAC,2,0.5059725996376812,0.5697164430480073,-0.06374384341032613,0.6107784431137725,0.3992015968063872
spp1_macrophage,MIA,2,0.6075503175115704,0.5496591324938112,0.05789118501775914,0.005988023952095808,0.996007984031936
