top_n,quantile,radius_multiplier,stage,n_samples,observed_fraction_mean,null_mean_mean,enrichment_delta_mean,empirical_p_greater_median,empirical_p_less_median
10,0.7,0.75,AIS,2,0.23441399286987522,0.29936151960784313,-0.06494752673796791,0.5248756218905473,0.4900497512437811
10,0.7,0.75,IAC,2,0.24552957612416906,0.29905197813838524,-0.05352240201421618,0.6169154228855721,0.4054726368159204
10,0.7,0.75,MIA,2,0.33053648614289344,0.3016591884656227,0.028877297677270763,0.208955223880597,0.8059701492537313
10,0.7,1.0,AIS,2,0.5079768270944741,0.641976882798574,-0.13400005570409987,0.6268656716417911,0.39303482587064675
10,0.7,1.0,IAC,2,0.5422085757710672,0.6468447533659825,-0.10463617759491531,0.9378109452736318,0.07213930348258707
10,0.7,1.0,MIA,2,0.6230014507710024,0.6273719358071224,-0.004370485036119809,0.5323383084577115,0.47761194029850745
10,0.7,1.25,AIS,2,0.7498774509803922,0.9028366198752229,-0.1529591688948308,0.9402985074626866,0.08208955223880597
10,0.7,1.25,IAC,2,0.8121949122618481,0.9154862520533644,-0.10329133979151633,1.0,0.004975124378109453
10,0.7,1.25,MIA,2,0.857667399530369,0.9024666846143492,-0.04479928508398018,0.945273631840796,0.06965174129353234
10,0.75,0.75,AIS,2,0.1731149732620321,0.24973014705882352,-0.07661517379679142,0.6940298507462687,0.3333333333333333
10,0.75,0.75,IAC,2,0.18575917119565216,0.25012815613677536,-0.0643689849411232,0.8482587064676617,0.17412935323383083
10,0.75,0.75,MIA,2,0.2855559143256915,0.25190665697987297,0.033649257345818556,0.06716417910447761,0.955223880597015
10,0.75,1.0,AIS,2,0.4224732620320856,0.566149665775401,-0.14367640374331556,0.5845771144278606,0.43034825870646765
10,0.75,1.0,IAC,2,0.4446402287137681,0.5690186608355978,-0.12437843212182964,0.9253731343283582,0.09701492537313433
10,0.75,1.0,MIA,2,0.5355828220858896,0.5513683941448714,-0.01578557205898179,0.691542288557214,0.3283582089552239
10,0.75,1.25,AIS,2,0.633475935828877,0.8507929144385027,-0.2173169786096257,0.945273631840796,0.07213930348258707
10,0.75,1.25,IAC,2,0.7224085711050725,0.8638343877377717,-0.14142581663269926,1.0,0.007462686567164179
10,0.75,1.25,MIA,2,0.8054299860079648,0.8468401679044236,-0.0414101818964589,0.8582089552238805,0.16417910447761194
10,0.8,0.75,AIS,2,0.12448195187165775,0.1998338068181818,-0.07535185494652406,0.7711442786069651,0.2512437810945274
10,0.8,0.75,IAC,2,0.12945101959824495,0.2006935335332844,-0.07124251393503941,0.9477611940298507,0.06965174129353234
10,0.8,0.75,MIA,2,0.23671310629514963,0.20046689213442814,0.03624621416072149,0.16666666666666666,0.8582089552238805
10,0.8,1.0,AIS,2,0.3266209893048128,0.4776026905080214,-0.15098170120320856,0.6442786069651741,0.3681592039800995
10,0.8,1.0,IAC,2,0.33467394565922315,0.48124868462354314,-0.14657473896432002,0.9651741293532339,0.04975124378109453
10,0.8,1.0,MIA,2,0.4368746354376991,0.4614316081123525,-0.02455697267465337,0.6716417910447761,0.3606965174129353
10,0.8,1.25,AIS,2,0.5074532085561497,0.7744838736631017,-0.26703066510695195,0.9477611940298507,0.06716417910447761
10,0.8,1.25,IAC,2,0.576253116456967,0.7870348614516225,-0.21078174499465552,1.0,0.004975124378109453
10,0.8,1.25,MIA,2,0.7046484497689236,0.7679853165522501,-0.06333686678332656,0.8557213930348259,0.17164179104477612
20,0.7,0.75,AIS,2,0.18855837789661317,0.29961424910873435,-0.11105587121212117,0.9925373134328358,0.01243781094527363
20,0.7,0.75,IAC,2,0.22580683789551254,0.30058177687028875,-0.0747749389747762,0.9054726368159204,0.10696517412935323
20,0.7,0.75,MIA,2,0.3021529740805552,0.30106268975935147,0.0010902843212036994,0.5572139303482587,0.46766169154228854
20,0.7,1.0,AIS,2,0.460906862745098,0.6402569630124777,-0.1793501002673797,0.9701492537313433,0.0373134328358209
20,0.7,1.0,IAC,2,0.5281756912353962,0.6470335523588743,-0.11885786112347807,0.9751243781094527,0.03482587064676617
20,0.7,1.0,MIA,2,0.574393143985283,0.6300214063504883,-0.055628262365205405,0.9776119402985075,0.03980099502487562
20,0.7,1.25,AIS,2,0.680770944741533,0.9033696524064172,-0.22259870766488427,0.9950248756218906,0.009950248756218905
20,0.7,1.25,IAC,2,0.7963341879423369,0.9155386431674779,-0.11920445522514095,1.0,0.004975124378109453
20,0.7,1.25,MIA,2,0.8437168154828674,0.9044540726282886,-0.060737257145421164,1.0,0.007462686567164179
20,0.75,0.75,AIS,2,0.13294117647058823,0.2505350267379679,-0.11759385026737966,1.0,0.004975124378109453
20,0.75,0.75,IAC,2,0.1761350769927536,0.24961043648097825,-0.07347535948822465,0.8756218905472637,0.13432835820895522
20,0.75,0.75,MIA,2,0.24558712732752125,0.2503650306748466,-0.004777903347325391,0.6368159203980099,0.39054726368159204
20,0.75,1.0,AIS,2,0.34561497326203205,0.5650108957219251,-0.219395922459893,1.0,0.004975124378109453
20,0.75,1.0,IAC,2,0.437599071557971,0.5713805621603261,-0.13378149060235506,0.9825870646766169,0.02736318407960199
20,0.75,1.0,MIA,2,0.4989021633839199,0.5521869820256162,-0.05328481864169632,0.9203980099502487,0.08955223880597016
20,0.75,1.25,AIS,2,0.5497727272727273,0.8508857620320855,-0.30111303475935836,1.0,0.004975124378109453
20,0.75,1.25,IAC,2,0.7127774003623188,0.8642373612998189,-0.15145996093749997,0.9975124378109452,0.007462686567164179
20,0.75,1.25,MIA,2,0.7817511570336886,0.8475558336024109,-0.06580467656872235,0.972636815920398,0.03482587064676617
20,0.8,0.75,AIS,2,0.08288770053475936,0.19873988970588236,-0.11585218917112301,1.0,0.004975124378109453
20,0.8,0.75,IAC,2,0.12121375541534092,0.1995312420057607,-0.07831748659041977,0.9751243781094527,0.03233830845771144
20,0.8,0.75,MIA,2,0.1823540629066272,0.1994542221923094,-0.017100159285682218,0.7114427860696517,0.31840796019900497
20,0.8,1.0,AIS,2,0.24662433155080216,0.47791794786096264,-0.23129361631016046,1.0,0.004975124378109453
20,0.8,1.0,IAC,2,0.3467954594794912,0.48274702804431,-0.13595156856481883,0.9601990049751243,0.04975124378109453
20,0.8,1.0,MIA,2,0.403435859469646,0.46323091937003635,-0.059795059900390385,0.8905472636815921,0.13184079601990048
20,0.8,1.25,AIS,2,0.42259358288770055,0.7730127005347595,-0.3504191176470589,1.0,0.004975124378109453
20,0.8,1.25,IAC,2,0.6068044199414528,0.7887050127423854,-0.18190059280093251,0.9850746268656716,0.022388059701492536
20,0.8,1.25,MIA,2,0.6686521290438372,0.7663208092161349,-0.09766868017229774,0.9751243781094527,0.03482587064676617
30,0.7,0.75,AIS,2,0.27038770053475936,0.2999106506238859,-0.029522950089126518,0.5024875621890548,0.5024875621890548
