gene,stage,mean_expression,status
EPCAM,Normal,51.114,present
EPCAM,AIS,57.452105263157904,present
EPCAM,MIA,62.388124999999995,present
EPCAM,IAC,68.59478260869564,present
KRT8,Normal,32.964,present
KRT8,AIS,40.775789473684206,present
KRT8,MIA,52.095625000000005,present
KRT8,IAC,54.98608695652173,present
KRT18,Normal,52.843999999999994,present
KRT18,AIS,44.10157894736842,present
KRT18,MIA,65.013125,present
KRT18,IAC,65.40608695652175,present
KRT19,Normal,121.05999999999999,present
KRT19,AIS,101.31052631578947,present
KRT19,MIA,125.89874999999999,present
KRT19,IAC,139.91565217391303,present
CLDN4,Normal,4.638,present
CLDN4,AIS,26.335789473684212,present
CLDN4,MIA,13.473125,present
CLDN4,IAC,21.665217391304346,present
SFTPC,Normal,4493.752,present
SFTPC,AIS,4130.146315789474,present
SFTPC,MIA,3044.4618749999995,present
SFTPC,IAC,2088.1934782608696,present
MUC1,Normal,29.748,present
MUC1,AIS,64.60263157894737,present
MUC1,MIA,84.34875,present
MUC1,IAC,76.05739130434783,present
MKI67,Normal,0.38,present
MKI67,AIS,0.5342105263157894,present
MKI67,MIA,0.6712499999999999,present
MKI67,IAC,1.0295652173913046,present
TOP2A,Normal,0.61,present
TOP2A,AIS,1.1394736842105264,present
TOP2A,MIA,1.235625,present
TOP2A,IAC,2.4956521739130437,present
PCNA,Normal,22.296,present
PCNA,AIS,23.022631578947372,present
PCNA,MIA,25.553125,present
PCNA,IAC,22.99260869565217,present
VIM,Normal,354.66999999999996,present
VIM,AIS,223.72736842105257,present
VIM,MIA,214.35375,present
VIM,IAC,239.4930434782609,present
SNAI2,Normal,4.678,present
SNAI2,AIS,3.9805263157894735,present
SNAI2,MIA,5.826249999999999,present
SNAI2,IAC,2.998695652173913,present
ZEB1,Normal,3.9379999999999997,present
ZEB1,AIS,4.432631578947369,present
ZEB1,MIA,2.9593750000000005,present
ZEB1,IAC,3.0104347826086952,present
S100A4,Normal,275.102,present
S100A4,AIS,172.13263157894738,present
S100A4,MIA,146.93312500000002,present
S100A4,IAC,191.07347826086954,present
SRGN,Normal,145.772,present
SRGN,AIS,185.29999999999998,present
SRGN,MIA,125.75437500000001,present
SRGN,IAC,129.28434782608696,present
CD68,Normal,143.204,present
CD68,AIS,90.20578947368419,present
CD68,MIA,50.299375,present
CD68,IAC,73.35260869565218,present
CD163,Normal,29.526000000000003,present
CD163,AIS,30.507368421052632,present
CD163,MIA,17.504375000000003,present
CD163,IAC,22.466956521739124,present
LST1,Normal,9.978,present
LST1,AIS,9.01263157894737,present
LST1,MIA,9.182499999999997,present
LST1,IAC,11.006521739130436,present
IL1B,Normal,3.4240000000000004,present
IL1B,AIS,1.9815789473684209,present
IL1B,MIA,1.9131250000000002,present
IL1B,IAC,2.131304347826087,present
IL1R1,Normal,26.808000000000003,present
IL1R1,AIS,18.224210526315787,present
IL1R1,MIA,18.380625,present
IL1R1,IAC,21.376086956521743,present
SPP1,Normal,3.53,present
SPP1,AIS,5.813157894736842,present
SPP1,MIA,19.797499999999996,present
SPP1,IAC,56.61999999999998,present
C1QA,Normal,338.55800000000005,present
C1QA,AIS,260.788947368421,present
C1QA,MIA,203.16375000000002,present
C1QA,IAC,255.99695652173915,present
C1QB,Normal,282.518,present
C1QB,AIS,151.8621052631579,present
C1QB,MIA,153.26687500000003,present
C1QB,IAC,217.93956521739136,present
C1QC,Normal,196.298,present
C1QC,AIS,148.82526315789474,present
C1QC,MIA,116.231875,present
C1QC,IAC,170.5813043478261,present
APOE,Normal,236.77999999999997,present
APOE,AIS,206.15157894736842,present
APOE,MIA,263.6425,present
APOE,IAC,433.53304347826094,present
SELENOP,Normal,80.34400000000001,present
SELENOP,AIS,91.66789473684211,present
SELENOP,MIA,53.53125000000001,present
SELENOP,IAC,49.06217391304347,present
TGFB1,Normal,30.936,present
TGFB1,AIS,30.858947368421056,present
TGFB1,MIA,26.532500000000002,present
TGFB1,IAC,30.769130434782607,present
TGFB2,Normal,2.766,present
TGFB2,AIS,2.9894736842105267,present
TGFB2,MIA,1.6793749999999996,present
TGFB2,IAC,1.4321739130434785,present
TGFBR1,Normal,5.2700000000000005,present
TGFBR1,AIS,7.842631578947371,present
TGFBR1,MIA,4.73625,present
TGFBR1,IAC,5.569565217391307,present
TGFBR2,Normal,63.048,present
TGFBR2,AIS,57.025263157894734,present
TGFBR2,MIA,29.873125,present
TGFBR2,IAC,31.126086956521732,present
CXCL8,Normal,7.114,present
CXCL8,AIS,6.179999999999998,present
CXCL8,MIA,7.508749999999999,present
CXCL8,IAC,8.818695652173913,present
CXCR1,Normal,0.4700000000000001,present
CXCR1,AIS,1.4673684210526314,present
CXCR1,MIA,0.971875,present
CXCR1,IAC,0.45869565217391306,present
CXCR2,Normal,0.568,present
CXCR2,AIS,1.9821052631578946,present
CXCR2,MIA,1.1025,present
CXCR2,IAC,0.6282608695652173,present
CCL2,Normal,17.982,present
CCL2,AIS,17.03157894736842,present
CCL2,MIA,35.163124999999994,present
CCL2,IAC,23.8604347826087,present
CCR2,Normal,0.732,present
CCR2,AIS,1.7342105263157896,present
CCR2,MIA,0.9293750000000001,present
CCR2,IAC,1.4347826086956526,present
CD44,Normal,22.625999999999998,present
CD44,AIS,11.664210526315788,present
CD44,MIA,13.536250000000003,present
CD44,IAC,11.794782608695652,present
ITGA4,Normal,3.086,present
ITGA4,AIS,4.6089473684210525,present
ITGA4,MIA,3.145625,present
ITGA4,IAC,3.5721739130434793,present
ITGAV,Normal,2.308,present
ITGAV,AIS,9.702105263157893,present
ITGAV,MIA,4.016249999999999,present
ITGAV,IAC,4.8530434782608705,present
ITGB1,Normal,51.53599999999999,present
ITGB1,AIS,59.357894736842105,present
ITGB1,MIA,33.5925,present
ITGB1,IAC,35.85826086956522,present
ITGA5,Normal,21.498,present
ITGA5,AIS,12.340526315789475,present
ITGA5,MIA,10.00625,present
ITGA5,IAC,12.89695652173913,present
TREM2,Normal,28.778,present
TREM2,AIS,22.804210526315796,present
TREM2,MIA,27.103125000000002,present
TREM2,IAC,45.43000000000001,present
PLA2G7,Normal,6.878,present
PLA2G7,AIS,6.621578947368421,present
PLA2G7,MIA,7.7787500000000005,present
PLA2G7,IAC,13.282173913043476,present
CHIT1,Normal,5.232,present
CHIT1,AIS,3.2631578947368425,present
CHIT1,MIA,11.1175,present
CHIT1,IAC,14.899130434782606,present
LGALS3,Normal,123.93800000000002,present
LGALS3,AIS,95.65842105263158,present
LGALS3,MIA,113.69499999999998,present
LGALS3,IAC,119.3817391304348,present
CD9,Normal,79.08599999999998,present
CD9,AIS,66.6421052631579,present
CD9,MIA,48.27374999999999,present
CD9,IAC,48.45217391304348,present
MIF,Normal,67.16999999999999,present
MIF,AIS,103.49473684210524,present
MIF,MIA,121.185625,present
MIF,IAC,123.6008695652174,present
CD74,Normal,870.2819999999999,present
CD74,AIS,801.6236842105264,present
CD74,MIA,793.32,present
CD74,IAC,893.1069565217391,present
CXCR4,Normal,27.361999999999995,present
CXCR4,AIS,72.19789473684212,present
CXCR4,MIA,69.108125,present
CXCR4,IAC,105.67086956521739,present
IL1RAP,Normal,1.29,present
IL1RAP,AIS,1.7726315789473681,present
IL1RAP,MIA,1.158125,present
IL1RAP,IAC,1.0500000000000003,present
NFKBIA,Normal,141.994,present
NFKBIA,AIS,106.94315789473683,present
NFKBIA,MIA,119.055625,present
NFKBIA,IAC,104.28826086956524,present
TNF,Normal,2.2199999999999998,present
TNF,AIS,2.6126315789473686,present
TNF,MIA,2.0887499999999997,present
TNF,IAC,2.6417391304347824,present
CCL3,Normal,5.412000000000001,present
CCL3,AIS,6.668947368421053,present
CCL3,MIA,12.898750000000003,present
CCL3,IAC,15.233913043478255,present
CCL4,Normal,9.968,present
CCL4,AIS,12.528421052631579,present
CCL4,MIA,17.028750000000002,present
CCL4,IAC,19.436521739130434,present
NLRP3,Normal,1.2319999999999998,present
NLRP3,AIS,1.892631578947368,present
NLRP3,MIA,1.7225,present
NLRP3,IAC,2.1117391304347826,present
CXCL9,Normal,11.601999999999999,present
CXCL9,AIS,14.907368421052633,present
CXCL9,MIA,12.594999999999999,present
CXCL9,IAC,18.919130434782605,present
CXCL10,Normal,8.922,present
CXCL10,AIS,12.504210526315791,present
CXCL10,MIA,6.7299999999999995,present
CXCL10,IAC,11.419130434782607,present
CXCR3,Normal,1.3639999999999999,present
CXCR3,AIS,2.445789473684211,present
CXCR3,MIA,1.9531249999999998,present
CXCR3,IAC,2.8078260869565224,present
