gene,normal_mean,iac_mean,delta_iac_vs_normal,max_stage
APOE,236.77999999999997,433.53304347826094,196.75304347826096,IAC
CXCR4,27.361999999999995,105.67086956521739,78.30886956521739,IAC
MIF,67.16999999999999,123.6008695652174,56.43086956521741,IAC
SPP1,3.53,56.61999999999998,53.08999999999998,IAC
MUC1,29.748,76.05739130434783,46.30939130434783,MIA
CD74,870.2819999999999,893.1069565217391,22.824956521739182,IAC
KRT8,32.964,54.98608695652173,22.022086956521733,IAC
KRT19,121.05999999999999,139.91565217391303,18.855652173913043,IAC
EPCAM,51.114,68.59478260869564,17.48078260869564,IAC
CLDN4,4.638,21.665217391304346,17.027217391304347,AIS
TREM2,28.778,45.43000000000001,16.652000000000008,IAC
KRT18,52.843999999999994,65.40608695652175,12.562086956521753,IAC
CCL3,5.412000000000001,15.233913043478255,9.821913043478254,IAC
CHIT1,5.232,14.899130434782606,9.667130434782607,IAC
CCL4,9.968,19.436521739130434,9.468521739130434,IAC
CXCL9,11.601999999999999,18.919130434782605,7.317130434782607,IAC
PLA2G7,6.878,13.282173913043476,6.404173913043476,IAC
CCL2,17.982,23.8604347826087,5.8784347826087,MIA
ITGAV,2.308,4.8530434782608705,2.5450434782608706,AIS
CXCL10,8.922,11.419130434782607,2.4971304347826067,AIS
TOP2A,0.61,2.4956521739130437,1.8856521739130438,IAC
CXCL8,7.114,8.818695652173913,1.7046956521739132,IAC
CXCR3,1.3639999999999999,2.8078260869565224,1.4438260869565225,IAC
LST1,9.978,11.006521739130436,1.0285217391304364,IAC
NLRP3,1.2319999999999998,2.1117391304347826,0.8797391304347828,IAC
CCR2,0.732,1.4347826086956526,0.7027826086956526,AIS
PCNA,22.296,22.99260869565217,0.69660869565217,MIA
MKI67,0.38,1.0295652173913046,0.6495652173913046,IAC
ITGA4,3.086,3.5721739130434793,0.48617391304347946,AIS
TNF,2.2199999999999998,2.6417391304347824,0.4217391304347826,IAC
TGFBR1,5.2700000000000005,5.569565217391307,0.29956521739130615,AIS
CXCR2,0.568,0.6282608695652173,0.06026086956521737,AIS
CXCR1,0.4700000000000001,0.45869565217391306,-0.011304347826087024,AIS
TGFB1,30.936,30.769130434782607,-0.16686956521739305,Normal
IL1RAP,1.29,1.0500000000000003,-0.23999999999999977,AIS
ZEB1,3.9379999999999997,3.0104347826086952,-0.9275652173913045,AIS
IL1B,3.4240000000000004,2.131304347826087,-1.2926956521739132,Normal
TGFB2,2.766,1.4321739130434785,-1.3338260869565215,AIS
SNAI2,4.678,2.998695652173913,-1.6793043478260867,MIA
LGALS3,123.93800000000002,119.3817391304348,-4.556260869565222,Normal
IL1R1,26.808000000000003,21.376086956521743,-5.431913043478261,Normal
CD163,29.526000000000003,22.466956521739124,-7.059043478260879,AIS
ITGA5,21.498,12.89695652173913,-8.601043478260872,Normal
CD44,22.625999999999998,11.794782608695652,-10.831217391304346,Normal
ITGB1,51.53599999999999,35.85826086956522,-15.677739130434766,AIS
SRGN,145.772,129.28434782608696,-16.487652173913034,AIS
C1QC,196.298,170.5813043478261,-25.71669565217391,Normal
CD9,79.08599999999998,48.45217391304348,-30.633826086956503,Normal
SELENOP,80.34400000000001,49.06217391304347,-31.281826086956535,AIS
TGFBR2,63.048,31.126086956521732,-31.92191304347827,Normal
NFKBIA,141.994,104.28826086956524,-37.705739130434765,Normal
C1QB,282.518,217.93956521739136,-64.57843478260861,Normal
CD68,143.204,73.35260869565218,-69.85139130434783,Normal
C1QA,338.55800000000005,255.99695652173915,-82.5610434782609,Normal
S100A4,275.102,191.07347826086954,-84.02852173913044,Normal
VIM,354.66999999999996,239.4930434782609,-115.17695652173907,Normal
SFTPC,4493.752,2088.1934782608696,-2405.558521739131,Normal
