axis_id,axis_label,evidence_type,analysis_level,n_late,n_precursor,late_mean,precursor_mean,mean_difference,ci_95_low,ci_95_high,late_median,precursor_median,mannwhitney_p,mannwhitney_q_bh
mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,patient_aggregated,25,20,0.2498345353257438,0.11493267505747098,0.1349018602682728,0.08422260871082007,0.18911818454550072,0.2392773437499999,0.11786058028858686,9.840374811686228e-05,0.0009840374811686228
spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,target_near_epithelial_progenitor,patient_aggregated,25,20,0.19628698148839085,0.12841437030506528,0.06787261118332558,-0.02026833932773616,0.1582636730017777,0.2600523388943409,0.1119279985119047,0.030886484685352992,0.15443242342676497
spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,patient_aggregated,25,20,0.09320664095065254,0.0294565094212726,0.06375013152937994,-0.021901799899526005,0.1491982764754916,0.0829981829194426,0.0491767350118718,0.1600929570605245,0.320185914121049
c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,patient_aggregated,25,20,0.13764399645813874,0.09651037758893931,0.04113361886919943,-0.05765916848831267,0.13276301097977458,0.1846972594008923,0.11128341145833329,0.09317966167782914,0.31059887225943045
mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,patient_aggregated,25,20,0.13815582354264908,0.09713030230314457,0.04102552123950451,-0.04713891798264405,0.12663783521268435,0.1833186490455213,0.11367736686674955,0.3316636172174833,0.3943573290177925
c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,patient_aggregated,25,20,0.04418632443275853,0.008040912630852253,0.03614541180190628,-0.0429221450048051,0.11468430754389584,0.0566745074977947,0.010585684107191299,0.35492159611601326,0.3943573290177925
inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,source_near_epithelial_progenitor,patient_aggregated,25,20,0.057044143274636874,0.021015572445548886,0.03602857082908799,-0.03300245961517859,0.10826768771787396,0.0550554390170812,0.032104655784301,0.23045621074144462,0.38409368456907433
cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,source_near_epithelial_progenitor,patient_aggregated,25,20,0.039600681116133435,0.02223762555068072,0.017363055565452715,-0.031146198731708208,0.06329059834885556,0.0521274373259052,0.01578979205413075,0.1600929570605245,0.320185914121049
inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,target_near_epithelial_progenitor,patient_aggregated,25,20,0.13645986913220354,0.12062154610526307,0.015838323026940465,-0.06560081505259123,0.09490351483792717,0.16372921798029555,0.1091122387007087,0.4718263098260306,0.4718263098260306
cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,target_near_epithelial_progenitor,patient_aggregated,25,20,0.02810539804945829,0.01992307301711447,0.00818232503234382,-0.009872183888850911,0.025428639259194363,0.0277985491071428,0.020056359983929198,0.309414370839603,0.3943573290177925
