axis_id,axis_label,evidence_type,n_paired_patients,paired_difference_mean,paired_difference_median,ci_95_low,ci_95_high,positive_fraction,wilcoxon_p,wilcoxon_q_bh
mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,20,0.14068757281851754,0.11389672991911905,0.09417446247600784,0.1877853727375361,0.95,1.9073486328125e-05,0.00019073486328125
spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,target_near_epithelial_progenitor,20,0.058407447942122846,0.07303944093651182,-0.009391348171497773,0.12939307788088042,0.7,0.2305126190185547,0.4610252380371094
spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,20,0.04971764360097198,0.04748857205731655,-0.0325043838618995,0.12216202594281841,0.7,0.10539817810058594,0.410308837890625
inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,source_near_epithelial_progenitor,20,0.040595962848659184,0.06510829729872733,-0.026400684200809165,0.10567867977807398,0.7,0.1893482208251953,0.4610252380371094
c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,20,0.022756573662734016,0.020823520250548642,-0.04828215826243885,0.09450514193172353,0.6,0.47490501403808594,0.6784357343401227
c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,20,0.021374748907966173,0.021734264185006305,-0.05409955110176142,0.09849668707287852,0.65,0.4304332733154297,0.6784357343401227
mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,20,0.01383824723431322,0.03228014703518094,-0.05520328236459356,0.08808556847670866,0.55,0.7561664581298828,0.7561664581298828
inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,target_near_epithelial_progenitor,20,0.010028693834488794,0.02506862255862315,-0.04218511070882441,0.062346593689821365,0.55,0.6742229461669922,0.7491366068522135
cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,source_near_epithelial_progenitor,20,0.00994340588881046,0.022891074572650147,-0.04091065902123758,0.061669736273920056,0.6,0.5458755493164062,0.6823444366455078
cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,target_near_epithelial_progenitor,20,0.009838014236110042,0.010002367599050148,-0.009424682909000542,0.026285384821040713,0.7,0.1230926513671875,0.410308837890625
