axis_id,evidence_type,stage,n_samples,n_tests,n_invalid_tests,n_valid_samples,n_valid_tests,observed_fraction_mean,null_mean_mean,enrichment_delta_mean,empirical_p_greater_median,empirical_p_less_median
c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,AAH,11,11,0,11,11,0.40340500887312475,0.4063163592725516,-0.0029113503994268497,0.25742574257425743,0.7722772277227723
c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,AIS,14,14,0,14,14,0.4306231055986364,0.4138117141402306,0.016811391458405798,0.06930693069306931,0.9405940594059405
c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,LUAD,26,26,0,26,26,0.4672327318450445,0.4206061356013562,0.046626596243688284,0.009900990099009901,1.0
c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,MIA,4,4,0,4,4,0.5130343633447282,0.4177656149871517,0.09526874835757647,0.009900990099009901,1.0
c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,Normal,1,1,0,1,1,0.3238034050754899,0.3748634757468679,-0.05106007067137802,1.0,0.009900990099009901
c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,AAH,11,11,0,11,11,0.4866897846995533,0.40536784995996383,0.08132193473958949,0.009900990099009901,1.0
c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,AIS,14,14,0,14,14,0.5299520020383548,0.413971076829161,0.11598092520919379,0.009900990099009901,1.0
c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,LUAD,26,26,0,26,26,0.5672553832487469,0.42005966355016394,0.14719571969858303,0.009900990099009901,1.0
c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,MIA,4,4,0,4,4,0.591942539855699,0.41759039465428144,0.17435214520141754,0.009900990099009901,1.0
c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,Normal,1,1,0,1,1,0.46064889174429813,0.374622550594282,0.08602634115001612,0.009900990099009901,1.0
cxcl9_cxcl10_cxcr3,source_near_epithelial_progenitor,AAH,11,11,0,11,11,0.23861251846671608,0.23368875000774325,0.004923768458972855,0.42574257425742573,0.6039603960396039
cxcl9_cxcl10_cxcr3,source_near_epithelial_progenitor,AIS,14,14,0,14,14,0.21562529411389555,0.18692568814394375,0.028699605969951806,0.009900990099009901,1.0
cxcl9_cxcl10_cxcr3,source_near_epithelial_progenitor,LUAD,26,26,0,26,26,0.3749260181431064,0.3341405492948668,0.04078546884823956,0.009900990099009901,1.0
cxcl9_cxcl10_cxcr3,source_near_epithelial_progenitor,MIA,4,4,0,4,4,0.21012127538198577,0.1411234661413308,0.06899780924065495,0.009900990099009901,1.0
cxcl9_cxcl10_cxcr3,source_near_epithelial_progenitor,Normal,1,1,0,1,1,0.35335689045936397,0.37426276903308703,-0.020905878573723058,1.0,0.009900990099009901
cxcl9_cxcl10_cxcr3,target_near_epithelial_progenitor,AAH,11,11,0,11,11,0.0946560021237985,0.07621107042664697,0.018444931697151536,0.0297029702970297,0.9801980198019802
cxcl9_cxcl10_cxcr3,target_near_epithelial_progenitor,AIS,14,14,0,14,14,0.0737382232519317,0.05481040657955218,0.018927816672379524,0.009900990099009901,1.0
cxcl9_cxcl10_cxcr3,target_near_epithelial_progenitor,LUAD,26,26,0,26,26,0.17194234297977312,0.14435533391713462,0.02758700906263852,0.009900990099009901,1.0
cxcl9_cxcl10_cxcr3,target_near_epithelial_progenitor,MIA,4,4,0,4,4,0.07836845735172294,0.05517197690676705,0.023196480444955897,0.009900990099009901,1.0
cxcl9_cxcl10_cxcr3,target_near_epithelial_progenitor,Normal,1,1,0,1,1,0.1326694506906521,0.12462255059428204,0.008046900096370074,0.10891089108910891,0.9108910891089109
inflammatory_il1_tnf_cxcl8,source_near_epithelial_progenitor,AAH,11,11,0,11,11,0.4068102466159813,0.38083121845601364,0.02597902815996764,0.009900990099009901,1.0
inflammatory_il1_tnf_cxcl8,source_near_epithelial_progenitor,AIS,14,14,0,14,14,0.4223027053114437,0.4012403050551579,0.02106240025628588,0.009900990099009901,1.0
inflammatory_il1_tnf_cxcl8,source_near_epithelial_progenitor,LUAD,26,26,0,26,26,0.4796574478300849,0.41902240410802655,0.060635043722058315,0.009900990099009901,1.0
inflammatory_il1_tnf_cxcl8,source_near_epithelial_progenitor,MIA,4,4,0,4,4,0.4287380336067776,0.41787170333823614,0.010866330268541474,0.504950495049505,0.504950495049505
inflammatory_il1_tnf_cxcl8,source_near_epithelial_progenitor,Normal,1,1,0,1,1,0.44073241246386125,0.3751172502409252,0.06561516222293606,0.009900990099009901,1.0
inflammatory_il1_tnf_cxcl8,target_near_epithelial_progenitor,AAH,11,11,0,11,11,0.5251823726308745,0.4058185445495564,0.11936382808131815,0.009900990099009901,1.0
inflammatory_il1_tnf_cxcl8,target_near_epithelial_progenitor,AIS,14,14,0,14,14,0.5468763145674455,0.4139130948672981,0.13296321970014735,0.009900990099009901,1.0
inflammatory_il1_tnf_cxcl8,target_near_epithelial_progenitor,LUAD,26,26,0,26,26,0.5597888098699353,0.42038054607411257,0.13940826379582272,0.009900990099009901,1.0
inflammatory_il1_tnf_cxcl8,target_near_epithelial_progenitor,MIA,4,4,0,4,4,0.5647423865138907,0.4183989367329535,0.14634344978093722,0.009900990099009901,1.0
inflammatory_il1_tnf_cxcl8,target_near_epithelial_progenitor,Normal,1,1,0,1,1,0.5271442338580148,0.37634436235142943,0.15079987150658536,0.009900990099009901,1.0
mif_cd74_cxcr4,source_near_epithelial_progenitor,AAH,11,11,0,11,11,0.40422894551908056,0.3142264076205135,0.09000253789856705,0.009900990099009901,1.0
mif_cd74_cxcr4,source_near_epithelial_progenitor,AIS,14,14,0,14,14,0.46433709450764576,0.33502515021219886,0.12931194429544693,0.009900990099009901,1.0
mif_cd74_cxcr4,source_near_epithelial_progenitor,LUAD,26,26,0,26,26,0.6634616783751591,0.4022205925528703,0.26124108582228883,0.009900990099009901,1.0
mif_cd74_cxcr4,source_near_epithelial_progenitor,MIA,4,4,0,4,4,0.4665051735151382,0.3197417791681607,0.14676339434697755,0.009900990099009901,1.0
mif_cd74_cxcr4,source_near_epithelial_progenitor,Normal,1,1,0,1,1,0.32573080629617734,0.26427240603919044,0.0614584002569869,0.009900990099009901,1.0
mif_cd74_cxcr4,target_near_epithelial_progenitor,AAH,11,11,0,11,11,0.4864064235300887,0.4055508364010416,0.08085558712904717,0.009900990099009901,1.0
mif_cd74_cxcr4,target_near_epithelial_progenitor,AIS,14,14,0,14,14,0.5268432101048581,0.41398330034460035,0.11285990976025781,0.009900990099009901,1.0
