stage,panel,n_samples,mean_score,sd_score
AAH,c1q_apoe_trem2_lgals3_source,11,0.28623321727804696,0.45351954086661017
AAH,c1q_apoe_trem2_lgals3_target,11,0.29748464149102627,0.4640910787935163
AAH,cxcl9_cxcl10_cxcr3_source,11,0.061621568601104036,0.11444321559940514
AAH,cxcl9_cxcl10_cxcr3_target,11,0.013820954812749218,0.028492524024763207
AAH,epithelial_progenitor_like,11,0.3544553367684698,0.1775606040588535
AAH,inflammatory_il1_tnf_cxcl8_source,11,0.05323742227623618,0.1198377611942664
AAH,inflammatory_il1_tnf_cxcl8_target,11,0.23114551348452486,0.3794664348550797
AAH,mif_cd74_cxcr4_source,11,0.10900360698612889,0.1781663785044686
AAH,mif_cd74_cxcr4_target,11,0.5979891039711167,0.8482059078911179
AAH,spp1_trem2_macrophage_epithelial_source,11,0.17000750266405237,0.2640072020791944
AAH,spp1_trem2_macrophage_epithelial_target,11,0.25966594030051765,0.40571534473582044
AIS,c1q_apoe_trem2_lgals3_source,14,0.17227455947040762,0.3685929093625206
AIS,c1q_apoe_trem2_lgals3_target,14,0.17655608969062783,0.39791781106597646
AIS,cxcl9_cxcl10_cxcr3_source,14,0.010995808394256512,0.0233792744944652
AIS,cxcl9_cxcl10_cxcr3_target,14,0.0038471213687507632,0.008558746006364016
AIS,epithelial_progenitor_like,14,0.32432648123366736,0.19562880845005892
AIS,inflammatory_il1_tnf_cxcl8_source,14,0.04469273780084769,0.1415592463270539
AIS,inflammatory_il1_tnf_cxcl8_target,14,0.1335270574500637,0.3212554446972976
AIS,mif_cd74_cxcr4_source,14,0.07946585470837195,0.1987976453187329
AIS,mif_cd74_cxcr4_target,14,0.3482785684502886,0.6470595593698956
AIS,spp1_trem2_macrophage_epithelial_source,14,0.14921431585061054,0.36374096508298376
AIS,spp1_trem2_macrophage_epithelial_target,14,0.1557338002926994,0.34870412587383487
LUAD,c1q_apoe_trem2_lgals3_source,26,0.307983447025287,0.48488768513016534
LUAD,c1q_apoe_trem2_lgals3_target,26,0.2726437330171961,0.4370295475736409
LUAD,cxcl9_cxcl10_cxcr3_source,26,0.0899633571490027,0.1883048533144658
LUAD,cxcl9_cxcl10_cxcr3_target,26,0.015087942498727348,0.031001581174061956
LUAD,epithelial_progenitor_like,26,0.39283465501856385,0.23231665775506558
LUAD,inflammatory_il1_tnf_cxcl8_source,26,0.04097705215817366,0.07527433717222519
LUAD,inflammatory_il1_tnf_cxcl8_target,26,0.20086772239305486,0.32660946563867393
LUAD,mif_cd74_cxcr4_source,26,0.18857948911179137,0.34412739767488865
LUAD,mif_cd74_cxcr4_target,26,0.5813497867883931,0.8152277445300565
LUAD,spp1_trem2_macrophage_epithelial_source,26,0.224291340313497,0.3382276733599717
LUAD,spp1_trem2_macrophage_epithelial_target,26,0.2509403227025323,0.39113174306086046
MIA,c1q_apoe_trem2_lgals3_source,4,0.016514153569048215,0.005626131515882157
MIA,c1q_apoe_trem2_lgals3_target,4,0.017048730048248223,0.003697931430289159
MIA,cxcl9_cxcl10_cxcr3_source,4,0.001017294131766566,0.0001978932288221141
MIA,cxcl9_cxcl10_cxcr3_target,4,0.00040290257945630776,9.264984298914596e-05
MIA,epithelial_progenitor_like,4,0.2469143088792789,0.0114758819740196
MIA,inflammatory_il1_tnf_cxcl8_source,4,0.0016350886568143204,0.000496981026071782
MIA,inflammatory_il1_tnf_cxcl8_target,4,0.01313737576745046,0.00623685612404957
MIA,mif_cd74_cxcr4_source,4,0.003925716747175203,0.0022496178287415257
MIA,mif_cd74_cxcr4_target,4,0.06202365621517536,0.01444029718830632
MIA,spp1_trem2_macrophage_epithelial_source,4,0.01115436864510247,0.003085603447336526
MIA,spp1_trem2_macrophage_epithelial_target,4,0.01692498814227883,0.002956309006274682
Normal,c1q_apoe_trem2_lgals3_source,1,0.046519466431535234,
Normal,c1q_apoe_trem2_lgals3_target,1,0.02062111395803353,
Normal,cxcl9_cxcl10_cxcr3_source,1,0.008433068604920605,
Normal,cxcl9_cxcl10_cxcr3_target,1,0.0013004043750575287,
Normal,epithelial_progenitor_like,1,0.24294528732019108,
Normal,inflammatory_il1_tnf_cxcl8_source,1,0.0014470035643198151,
Normal,inflammatory_il1_tnf_cxcl8_target,1,0.009354014409928023,
Normal,mif_cd74_cxcr4_source,1,0.0033817023586040764,
Normal,mif_cd74_cxcr4_target,1,0.10942720767009692,
Normal,spp1_trem2_macrophage_epithelial_source,1,0.03148159692121054,
Normal,spp1_trem2_macrophage_epithelial_target,1,0.016404896794204902,
