gene,mean_expression,n_reference_samples
A1CF,0.0010527519319290745,5
A2M,0.22102655406120256,5
A2ML1,3.601783710028752e-05,5
A3GALT2,0.000221242041155131,5
A4GALT,0.00304176770829689,5
A4GNT,0.0003368355708511791,5
AAAS,0.009356102244567963,5
AACS,0.006944418652345384,5
AADAC,0.001426845571210177,5
AADACL2,0.00020945503507753053,5
AADACL3,0.00010681236185561323,5
AADACL4,0.00012171972584190238,5
AADAT,0.003008932316514956,5
AAGAB,0.008595654632711171,5
AAK1,0.007806280506812787,5
AAMDC,0.0041896657522825665,5
AAMP,0.017029169350046735,5
AANAT,0.00029863291257603065,5
AAR2,0.0020285240864209853,5
AARD,0.0008851388030309459,5
AARS,0.004570813001310523,5
AARS2,0.004900665240910858,5
AARSD1,0.004463696689848799,5
AASDH,0.004909476980401875,5
AASDHPPT,0.007675355528629427,5
AASS,0.009426887101843145,5
AATF,0.01287717771234525,5
AATK,0.004763326303064947,5
ABAT,0.002506796208549669,5
ABCA1,0.01368322688358552,5
ABCA10,0.0029488292692674877,5
ABCA12,0.0008837140565194565,5
ABCA13,0.0028720213896966836,5
ABCA2,0.004072627195780973,5
ABCA3,0.0129584691441256,5
ABCA4,0.00036834907615988213,5
ABCA5,0.013039698319323195,5
ABCA6,0.0033598448503957754,5
ABCA7,0.002795002520961474,5
ABCA8,0.006216317405810459,5
ABCA9,0.0012480965255480994,5
ABCB1,0.0019079237513717703,5
ABCB10,0.004123477592955394,5
ABCB11,0.00010350750719885218,5
ABCB4,0.0003808294364852801,5
ABCB5,0.00024806440236468507,5
ABCB6,0.003401314582261465,5
ABCB7,0.00798546873139338,5
ABCB8,0.004473000410475695,5
ABCB9,0.0006459144730038655,5
ABCC1,0.006466979506195852,5
ABCC11,0.00018881405894275436,5
ABCC12,0.0001741066795666796,5
ABCC2,0.0003349909945274913,5
ABCC3,0.033799403875407426,5
ABCC4,0.020786233368384283,5
ABCC5,0.006995768257870336,5
ABCC8,0.00018065853017997695,5
ABCC9,0.004137289170716336,5
ABCD1,0.0028679628175764986,5
ABCD2,0.0014616173503617022,5
ABCD3,0.007577277013686959,5
ABCD4,0.003886820029073903,5
ABCE1,0.002125836831908668,5
