gene,mean_expression,n_reference_samples,target_gene,target_mean_expression,expression_log_distance
PRKDC,0.016457854413888175,5,MIF,0.016457163321195057,6.799031804921585e-07
PHACTR2,0.016455230802792178,5,MIF,0.016457163321195057,1.9012313648807122e-06
RMND5A,0.016454694286142962,5,MIF,0.016457163321195057,2.4290625713629943e-06
CKB,0.016453819426988304,5,MIF,0.016457163321195057,3.289759596101366e-06
KIF13B,0.016461510331068654,5,MIF,0.016457163321195057,4.276619551921157e-06
NR2F2,0.016449003832687575,5,MIF,0.016457163321195057,8.027412813600004e-06
LIFR,0.01644863160133242,5,MIF,0.016457163321195057,8.393620485512565e-06
CITED2,0.016466696237873436,5,MIF,0.016457163321195057,9.378528008929105e-06
DDX46,0.016467045418414396,5,MIF,0.016457163321195057,9.722051788188524e-06
PPM1A,0.016467449130915295,5,MIF,0.016457163321195057,1.0119223956776141e-05
UXT,0.01644659865076768,5,MIF,0.016457163321195057,1.0393674924606688e-05
SETD3,0.016441522784534677,5,MIF,0.016457163321195057,1.538742365036691e-05
TRIM27,0.016436530917741214,5,MIF,0.016457163321195057,2.0298556203921653e-05
DERL1,0.0164782579479165,5,MIF,0.016457163321195057,2.075287439187376e-05
MS4A7,0.016484515355561717,5,MIF,0.016457163321195057,2.6908823460309456e-05
PHF10,0.016490986855815272,5,MIF,0.016457163321195057,3.327535394386655e-05
RAB1B,0.016423251764889887,5,MIF,0.016457163321195057,3.336306066668501e-05
PRDX1,0.016421819676904734,5,MIF,0.016457163321195057,3.4772010128966e-05
SPRY2,0.01641745296278866,5,MIF,0.016457163321195057,3.906818265460993e-05
BSG,0.016501035042059985,5,MIF,0.016457163321195057,4.3160475121480774e-05
