axis_id,axis_label,evidence_type,n_paired_patients,paired_difference_mean,paired_difference_median,ci_95_low,ci_95_high,positive_fraction,wilcoxon_p,wilcoxon_q_bh
PRDX1,PRDX1 single-gene control,source_near_epithelial_progenitor,20,0.14052280605163714,0.1374909099064815,0.09216486733933736,0.18976762380460177,0.95,8.20159912109375e-05,0.0005741119384765625
MIF,MIF single-gene control,source_near_epithelial_progenitor,20,0.14050055323632685,0.11420595503468987,0.0991137324866913,0.18994270048630182,0.95,2.6702880859375e-05,0.000560760498046875
TRIM27,TRIM27 single-gene control,source_near_epithelial_progenitor,20,0.13522817820520486,0.14403585445315525,0.07163504274985545,0.192491055859672,0.85,0.0010166168212890625,0.0035581588745117188
BSG,BSG single-gene control,source_near_epithelial_progenitor,20,0.13283333604275063,0.1370128659932215,0.08399186302662456,0.18169907129362298,0.9,6.29425048828125e-05,0.0005741119384765625
PRKDC,PRKDC single-gene control,source_near_epithelial_progenitor,20,0.1220951537620373,0.16469867420450474,0.06696215640829335,0.18037882699702104,0.85,0.0010166168212890625,0.0035581588745117188
RAB1B,RAB1B single-gene control,source_near_epithelial_progenitor,20,0.1106518795355487,0.10211559692475847,0.06558482574753874,0.1563680461395066,0.8,0.0001678466796875,0.000881195068359375
DERL1,DERL1 single-gene control,source_near_epithelial_progenitor,20,0.09631067377686157,0.06567102080886439,0.03371681665824585,0.15868142157867912,0.75,0.012079238891601562,0.02536640167236328
PPM1A,PPM1A single-gene control,source_near_epithelial_progenitor,20,0.09117833157348021,0.10209006046518647,0.04154968975137635,0.14004126765032113,0.7,0.006389617919921875,0.014909108479817709
UXT,UXT single-gene control,source_near_epithelial_progenitor,20,0.0910007388153982,0.10556083318551472,0.03612132659538482,0.14324614849058623,0.8,0.002712249755859375,0.008136749267578125
SPRY2,SPRY2 single-gene control,source_near_epithelial_progenitor,20,0.08625504567152222,0.07632204982836589,0.03703342379598132,0.13459716782711748,0.8,0.005580902099609375,0.01464986801147461
CKB,CKB single-gene control,source_near_epithelial_progenitor,20,0.08381056933178029,0.09972050407334872,0.018076149364616965,0.1455197421708717,0.75,0.026641845703125,0.04303682767427885
DDX46,DDX46 single-gene control,source_near_epithelial_progenitor,20,0.08308369176262347,0.08795716612554062,0.019833991239585003,0.1435069869554695,0.75,0.01531219482421875,0.029232371937144886
RMND5A,RMND5A single-gene control,source_near_epithelial_progenitor,20,0.07884197700706044,0.07951469007296327,0.029772429183129695,0.12906900207839764,0.65,0.01923370361328125,0.03365898132324219
KIF13B,KIF13B single-gene control,source_near_epithelial_progenitor,20,0.07211878325435654,0.07950744765869036,0.0076108065600852945,0.13533278303918433,0.7,0.039989471435546875,0.05998420715332031
PHF10,PHF10 single-gene control,source_near_epithelial_progenitor,20,0.0718638521465081,0.0891723824098409,0.0052555136282830305,0.14085958968735535,0.75,0.0758514404296875,0.09955501556396484
SETD3,SETD3 single-gene control,source_near_epithelial_progenitor,20,0.05445499853721292,0.050183070053812395,0.0011920285496871891,0.10438177596433489,0.7,0.06372261047363281,0.08921165466308593
CITED2,CITED2 single-gene control,source_near_epithelial_progenitor,20,0.0394256537218594,0.05128201731933224,-0.02647820548886533,0.1003107693534268,0.65,0.2305126190185547,0.26893138885498047
PHACTR2,PHACTR2 single-gene control,source_near_epithelial_progenitor,20,0.008124158022537051,0.023838290000197132,-0.06192330442948542,0.0762337513374016,0.6,0.7561664581298828,0.793974781036377
NR2F2,NR2F2 single-gene control,source_near_epithelial_progenitor,20,-0.011896126231296137,0.015424577957714458,-0.08110605995566167,0.053755056022862985,0.55,1.0,1.0
LIFR,LIFR single-gene control,source_near_epithelial_progenitor,20,-0.04393750633161152,-0.022079773265718167,-0.10653404899503478,0.015977796953459602,0.35,0.21616744995117188,0.26703037935144763
MS4A7,MS4A7 single-gene control,source_near_epithelial_progenitor,20,-0.0500130462400367,-0.05235433174274856,-0.11759294619494517,0.01519558201416432,0.45,0.2942523956298828,0.32522633201197576
