perturbation_id,axis_id,evidence_type,stage,n_samples,baseline_panel_mean,perturbed_panel_mean,panel_mean_delta_mean,baseline_observed_fraction,perturbed_observed_fraction,observed_fraction_delta_mean
c1q_apoe_trem2_lgals3_gene_TREM2_x0,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,AAH,11,0.286233217278,0.279019292209,-0.007213925069,0.403405008873,0.402642072566,-0.000762936307
c1q_apoe_trem2_lgals3_gene_TREM2_x0,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,AIS,14,0.17227455947,0.164911209512,-0.007363349958,0.430623105599,0.430104784485,-0.000518321114
c1q_apoe_trem2_lgals3_gene_TREM2_x0,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,LUAD,26,0.307983447025,0.297656236576,-0.010327210449,0.467232731845,0.466714682898,-0.000518048947
c1q_apoe_trem2_lgals3_gene_TREM2_x0,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,MIA,4,0.016514153569,0.016278434772,-0.000235718797,0.513034363345,0.513420021279,0.000385657934
c1q_apoe_trem2_lgals3_gene_TREM2_x0,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,Normal,1,0.046519466432,0.045869343982,-0.000650122449,0.323803405075,0.32637327337,0.002569868294
c1q_apoe_trem2_lgals3_gene_TREM2_x0,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,AAH,11,0.297484641491,0.280652149664,-0.016832491827,0.4866897847,0.49108081746,0.00439103276
c1q_apoe_trem2_lgals3_gene_TREM2_x0,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,AIS,14,0.176556089691,0.159374939788,-0.017181149903,0.529952002038,0.536986674683,0.007034672644
c1q_apoe_trem2_lgals3_gene_TREM2_x0,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,LUAD,26,0.272643733017,0.248546908636,-0.024096824381,0.567255383249,0.568197370403,0.000941987154
c1q_apoe_trem2_lgals3_gene_TREM2_x0,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,MIA,4,0.017048730048,0.016498719521,-0.000550010527,0.591942539856,0.595816325354,0.003873785498
c1q_apoe_trem2_lgals3_gene_TREM2_x0,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,Normal,1,0.020621113958,0.019104161576,-0.001516952382,0.460648891744,0.467394796017,0.006745904272
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,AAH,11,0.286233217278,0.282626254744,-0.003606962534,0.403405008873,0.403259926806,-0.000145082067
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,AIS,14,0.17227455947,0.168592884491,-0.003681674979,0.430623105599,0.429873139677,-0.000749965922
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,LUAD,26,0.307983447025,0.302819841801,-0.005163605224,0.467232731845,0.466690349493,-0.000542382352
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,MIA,4,0.016514153569,0.01639629417,-0.000117859399,0.513034363345,0.513108408192,7.4044847e-05
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,Normal,1,0.046519466432,0.046194405207,-0.000325061225,0.323803405075,0.323803405075,0.0
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,AAH,11,0.297484641491,0.289068395578,-0.008416245913,0.4866897847,0.488722502277,0.002032717577
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,AIS,14,0.176556089691,0.167965514739,-0.008590574951,0.529952002038,0.53132582377,0.001373821732
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,LUAD,26,0.272643733017,0.260595320827,-0.01204841219,0.567255383249,0.566846943729,-0.000408439519
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,MIA,4,0.017048730048,0.016773724785,-0.000275005264,0.591942539856,0.594657312161,0.002714772305
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,Normal,1,0.020621113958,0.019862637767,-0.000758476191,0.460648891744,0.462897526502,0.002248634757
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,source_near_epithelial_progenitor,AAH,11,0.109003606986,0.0,-0.109003606986,0.404228945519,0.0,-0.404228945519
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,source_near_epithelial_progenitor,AIS,14,0.079465854708,0.0,-0.079465854708,0.464337094508,0.0,-0.464337094508
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,source_near_epithelial_progenitor,LUAD,26,0.188579489112,0.0,-0.188579489112,0.663461678375,0.0,-0.663461678375
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,source_near_epithelial_progenitor,MIA,4,0.003925716747,0.0,-0.003925716747,0.466505173515,0.0,-0.466505173515
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,source_near_epithelial_progenitor,Normal,1,0.003381702359,0.0,-0.003381702359,0.325730806296,0.0,-0.325730806296
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,AAH,11,0.597989103971,0.0,-0.597989103971,0.48640642353,0.0,-0.48640642353
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,AIS,14,0.34827856845,0.0,-0.34827856845,0.526843210105,0.0,-0.526843210105
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,LUAD,26,0.581349786788,0.0,-0.581349786788,0.572474847366,0.0,-0.572474847366
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,MIA,4,0.062023656215,0.0,-0.062023656215,0.601061056327,0.0,-0.601061056327
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,Normal,1,0.10942720767,0.0,-0.10942720767,0.46803726309,0.0,-0.46803726309
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,mif_cd74_cxcr4,source_near_epithelial_progenitor,AAH,11,0.109003606986,0.054501803493,-0.054501803493,0.404228945519,0.404228945519,0.0
