stages,run_id,random_seed,min_abs_correlation,display_rank,broad_class,target_gene,top_impacted_signature,n_present_genes,present_genes,top_signature_mean_impact,top_signature_max_impact,top_signature_sum_impact,top_impacted_genes
"LUAD,MIA",seed7_corr0.03,7,0.03,1,macrophage,TREM2,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.016987487492011722,0.03022434730911126,0.3397497498402344,"APOE,APOC1,ACP5,CYP27A1,LGALS3"
"LUAD,MIA",seed7_corr0.03,7,0.03,2,macrophage,CD44,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.016139992822028243,0.02331619589244057,0.32279985644056486,"MARCO,MCEMP1,LTA4H,INHBA,PPARG"
"LUAD,MIA",seed7_corr0.03,7,0.03,3,macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,13,"SPP1,CHIT1,OTOA,HAMP,HBB,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.014237124446560716,0.029365977158988844,0.1850826178052893,"APOE,ACP5,APOC1,CHIT1,CYP27A1"
"LUAD,MIA",seed7_corr0.03,7,0.03,4,macrophage,CD74,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.014123123885751255,0.03582400584530616,0.2824624777150251,"C1QA,C1QB,C1QC,APOE,ACP5"
"LUAD,MIA",seed7_corr0.03,7,0.03,5,epithelial,MIF,proliferating_epithelial_vs_other_epithelial,20,"PCNA,TOP2A,MKI67,STMN1,CKS1B,TK1,TYMS,UBE2T,DEK,NUCKS1,UBE2C,CARHSP1,HMGB2,HMGB3,SIVA1,MYBL2,ECI1,NUSAP1,TMEM106C,DUT",0.012019301401923515,0.018215850857711414,0.24038602803847028,"MDK,EPCAM,KRT8,CD24,PERP"
"LUAD,MIA",seed7_corr0.03,7,0.03,6,macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,14,"SPP1,CHIT1,OTOA,HAMP,HBB,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.010227334057241595,0.03082701105202056,0.14318267680138233,"PRDM1,GPR183,ADAMDEC1,PLA2G7,APOE"
"LUAD,MIA",seed7_corr0.03,7,0.03,7,macrophage,SPP1,spp1_macrophage_vs_other_macrophage,13,"CHIT1,OTOA,HAMP,HBB,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.008019162588696368,0.026702447976678322,0.10424911365305277,"MIF,ANXA2,TREM2,G0S2,CAMK1"
"LUAD,MIA",seed7_corr0.05,7,0.05,1,macrophage,CD44,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.017735696171032975,0.025789596132008152,0.3547139234206595,"MARCO,MCEMP1,INHBA,LTA4H,PPARG"
"LUAD,MIA",seed7_corr0.05,7,0.05,2,macrophage,TREM2,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.01772592739353079,0.031613141905500325,0.3545185478706158,"APOE,APOC1,ACP5,CYP27A1,LGALS3"
"LUAD,MIA",seed7_corr0.05,7,0.05,3,macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,12,"SPP1,CHIT1,OTOA,HAMP,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.0164963542969632,0.03183431493300493,0.1979562515635584,"APOE,ACP5,APOC1,CHIT1,CYP27A1"
