stages,run_id,random_seed,min_abs_correlation,broad_class,n_cells,n_input_genes,n_network_genes,n_edges,tested_targets
"LUAD,MIA",seed7_corr0.03,7,0.03,epithelial,6000,116,116,4816,MIF
"LUAD,MIA",seed7_corr0.03,7,0.03,macrophage,6000,116,116,5534,"CD74,CD44,CXCR4,SPP1,TREM2,PLA2G7"
"LUAD,MIA",seed7_corr0.05,7,0.05,epithelial,6000,116,111,3268,MIF
"LUAD,MIA",seed7_corr0.05,7,0.05,macrophage,6000,116,115,3940,"CD74,CD44,CXCR4,SPP1,TREM2,PLA2G7"
"LUAD,MIA",seed7_corr0.08,7,0.08,epithelial,6000,116,107,2010,MIF
"LUAD,MIA",seed7_corr0.08,7,0.08,macrophage,6000,116,114,2458,"CD74,CD44,CXCR4,SPP1,TREM2,PLA2G7"
"LUAD,MIA",seed11_corr0.03,11,0.03,epithelial,6000,116,116,4794,MIF
"LUAD,MIA",seed11_corr0.03,11,0.03,macrophage,6000,116,116,5430,"CD74,CD44,CXCR4,SPP1,TREM2,PLA2G7"
"LUAD,MIA",seed11_corr0.05,11,0.05,epithelial,6000,116,115,3326,MIF
"LUAD,MIA",seed11_corr0.05,11,0.05,macrophage,6000,116,115,3888,"CD74,CD44,CXCR4,SPP1,TREM2,PLA2G7"
"LUAD,MIA",seed11_corr0.08,11,0.08,epithelial,6000,116,105,2044,MIF
"LUAD,MIA",seed11_corr0.08,11,0.08,macrophage,6000,116,113,2482,"CD74,CD44,CXCR4,SPP1,TREM2,PLA2G7"
"LUAD,MIA",seed23_corr0.03,23,0.03,epithelial,6000,116,116,4990,MIF
"LUAD,MIA",seed23_corr0.03,23,0.03,macrophage,6000,116,116,5502,"CD74,CD44,CXCR4,SPP1,TREM2,PLA2G7"
"LUAD,MIA",seed23_corr0.05,23,0.05,epithelial,6000,116,114,3360,MIF
"LUAD,MIA",seed23_corr0.05,23,0.05,macrophage,6000,116,115,3872,"CD74,CD44,CXCR4,SPP1,TREM2,PLA2G7"
"LUAD,MIA",seed23_corr0.08,23,0.08,epithelial,6000,116,107,2016,MIF
"LUAD,MIA",seed23_corr0.08,23,0.08,macrophage,6000,116,114,2538,"CD74,CD44,CXCR4,SPP1,TREM2,PLA2G7"
