stages,broad_class,target_gene,signature,n_present_genes,present_genes,mean_impact_score,max_impact_score,sum_impact_score
"LUAD,MIA",epithelial,MIF,epithelial_progenitor_like_vs_other_epithelial,24,"KRT7,TACSTD2,CLDN3,KRT19,KRT8,CLDN4,GDF15,TNFRSF12A,ANXA3,CLDN7,EPCAM,CD24,EMP2,ANXA2,MDK,SPINT1,PERP,IFT57,PLPP2,CST6,SOX4,RND3,CYP4B1,RAB11FIP1",0.011306624222170833,0.025453409495198698,0.2713589813321
"LUAD,MIA",epithelial,MIF,proliferating_epithelial_vs_other_epithelial,20,"PCNA,TOP2A,MKI67,STMN1,CKS1B,TK1,TYMS,UBE2T,DEK,NUCKS1,UBE2C,CARHSP1,HMGB2,HMGB3,SIVA1,MYBL2,ECI1,NUSAP1,TMEM106C,DUT",0.012472313350080968,0.019071199215542574,0.24944626700161937
"LUAD,MIA",macrophage,CD74,spp1_macrophage_vs_other_macrophage,13,"SPP1,CHIT1,OTOA,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.006817653908772287,0.019661520080123136,0.08862950081403974
"LUAD,MIA",macrophage,CD74,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.015084327227737499,0.03835327214782886,0.30168654455474997
"LUAD,MIA",macrophage,CD74,inflammatory_macrophage_vs_other_macrophage,18,"IL1B,CCL3,G0S2,GPR183,CCL17,NLRP3,SERPINB9,CCL4L2,CD1C,CXCL8,CLEC10A,EREG,TNF,PPIF,PDE4B,CCL4,LGALS2,PRDM1",0.0025983564458929662,0.010441674834873037,0.046770416026073396
"LUAD,MIA",macrophage,CD74,resident_macrophage_vs_other_macrophage,3,"AZU1,S100A8,FOLR2",0.008364678078553673,0.013098772376972724,0.02509403423566102
"LUAD,MIA",macrophage,CD44,spp1_macrophage_vs_other_macrophage,13,"SPP1,CHIT1,OTOA,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.002503883726320185,0.0087314233463841,0.032550488442162406
"LUAD,MIA",macrophage,CD44,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.017735696171032975,0.025789596132008152,0.3547139234206595
"LUAD,MIA",macrophage,CD44,inflammatory_macrophage_vs_other_macrophage,18,"IL1B,CCL3,G0S2,GPR183,CCL17,NLRP3,SERPINB9,CCL4L2,CD1C,CXCL8,CLEC10A,EREG,TNF,PPIF,PDE4B,CCL4,LGALS2,PRDM1",0.003861941882999133,0.010262057317309997,0.06951495389398439
"LUAD,MIA",macrophage,CD44,resident_macrophage_vs_other_macrophage,3,"AZU1,S100A8,FOLR2",0.007907163529177795,0.018412916954501278,0.023721490587533384
"LUAD,MIA",macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,13,"SPP1,CHIT1,OTOA,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.012101285284051473,0.03915599366940935,0.15731670869266914
"LUAD,MIA",macrophage,CXCR4,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.005196481097697193,0.030039379849154495,0.10392962195394387
"LUAD,MIA",macrophage,CXCR4,inflammatory_macrophage_vs_other_macrophage,18,"IL1B,CCL3,G0S2,GPR183,CCL17,NLRP3,SERPINB9,CCL4L2,CD1C,CXCL8,CLEC10A,EREG,TNF,PPIF,PDE4B,CCL4,LGALS2,PRDM1",0.009519263875717863,0.04528709308794703,0.17134674976292152
"LUAD,MIA",macrophage,CXCR4,resident_macrophage_vs_other_macrophage,3,"AZU1,S100A8,FOLR2",0.001526585370133372,0.0025432229095241825,0.004579756110400116
"LUAD,MIA",macrophage,SPP1,spp1_macrophage_vs_other_macrophage,12,"CHIT1,OTOA,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.010222136628952027,0.03500079222431019,0.12266563954742432
"LUAD,MIA",macrophage,SPP1,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.006875890861859963,0.02339567742237025,0.13751781723719925
"LUAD,MIA",macrophage,SPP1,inflammatory_macrophage_vs_other_macrophage,18,"IL1B,CCL3,G0S2,GPR183,CCL17,NLRP3,SERPINB9,CCL4L2,CD1C,CXCL8,CLEC10A,EREG,TNF,PPIF,PDE4B,CCL4,LGALS2,PRDM1",0.002885729024761305,0.025915153273391563,0.05194312244570349
"LUAD,MIA",macrophage,SPP1,resident_macrophage_vs_other_macrophage,3,"AZU1,S100A8,FOLR2",0.004430352570909446,0.012602841541978068,0.013291057712728338
"LUAD,MIA",macrophage,TREM2,spp1_macrophage_vs_other_macrophage,12,"SPP1,CHIT1,OTOA,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,RAB42,ATP6V0D2,CAMK1,EEPD1",0.010935078038566755,0.019383304029388468,0.13122093646280106
"LUAD,MIA",macrophage,TREM2,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.01772592739353079,0.031613141905500325,0.3545185478706158
"LUAD,MIA",macrophage,TREM2,inflammatory_macrophage_vs_other_macrophage,18,"IL1B,CCL3,G0S2,GPR183,CCL17,NLRP3,SERPINB9,CCL4L2,CD1C,CXCL8,CLEC10A,EREG,TNF,PPIF,PDE4B,CCL4,LGALS2,PRDM1",0.0007928030906633091,0.0061531195110779615,0.014270455631939565
"LUAD,MIA",macrophage,TREM2,resident_macrophage_vs_other_macrophage,3,"AZU1,S100A8,FOLR2",0.004366283184962822,0.007213987412121728,0.013098849554888468
"LUAD,MIA",macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,12,"SPP1,CHIT1,OTOA,HAMP,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.0164963542969632,0.03183431493300493,0.1979562515635584
"LUAD,MIA",macrophage,PLA2G7,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.012265640527481305,0.0385430366136713,0.2453128105496261
"LUAD,MIA",macrophage,PLA2G7,inflammatory_macrophage_vs_other_macrophage,18,"IL1B,CCL3,G0S2,GPR183,CCL17,NLRP3,SERPINB9,CCL4L2,CD1C,CXCL8,CLEC10A,EREG,TNF,PPIF,PDE4B,CCL4,LGALS2,PRDM1",0.0027086403836163713,0.011401778923815022,0.04875552690509469
"LUAD,MIA",macrophage,PLA2G7,resident_macrophage_vs_other_macrophage,3,"AZU1,S100A8,FOLR2",0.00450225138713501,0.010200591056108462,0.013506754161405031
