sample,sample_name,stage,broad_class,n_cells,denominator,fraction
GSM9237901,P3_Normal,Normal,ambiguous,83,2631,0.031546940326871914
GSM9237901,P3_Normal,Normal,b_plasma,143,2631,0.05435195743063474
GSM9237901,P3_Normal,Normal,dendritic,20,2631,0.007601672367920942
GSM9237901,P3_Normal,Normal,endothelial,324,2631,0.12314709236031927
GSM9237901,P3_Normal,Normal,epithelial,409,2631,0.15545419992398327
GSM9237901,P3_Normal,Normal,fibroblast,494,2631,0.18776130748764727
GSM9237901,P3_Normal,Normal,macrophage,370,2631,0.14063093880653743
GSM9237901,P3_Normal,Normal,mast_cell,82,2631,0.031166856708475865
GSM9237901,P3_Normal,Normal,neutrophil,39,2631,0.014823261117445839
GSM9237901,P3_Normal,Normal,t_nk,441,2631,0.1676168757126568
GSM9237901,P3_Normal,Normal,unassigned,226,2631,0.08589889775750666
GSM9237902,P3_AIS,AIS,ambiguous,179,5107,0.03504993146661445
GSM9237902,P3_AIS,AIS,b_plasma,183,5107,0.035833170158605834
GSM9237902,P3_AIS,AIS,dendritic,19,5107,0.003720383786959076
GSM9237902,P3_AIS,AIS,endothelial,502,5107,0.09829645584491874
GSM9237902,P3_AIS,AIS,epithelial,1683,5107,0.32954767965537496
GSM9237902,P3_AIS,AIS,fibroblast,748,5107,0.14646563540238888
GSM9237902,P3_AIS,AIS,macrophage,493,5107,0.09653416878793812
GSM9237902,P3_AIS,AIS,mast_cell,176,5107,0.03446250244762091
GSM9237902,P3_AIS,AIS,neutrophil,133,5107,0.026042686508713532
GSM9237902,P3_AIS,AIS,t_nk,676,5107,0.13236733894654396
GSM9237902,P3_AIS,AIS,unassigned,315,5107,0.061680046994321516
GSM9237903,P3_LUAD,LUAD,ambiguous,121,3877,0.031209698220273408
GSM9237903,P3_LUAD,LUAD,b_plasma,127,3877,0.03275728656177457
GSM9237903,P3_LUAD,LUAD,dendritic,28,3877,0.007222078927005417
GSM9237903,P3_LUAD,LUAD,endothelial,481,3877,0.12406499871034304
GSM9237903,P3_LUAD,LUAD,epithelial,1021,3877,0.26334794944544754
GSM9237903,P3_LUAD,LUAD,fibroblast,488,3877,0.1258705184420944
GSM9237903,P3_LUAD,LUAD,macrophage,414,3877,0.1067835955635801
GSM9237903,P3_LUAD,LUAD,mast_cell,142,3877,0.03662625741552747
GSM9237903,P3_LUAD,LUAD,neutrophil,116,3877,0.02992004126902244
GSM9237903,P3_LUAD,LUAD,t_nk,649,3877,0.16739747227237556
GSM9237903,P3_LUAD,LUAD,unassigned,290,3877,0.0748001031725561
GSM9237904,P4_Normal,Normal,ambiguous,1415,36862,0.03838641419347838
GSM9237904,P4_Normal,Normal,b_plasma,1188,36862,0.03222831099777549
GSM9237904,P4_Normal,Normal,dendritic,70,36862,0.0018989745537409798
GSM9237904,P4_Normal,Normal,endothelial,2394,36862,0.06494492973794151
GSM9237904,P4_Normal,Normal,epithelial,12981,36862,0.3521512668873094
GSM9237904,P4_Normal,Normal,fibroblast,5754,36862,0.15609570831750855
GSM9237904,P4_Normal,Normal,macrophage,5957,36862,0.16160273452335738
GSM9237904,P4_Normal,Normal,mast_cell,813,36862,0.02205523303130595
GSM9237904,P4_Normal,Normal,neutrophil,219,36862,0.005941077532418209
GSM9237904,P4_Normal,Normal,t_nk,6032,36862,0.1636373501166513
GSM9237904,P4_Normal,Normal,unassigned,39,36862,0.0010580001085128317
GSM9237905,P4_Normal1,Normal,ambiguous,441,14328,0.03077889447236181
GSM9237905,P4_Normal1,Normal,b_plasma,224,14328,0.015633724176437745
GSM9237905,P4_Normal1,Normal,dendritic,40,14328,0.0027917364600781687
GSM9237905,P4_Normal1,Normal,endothelial,917,14328,0.06400055834729201
GSM9237905,P4_Normal1,Normal,epithelial,5544,14328,0.3869346733668342
GSM9237905,P4_Normal1,Normal,fibroblast,4174,14328,0.2913176996091569
GSM9237905,P4_Normal1,Normal,macrophage,1609,14328,0.11229759910664433
GSM9237905,P4_Normal1,Normal,mast_cell,504,14328,0.035175879396984924
GSM9237905,P4_Normal1,Normal,neutrophil,59,14328,0.004117811278615299
GSM9237905,P4_Normal1,Normal,t_nk,808,14328,0.056393076493579004
GSM9237905,P4_Normal1,Normal,unassigned,8,14328,0.0005583472920156337
GSM9237906,P4_AAH,AAH,ambiguous,153,5613,0.027258150721539285
GSM9237906,P4_AAH,AAH,b_plasma,81,5613,0.014430785676109033
GSM9237906,P4_AAH,AAH,dendritic,14,5613,0.002494209869944771
GSM9237906,P4_AAH,AAH,endothelial,377,5613,0.06716550864065562
GSM9237906,P4_AAH,AAH,epithelial,1712,5613,0.3050062355246749
GSM9237906,P4_AAH,AAH,fibroblast,1364,5613,0.24300730447176197
