stage,broad_class,n_samples,mean_fraction,sd_fraction,total_cells
AAH,ambiguous,9,0.02652432408256731,0.006014503028497489,1802
AAH,b_plasma,9,0.022980489082266933,0.011950015932943243,1291
AAH,dendritic,9,0.005574262315731178,0.0029097990206831638,274
AAH,endothelial,9,0.13860279292508576,0.058589238138842585,7956
AAH,epithelial,9,0.32412047777661207,0.06327955875867819,21552
AAH,fibroblast,9,0.22917919340735093,0.04267934389065964,14314
AAH,macrophage,9,0.10900946607808926,0.02849284701123138,7192
AAH,mast_cell,9,0.023031617309723956,0.008073571539893722,1461
AAH,neutrophil,9,0.00847056728285519,0.004579570148279266,487
AAH,t_nk,9,0.10794915650040617,0.03075436523823463,6363
AAH,unassigned,8,0.005127359894225143,0.0037545446264311117,200
AIS,ambiguous,14,0.028716112128518913,0.006673425084631894,4514
AIS,b_plasma,14,0.030575254402305737,0.017463591366800008,3909
AIS,dendritic,14,0.005676082542494577,0.004888398010518051,579
AIS,endothelial,14,0.14929825960014906,0.04333198792310004,21579
AIS,epithelial,14,0.34410274032657245,0.06316268392826925,47943
AIS,fibroblast,14,0.19574235463869974,0.027326731626431726,30356
AIS,macrophage,14,0.10191606819306269,0.0384869179609568,17712
AIS,mast_cell,14,0.023349461440064462,0.00840018482757469,3308
AIS,neutrophil,14,0.011280598095569274,0.005886105405403065,1456
AIS,t_nk,14,0.09699004532550314,0.031230950979027308,14773
AIS,unassigned,14,0.012353023307059962,0.020148453498820818,858
LUAD,ambiguous,23,0.02971170784709872,0.004287834547434771,11043
LUAD,b_plasma,23,0.06723219070595582,0.048186237475375,24733
LUAD,dendritic,23,0.005002088521641854,0.003047792030685283,1453
LUAD,endothelial,23,0.0879087054269088,0.0420400780034796,27097
LUAD,epithelial,23,0.2966945862700662,0.11606243264392446,101812
LUAD,fibroblast,23,0.26109053214039385,0.09930337919896667,103626
LUAD,macrophage,23,0.0989973546655756,0.022329787899672313,39111
LUAD,mast_cell,23,0.018899525731737667,0.010304529927037315,5600
LUAD,neutrophil,23,0.007167510783015267,0.005788751717558556,2212
LUAD,t_nk,23,0.12032839377038426,0.04914305903466125,43845
LUAD,unassigned,24,0.048343762298171056,0.20325199856725334,17948
MIA,ambiguous,4,0.027526706851360192,0.00407945995331909,816
MIA,b_plasma,4,0.04142157212807264,0.05130412907612298,805
MIA,dendritic,4,0.006571223651966244,0.0009737463144779098,173
MIA,endothelial,4,0.17245056955441856,0.022680931676407372,4880
MIA,epithelial,4,0.2704446901470612,0.012146662314694592,7603
MIA,fibroblast,4,0.24383196149611436,0.03203027065915809,7164
MIA,macrophage,4,0.07334796207966163,0.012307293344600002,2022
MIA,mast_cell,4,0.02434448182720766,0.005075876787336512,753
MIA,neutrophil,4,0.0079701212984137,0.003904340746399626,209
MIA,t_nk,4,0.1243810754966977,0.025669883708680997,3220
MIA,unassigned,4,0.0077096354690261,0.00464539481334147,186
Normal,ambiguous,23,0.02937654786791979,0.007542030483004309,5857
Normal,b_plasma,23,0.026772333531336096,0.02677210725431498,4630
Normal,dendritic,23,0.0051678028415794944,0.0023240576610811165,746
Normal,endothelial,23,0.15620442856175876,0.046099949656500314,23085
Normal,epithelial,23,0.3191071307985659,0.09895247564669146,56242
Normal,fibroblast,23,0.22457160497277592,0.04736629786950811,39999
Normal,macrophage,23,0.0902543589489957,0.0328881498056493,17551
Normal,mast_cell,23,0.02486297215306145,0.009004097493946334,4461
Normal,neutrophil,23,0.012025505133470666,0.005831646021188652,1665
Normal,t_nk,23,0.09981359461205881,0.043434695906137064,16989
Normal,unassigned,24,0.05301689888770753,0.2024677839144024,10685
