sample,sample_name,stage,context,gene,n_cells,mean_expression,detection_fraction,status
GSM9237901,P3_Normal,Normal,all_cells,MIF,2631,0.02378519149241,0.01178259217027746,present
GSM9237901,P3_Normal,Normal,all_cells,CD74,2631,0.8449443140126629,0.28088179399467883,present
GSM9237901,P3_Normal,Normal,all_cells,CD44,2631,1.1153616093953935,0.39148612694792856,present
GSM9237901,P3_Normal,Normal,all_cells,CXCR4,2631,0.47918864675024836,0.16153553781832003,present
GSM9237901,P3_Normal,Normal,all_cells,SPP1,2631,0.04796676217073691,0.015583428354237932,present
GSM9237901,P3_Normal,Normal,all_cells,TREM2,2631,0.04030547991183117,0.021284682630178638,present
GSM9237901,P3_Normal,Normal,all_cells,PLA2G7,2631,0.19816862323987391,0.07753705815279362,present
GSM9237901,P3_Normal,Normal,all_cells,IL1B,2631,0.07756703097591335,0.023185100722158875,present
GSM9237901,P3_Normal,Normal,all_cells,TNF,2631,0.030005335571384004,0.012162675788673508,present
GSM9237901,P3_Normal,Normal,all_cells,CXCL8,2631,0.14827258279259456,0.04561003420752566,present
GSM9237901,P3_Normal,Normal,epithelial,MIF,409,0.03740075553577157,0.02444987775061125,present
GSM9237901,P3_Normal,Normal,epithelial,CD74,409,0.8266182963645661,0.33496332518337407,present
GSM9237901,P3_Normal,Normal,epithelial,CD44,409,1.3981373605028036,0.5012224938875306,present
GSM9237901,P3_Normal,Normal,epithelial,CXCR4,409,0.09488334591515656,0.04156479217603912,present
GSM9237901,P3_Normal,Normal,epithelial,SPP1,409,0.019006349205298256,0.007334963325183374,present
GSM9237901,P3_Normal,Normal,epithelial,TREM2,409,0.0,0.0,present
GSM9237901,P3_Normal,Normal,epithelial,PLA2G7,409,0.015752436471478885,0.007334963325183374,present
GSM9237901,P3_Normal,Normal,epithelial,IL1B,409,0.0050925710211347066,0.0024449877750611247,present
GSM9237901,P3_Normal,Normal,epithelial,TNF,409,0.006070865125660491,0.0024449877750611247,present
GSM9237901,P3_Normal,Normal,epithelial,CXCL8,409,0.03617422911425943,0.012224938875305624,present
GSM9237901,P3_Normal,Normal,macrophage,MIF,370,0.0082507509437149,0.005405405405405406,present
GSM9237901,P3_Normal,Normal,macrophage,CD74,370,2.4108837754297574,0.745945945945946,present
GSM9237901,P3_Normal,Normal,macrophage,CD44,370,1.6286523980723304,0.5972972972972973,present
GSM9237901,P3_Normal,Normal,macrophage,CXCR4,370,0.47971312076835226,0.1972972972972973,present
GSM9237901,P3_Normal,Normal,macrophage,SPP1,370,0.2534181387623885,0.07837837837837838,present
GSM9237901,P3_Normal,Normal,macrophage,TREM2,370,0.21890348698079157,0.11621621621621622,present
GSM9237901,P3_Normal,Normal,macrophage,PLA2G7,370,1.008692621953163,0.3945945945945946,present
GSM9237901,P3_Normal,Normal,macrophage,IL1B,370,0.21656148624922364,0.07027027027027027,present
GSM9237901,P3_Normal,Normal,macrophage,TNF,370,0.07406338677407175,0.03513513513513514,present
GSM9237901,P3_Normal,Normal,macrophage,CXCL8,370,0.6105970591944271,0.1945945945945946,present
GSM9237902,P3_AIS,AIS,all_cells,MIF,5107,0.02862179984695486,0.016839631877814763,present
GSM9237902,P3_AIS,AIS,all_cells,CD74,5107,0.6856969715837096,0.2569022909731741,present
GSM9237902,P3_AIS,AIS,all_cells,CD44,5107,1.5817379893315888,0.5461131779909928,present
GSM9237902,P3_AIS,AIS,all_cells,CXCR4,5107,0.41275470480116294,0.14626982572939104,present
GSM9237902,P3_AIS,AIS,all_cells,SPP1,5107,0.05994110298858964,0.02056001566477384,present
GSM9237902,P3_AIS,AIS,all_cells,TREM2,5107,0.03230735027961311,0.017231251223810456,present
GSM9237902,P3_AIS,AIS,all_cells,PLA2G7,5107,0.11950906761353552,0.050910514979439984,present
