sample,sample_name,stage,epithelial_state,n_cells,denominator,fraction
GSM9237901,P3_Normal,Normal,at2_mature_like,102,409,0.24938875305623473
GSM9237901,P3_Normal,Normal,other_epithelial,221,409,0.5403422982885085
GSM9237901,P3_Normal,Normal,progenitor_like,83,409,0.20293398533007334
GSM9237901,P3_Normal,Normal,proliferating_epithelial,3,409,0.007334963325183374
GSM9237902,P3_AIS,AIS,at2_mature_like,417,1683,0.24777183600713013
GSM9237902,P3_AIS,AIS,other_epithelial,884,1683,0.5252525252525253
GSM9237902,P3_AIS,AIS,progenitor_like,368,1683,0.21865715983363043
GSM9237902,P3_AIS,AIS,proliferating_epithelial,14,1683,0.008318478906714201
GSM9237903,P3_LUAD,LUAD,at2_mature_like,246,1021,0.24094025465230168
GSM9237903,P3_LUAD,LUAD,other_epithelial,544,1021,0.5328109696376102
GSM9237903,P3_LUAD,LUAD,progenitor_like,212,1021,0.20763956904995104
GSM9237903,P3_LUAD,LUAD,proliferating_epithelial,19,1021,0.01860920666013712
GSM9237904,P4_Normal,Normal,at2_mature_like,2949,12981,0.22717818349896002
GSM9237904,P4_Normal,Normal,other_epithelial,6896,12981,0.5312379631769509
GSM9237904,P4_Normal,Normal,progenitor_like,2180,12981,0.16793775518064863
GSM9237904,P4_Normal,Normal,proliferating_epithelial,956,12981,0.07364609814344042
GSM9237905,P4_Normal1,Normal,at2_mature_like,1310,5544,0.2362914862914863
GSM9237905,P4_Normal1,Normal,other_epithelial,3066,5544,0.553030303030303
GSM9237905,P4_Normal1,Normal,progenitor_like,908,5544,0.16378066378066378
GSM9237905,P4_Normal1,Normal,proliferating_epithelial,260,5544,0.046897546897546896
GSM9237906,P4_AAH,AAH,at2_mature_like,387,1712,0.22605140186915887
GSM9237906,P4_AAH,AAH,other_epithelial,869,1712,0.5075934579439252
GSM9237906,P4_AAH,AAH,progenitor_like,295,1712,0.17231308411214954
GSM9237906,P4_AAH,AAH,proliferating_epithelial,161,1712,0.09404205607476636
GSM9237907,P4_AAH1,AAH,at2_mature_like,1323,5905,0.22404741744284504
GSM9237907,P4_AAH1,AAH,other_epithelial,3095,5905,0.5241320914479255
GSM9237907,P4_AAH1,AAH,progenitor_like,937,5905,0.15867908552074514
GSM9237907,P4_AAH1,AAH,proliferating_epithelial,550,5905,0.09314140558848434
GSM9237908,P4_LUAD,LUAD,at2_mature_like,3975,17517,0.22692241822229833
GSM9237908,P4_LUAD,LUAD,other_epithelial,8171,17517,0.4664611520237484
GSM9237908,P4_LUAD,LUAD,progenitor_like,3114,17517,0.17777016612433635
GSM9237908,P4_LUAD,LUAD,proliferating_epithelial,2257,17517,0.12884626362961693
GSM9237909,P5_Normal,Normal,at2_mature_like,1394,5766,0.24176205341657994
GSM9237909,P5_Normal,Normal,other_epithelial,3114,5766,0.5400624349635796
GSM9237909,P5_Normal,Normal,progenitor_like,1131,5766,0.19614984391259105
GSM9237909,P5_Normal,Normal,proliferating_epithelial,127,5766,0.022025667707249393
GSM9237910,P5_AIS,AIS,at2_mature_like,282,1212,0.23267326732673269
GSM9237910,P5_AIS,AIS,other_epithelial,630,1212,0.5198019801980198
GSM9237910,P5_AIS,AIS,progenitor_like,216,1212,0.1782178217821782
GSM9237910,P5_AIS,AIS,proliferating_epithelial,84,1212,0.06930693069306931
GSM9237911,P5_LUAD,LUAD,at2_mature_like,793,4114,0.192756441419543
GSM9237911,P5_LUAD,LUAD,other_epithelial,1690,4114,0.4107924161400097
GSM9237911,P5_LUAD,LUAD,progenitor_like,602,4114,0.14632960622265434
GSM9237911,P5_LUAD,LUAD,proliferating_epithelial,1029,4114,0.25012153621779293
GSM9237912,P6_Normal,Normal,at2_mature_like,100,422,0.23696682464454977
GSM9237912,P6_Normal,Normal,other_epithelial,208,422,0.4928909952606635
GSM9237912,P6_Normal,Normal,progenitor_like,86,422,0.2037914691943128
GSM9237912,P6_Normal,Normal,proliferating_epithelial,28,422,0.06635071090047394
GSM9237913,P6_AAH,AAH,at2_mature_like,309,1287,0.2400932400932401
GSM9237913,P6_AAH,AAH,other_epithelial,667,1287,0.5182595182595182
GSM9237913,P6_AAH,AAH,progenitor_like,247,1287,0.1919191919191919
GSM9237913,P6_AAH,AAH,proliferating_epithelial,64,1287,0.04972804972804973
GSM9237914,P6_LUAD,LUAD,at2_mature_like,402,1758,0.22866894197952217
GSM9237914,P6_LUAD,LUAD,other_epithelial,816,1758,0.4641638225255973
GSM9237914,P6_LUAD,LUAD,progenitor_like,314,1758,0.17861205915813425
GSM9237914,P6_LUAD,LUAD,proliferating_epithelial,226,1758,0.1285551763367463
GSM9237915,P7_Normal,Normal,at2_mature_like,1074,4343,0.24729449689154961
GSM9237915,P7_Normal,Normal,other_epithelial,2465,4343,0.5675800138153351
GSM9237915,P7_Normal,Normal,progenitor_like,752,4343,0.17315219894082431
GSM9237915,P7_Normal,Normal,proliferating_epithelial,52,4343,0.011973290352291043
GSM9237916,P7_LUAD,LUAD,at2_mature_like,788,3258,0.24186617556783302
GSM9237916,P7_LUAD,LUAD,other_epithelial,1730,3258,0.531000613873542
GSM9237916,P7_LUAD,LUAD,progenitor_like,614,3258,0.18845917740945364
GSM9237916,P7_LUAD,LUAD,proliferating_epithelial,126,3258,0.03867403314917127
GSM9237917,P7_LUAD1,LUAD,at2_mature_like,827,3607,0.2292764069864153
GSM9237917,P7_LUAD1,LUAD,other_epithelial,1759,3607,0.4876628777377322
GSM9237917,P7_LUAD1,LUAD,progenitor_like,619,3607,0.1716107568616579
GSM9237917,P7_LUAD1,LUAD,proliferating_epithelial,402,3607,0.11144995841419462
GSM9237918,P8_Normal,Normal,at2_mature_like,320,1280,0.25
GSM9237918,P8_Normal,Normal,other_epithelial,690,1280,0.5390625
GSM9237918,P8_Normal,Normal,progenitor_like,256,1280,0.2
GSM9237918,P8_Normal,Normal,proliferating_epithelial,14,1280,0.0109375
GSM9237919,P8_AIS,AIS,at2_mature_like,130,590,0.22033898305084745
GSM9237919,P8_AIS,AIS,other_epithelial,345,590,0.5847457627118644
GSM9237919,P8_AIS,AIS,progenitor_like,79,590,0.13389830508474576
GSM9237919,P8_AIS,AIS,proliferating_epithelial,36,590,0.061016949152542375
GSM9237920,P8_LUAD,LUAD,at2_mature_like,1157,4890,0.23660531697341514
GSM9237920,P8_LUAD,LUAD,other_epithelial,2516,4890,0.5145194274028629
GSM9237920,P8_LUAD,LUAD,progenitor_like,825,4890,0.1687116564417178
GSM9237920,P8_LUAD,LUAD,proliferating_epithelial,392,4890,0.0801635991820041
GSM9237921,P9_Normal,Normal,at2_mature_like,220,919,0.23939064200217627
GSM9237921,P9_Normal,Normal,other_epithelial,462,919,0.5027203482045702
GSM9237921,P9_Normal,Normal,progenitor_like,190,919,0.20674646354733406
GSM9237921,P9_Normal,Normal,proliferating_epithelial,47,919,0.051142546245919476
GSM9237922,P9_AAH,AAH,at2_mature_like,109,452,0.2411504424778761
GSM9237922,P9_AAH,AAH,other_epithelial,222,452,0.4911504424778761
GSM9237922,P9_AAH,AAH,progenitor_like,99,452,0.21902654867256638
GSM9237922,P9_AAH,AAH,proliferating_epithelial,22,452,0.048672566371681415
GSM9237923,P9_AIS,AIS,at2_mature_like,437,1845,0.23685636856368564
GSM9237923,P9_AIS,AIS,other_epithelial,938,1845,0.50840108401084
GSM9237923,P9_AIS,AIS,progenitor_like,386,1845,0.2092140921409214
GSM9237923,P9_AIS,AIS,proliferating_epithelial,84,1845,0.04552845528455285
GSM9237924,P9_LUAD,LUAD,at2_mature_like,643,2681,0.23983588213353227
GSM9237924,P9_LUAD,LUAD,other_epithelial,1319,2681,0.49198060425214474
GSM9237924,P9_LUAD,LUAD,progenitor_like,531,2681,0.1980604252144722
GSM9237924,P9_LUAD,LUAD,proliferating_epithelial,188,2681,0.0701230883998508
GSM9237925,P10_Normal,Normal,at2_mature_like,201,815,0.24662576687116564
GSM9237925,P10_Normal,Normal,other_epithelial,399,815,0.48957055214723927
GSM9237925,P10_Normal,Normal,progenitor_like,180,815,0.22085889570552147
GSM9237925,P10_Normal,Normal,proliferating_epithelial,35,815,0.04294478527607362
GSM9237926,P10_MIA,MIA,at2_mature_like,302,1325,0.22792452830188678
GSM9237926,P10_MIA,MIA,other_epithelial,677,1325,0.510943396226415
GSM9237926,P10_MIA,MIA,progenitor_like,256,1325,0.1932075471698113
GSM9237926,P10_MIA,MIA,proliferating_epithelial,90,1325,0.06792452830188679
GSM9237927,P10_LUAD,LUAD,at2_mature_like,1599,7570,0.21122853368560104
GSM9237927,P10_LUAD,LUAD,other_epithelial,3074,7570,0.4060766182298547
GSM9237927,P10_LUAD,LUAD,progenitor_like,1004,7570,0.13262879788639365
GSM9237927,P10_LUAD,LUAD,proliferating_epithelial,1893,7570,0.2500660501981506
GSM9237928,P11_Normal,Normal,at2_mature_like,165,713,0.2314165497896213
GSM9237928,P11_Normal,Normal,other_epithelial,396,713,0.5553997194950911
GSM9237928,P11_Normal,Normal,progenitor_like,116,713,0.16269284712482468
GSM9237928,P11_Normal,Normal,proliferating_epithelial,36,713,0.05049088359046283
GSM9237929,P11_AAH,AAH,at2_mature_like,365,1620,0.22530864197530864
GSM9237929,P11_AAH,AAH,other_epithelial,917,1620,0.5660493827160494
GSM9237929,P11_AAH,AAH,progenitor_like,237,1620,0.14629629629629629
GSM9237929,P11_AAH,AAH,proliferating_epithelial,101,1620,0.06234567901234568
GSM9237930,P11_LUAD,LUAD,at2_mature_like,395,1740,0.22701149425287356
GSM9237930,P11_LUAD,LUAD,other_epithelial,780,1740,0.4482758620689655
GSM9237930,P11_LUAD,LUAD,progenitor_like,281,1740,0.16149425287356323
GSM9237930,P11_LUAD,LUAD,proliferating_epithelial,284,1740,0.1632183908045977
GSM9237931,P12_Normal,Normal,at2_mature_like,125,551,0.22686025408348456
GSM9237931,P12_Normal,Normal,other_epithelial,309,551,0.5607985480943739
GSM9237931,P12_Normal,Normal,progenitor_like,85,551,0.1542649727767695
GSM9237931,P12_Normal,Normal,proliferating_epithelial,32,551,0.05807622504537205
GSM9237932,P12_AIS,AIS,at2_mature_like,336,1618,0.207663782447466
GSM9237932,P12_AIS,AIS,other_epithelial,853,1618,0.5271940667490729
GSM9237932,P12_AIS,AIS,progenitor_like,224,1618,0.138442521631644
GSM9237932,P12_AIS,AIS,proliferating_epithelial,205,1618,0.12669962917181707
GSM9237933,P12_LUAD,LUAD,at2_mature_like,374,1710,0.21871345029239767
GSM9237933,P12_LUAD,LUAD,other_epithelial,905,1710,0.5292397660818714
GSM9237933,P12_LUAD,LUAD,progenitor_like,290,1710,0.1695906432748538
GSM9237933,P12_LUAD,LUAD,proliferating_epithelial,141,1710,0.0824561403508772
GSM9237934,P13_Normal,Normal,at2_mature_like,60,246,0.24390243902439024
GSM9237934,P13_Normal,Normal,other_epithelial,137,246,0.556910569105691
GSM9237934,P13_Normal,Normal,progenitor_like,42,246,0.17073170731707318
GSM9237934,P13_Normal,Normal,proliferating_epithelial,7,246,0.028455284552845527
GSM9237935,P13_MIA,MIA,at2_mature_like,212,906,0.23399558498896247
GSM9237935,P13_MIA,MIA,other_epithelial,482,906,0.5320088300220751
GSM9237935,P13_MIA,MIA,progenitor_like,151,906,0.16666666666666666
GSM9237935,P13_MIA,MIA,proliferating_epithelial,61,906,0.0673289183222958
GSM9237936,P13_LUAD,LUAD,at2_mature_like,78,334,0.23353293413173654
GSM9237936,P13_LUAD,LUAD,other_epithelial,156,334,0.46706586826347307
GSM9237936,P13_LUAD,LUAD,progenitor_like,62,334,0.18562874251497005
GSM9237936,P13_LUAD,LUAD,proliferating_epithelial,38,334,0.11377245508982035
GSM9237937,P14_Normal,Normal,at2_mature_like,144,603,0.23880597014925373
GSM9237937,P14_Normal,Normal,other_epithelial,324,603,0.5373134328358209
GSM9237937,P14_Normal,Normal,progenitor_like,118,603,0.1956882255389718
GSM9237937,P14_Normal,Normal,proliferating_epithelial,17,603,0.028192371475953566
GSM9237938,P14_AIS,AIS,at2_mature_like,432,1818,0.2376237623762376
GSM9237938,P14_AIS,AIS,other_epithelial,887,1818,0.4878987898789879
GSM9237938,P14_AIS,AIS,progenitor_like,387,1818,0.21287128712871287
GSM9237938,P14_AIS,AIS,proliferating_epithelial,112,1818,0.061606160616061605
GSM9237939,P14_LUAD,LUAD,at2_mature_like,479,2088,0.22940613026819923
GSM9237939,P14_LUAD,LUAD,other_epithelial,1054,2088,0.5047892720306514
GSM9237939,P14_LUAD,LUAD,progenitor_like,327,2088,0.15660919540229884
GSM9237939,P14_LUAD,LUAD,proliferating_epithelial,228,2088,0.10919540229885058
