stage,epithelial_state,n_samples,mean_fraction,sd_fraction,total_cells
AAH,at2_mature_like,9,0.22956028329996966,0.008629617166095248,4878
AAH,other_epithelial,9,0.5257212567785845,0.023050788190788988,11467
AAH,progenitor_like,9,0.1798565529968047,0.025061039928074742,3643
AAH,proliferating_epithelial,9,0.06486190692464117,0.021009771810453232,1564
AIS,at2_mature_like,14,0.2323715866168028,0.009561511353709739,11255
AIS,other_epithelial,14,0.5310238661209695,0.027881363688733136,25391
AIS,progenitor_like,14,0.18021602960511213,0.02645844493129628,8862
AIS,proliferating_epithelial,14,0.05638851765711555,0.027400123396602746,2435
LUAD,at2_mature_like,23,0.22902872764273766,0.012808921452918022,23048
LUAD,other_epithelial,23,0.47334144679402845,0.042592344146837824,47248
LUAD,progenitor_like,23,0.17300029306636128,0.02303847150232407,17578
LUAD,proliferating_epithelial,23,0.12462953249687261,0.07068495085564422,13938
MIA,at2_mature_like,4,0.2349544934100199,0.005461165189120427,1803
MIA,other_epithelial,4,0.5081341712192704,0.018852902703429226,3840
MIA,progenitor_like,4,0.1886850081680444,0.014845818853279923,1471
MIA,proliferating_epithelial,4,0.06822632720266525,0.009204159685734655,489
Normal,at2_mature_like,23,0.2386451947240442,0.007616981201439901,13310
Normal,other_epithelial,23,0.533540541813259,0.023115687345728563,30273
Normal,progenitor_like,23,0.18848412415054036,0.020502224489950933,10160
Normal,proliferating_epithelial,23,0.03933013931215645,0.02091274908827611,2499
