sample,sample_name,stage,macrophage_state,n_cells,denominator,fraction
GSM9237901,P3_Normal,Normal,ambiguous_macrophage,33,370,0.0891891891891892
GSM9237901,P3_Normal,Normal,c1q_macrophage,173,370,0.46756756756756757
GSM9237901,P3_Normal,Normal,inflammatory_macrophage,48,370,0.12972972972972974
GSM9237901,P3_Normal,Normal,other_macrophage,7,370,0.01891891891891892
GSM9237901,P3_Normal,Normal,resident_macrophage,39,370,0.10540540540540541
GSM9237901,P3_Normal,Normal,spp1_macrophage,70,370,0.1891891891891892
GSM9237902,P3_AIS,AIS,ambiguous_macrophage,36,493,0.07302231237322515
GSM9237902,P3_AIS,AIS,c1q_macrophage,172,493,0.3488843813387424
GSM9237902,P3_AIS,AIS,inflammatory_macrophage,81,493,0.1643002028397566
GSM9237902,P3_AIS,AIS,other_macrophage,10,493,0.02028397565922921
GSM9237902,P3_AIS,AIS,resident_macrophage,60,493,0.12170385395537525
GSM9237902,P3_AIS,AIS,spp1_macrophage,134,493,0.2718052738336714
GSM9237903,P3_LUAD,LUAD,ambiguous_macrophage,37,414,0.0893719806763285
GSM9237903,P3_LUAD,LUAD,c1q_macrophage,179,414,0.4323671497584541
GSM9237903,P3_LUAD,LUAD,inflammatory_macrophage,68,414,0.1642512077294686
GSM9237903,P3_LUAD,LUAD,other_macrophage,9,414,0.021739130434782608
GSM9237903,P3_LUAD,LUAD,resident_macrophage,27,414,0.06521739130434782
GSM9237903,P3_LUAD,LUAD,spp1_macrophage,94,414,0.22705314009661837
GSM9237904,P4_Normal,Normal,ambiguous_macrophage,203,5957,0.03407755581668625
GSM9237904,P4_Normal,Normal,c1q_macrophage,5332,5957,0.8950814168205472
GSM9237904,P4_Normal,Normal,inflammatory_macrophage,75,5957,0.01259022998153433
GSM9237904,P4_Normal,Normal,other_macrophage,14,5957,0.0023501762632197414
GSM9237904,P4_Normal,Normal,resident_macrophage,50,5957,0.008393486654356219
GSM9237904,P4_Normal,Normal,spp1_macrophage,283,5957,0.0475071344636562
GSM9237905,P4_Normal1,Normal,ambiguous_macrophage,34,1609,0.02113113735239279
GSM9237905,P4_Normal1,Normal,c1q_macrophage,1488,1609,0.9247980111870727
GSM9237905,P4_Normal1,Normal,inflammatory_macrophage,13,1609,0.008079552517091361
GSM9237905,P4_Normal1,Normal,other_macrophage,3,1609,0.0018645121193287756
GSM9237905,P4_Normal1,Normal,resident_macrophage,39,1609,0.024238657551274082
GSM9237905,P4_Normal1,Normal,spp1_macrophage,32,1609,0.019888129272840272
GSM9237906,P4_AAH,AAH,ambiguous_macrophage,26,833,0.031212484993997598
GSM9237906,P4_AAH,AAH,c1q_macrophage,740,833,0.8883553421368547
GSM9237906,P4_AAH,AAH,inflammatory_macrophage,9,833,0.010804321728691477
GSM9237906,P4_AAH,AAH,other_macrophage,3,833,0.003601440576230492
GSM9237906,P4_AAH,AAH,resident_macrophage,14,833,0.01680672268907563
GSM9237906,P4_AAH,AAH,spp1_macrophage,41,833,0.04921968787515006
GSM9237907,P4_AAH1,AAH,ambiguous_macrophage,59,1788,0.032997762863534674
GSM9237907,P4_AAH1,AAH,c1q_macrophage,1576,1788,0.8814317673378076
GSM9237907,P4_AAH1,AAH,inflammatory_macrophage,28,1788,0.015659955257270694
GSM9237907,P4_AAH1,AAH,other_macrophage,10,1788,0.005592841163310962
GSM9237907,P4_AAH1,AAH,resident_macrophage,27,1788,0.015100671140939598
GSM9237907,P4_AAH1,AAH,spp1_macrophage,88,1788,0.049217002237136466
GSM9237908,P4_LUAD,LUAD,ambiguous_macrophage,187,5195,0.03599615014436958
