sample,sample_name,stage,context,score,n_cells,mean_score
GSM9237901,P3_Normal,Normal,all_cells,epithelial,2631,0.21850640537486285
GSM9237901,P3_Normal,Normal,all_cells,macrophage,2631,0.166975150154298
GSM9237901,P3_Normal,Normal,all_cells,epithelial_progenitor_like,2631,0.141914074595504
GSM9237901,P3_Normal,Normal,all_cells,spp1_macrophage,2631,0.20986055996719108
GSM9237901,P3_Normal,Normal,all_cells,c1q_macrophage,2631,0.18862740551850601
GSM9237901,P3_Normal,Normal,all_cells,inflammatory_macrophage,2631,0.16267910186798146
GSM9237901,P3_Normal,Normal,all_cells,refined_epithelial_progenitor_like,2631,0.17916668627572171
GSM9237901,P3_Normal,Normal,all_cells,refined_spp1_macrophage,2631,0.10148305255173873
GSM9237901,P3_Normal,Normal,all_cells,refined_c1q_macrophage,2631,0.10881775995885001
GSM9237901,P3_Normal,Normal,all_cells,refined_inflammatory_macrophage,2631,0.2142863957174072
GSM9237901,P3_Normal,Normal,epithelial,epithelial,409,1.1824667929451425
GSM9237901,P3_Normal,Normal,epithelial,macrophage,409,0.026823095779156245
GSM9237901,P3_Normal,Normal,epithelial,epithelial_progenitor_like,409,0.7214810240770747
GSM9237901,P3_Normal,Normal,epithelial,spp1_macrophage,409,0.27994811026625455
GSM9237901,P3_Normal,Normal,epithelial,c1q_macrophage,409,0.021651685499231722
GSM9237901,P3_Normal,Normal,epithelial,inflammatory_macrophage,409,0.1902883646391678
GSM9237901,P3_Normal,Normal,epithelial,refined_epithelial_progenitor_like,409,0.525656269517689
GSM9237901,P3_Normal,Normal,epithelial,refined_spp1_macrophage,409,0.1317871108748197
GSM9237901,P3_Normal,Normal,epithelial,refined_c1q_macrophage,409,0.13294241888305613
GSM9237901,P3_Normal,Normal,epithelial,refined_inflammatory_macrophage,409,0.181434482818147
GSM9237901,P3_Normal,Normal,macrophage,epithelial,370,0.03347369748141607
GSM9237901,P3_Normal,Normal,macrophage,macrophage,370,0.8750746749621886
GSM9237901,P3_Normal,Normal,macrophage,epithelial_progenitor_like,370,0.02091922418296297
GSM9237901,P3_Normal,Normal,macrophage,spp1_macrophage,370,0.6065403621529935
GSM9237901,P3_Normal,Normal,macrophage,c1q_macrophage,370,1.0109158548737902
GSM9237901,P3_Normal,Normal,macrophage,inflammatory_macrophage,370,0.40240359370358014
GSM9237901,P3_Normal,Normal,macrophage,refined_epithelial_progenitor_like,370,0.0963104268603578
GSM9237901,P3_Normal,Normal,macrophage,refined_spp1_macrophage,370,0.24595708270340208
GSM9237901,P3_Normal,Normal,macrophage,refined_c1q_macrophage,370,0.27007436609601304
GSM9237901,P3_Normal,Normal,macrophage,refined_inflammatory_macrophage,370,0.3057757132425574
GSM9237902,P3_AIS,AIS,all_cells,epithelial,5107,0.4218439965137365
GSM9237902,P3_AIS,AIS,all_cells,macrophage,5107,0.12410395653450035
GSM9237902,P3_AIS,AIS,all_cells,epithelial_progenitor_like,5107,0.32330832659113357
GSM9237902,P3_AIS,AIS,all_cells,spp1_macrophage,5107,0.2710365463551586
GSM9237902,P3_AIS,AIS,all_cells,c1q_macrophage,5107,0.12818129505684955
GSM9237902,P3_AIS,AIS,all_cells,inflammatory_macrophage,5107,0.25741341664844114
GSM9237902,P3_AIS,AIS,all_cells,refined_epithelial_progenitor_like,5107,0.3202072353629075
GSM9237902,P3_AIS,AIS,all_cells,refined_spp1_macrophage,5107,0.12076615897381004
GSM9237902,P3_AIS,AIS,all_cells,refined_c1q_macrophage,5107,0.12432567284395402
GSM9237902,P3_AIS,AIS,all_cells,refined_inflammatory_macrophage,5107,0.260483169129962
GSM9237902,P3_AIS,AIS,epithelial,epithelial,1683,1.0939145370563381
GSM9237902,P3_AIS,AIS,epithelial,macrophage,1683,0.03692863949126523
GSM9237902,P3_AIS,AIS,epithelial,epithelial_progenitor_like,1683,0.8350602287766199
GSM9237902,P3_AIS,AIS,epithelial,spp1_macrophage,1683,0.34708160847334074
GSM9237902,P3_AIS,AIS,epithelial,c1q_macrophage,1683,0.03175944061295015
GSM9237902,P3_AIS,AIS,epithelial,inflammatory_macrophage,1683,0.2751745131311695
GSM9237902,P3_AIS,AIS,epithelial,refined_epithelial_progenitor_like,1683,0.6357953079532409
GSM9237902,P3_AIS,AIS,epithelial,refined_spp1_macrophage,1683,0.16324279293418736
GSM9237902,P3_AIS,AIS,epithelial,refined_c1q_macrophage,1683,0.15272180550582723
GSM9237902,P3_AIS,AIS,epithelial,refined_inflammatory_macrophage,1683,0.23766205258634118
GSM9237902,P3_AIS,AIS,macrophage,epithelial,493,0.07029685756571778
GSM9237902,P3_AIS,AIS,macrophage,macrophage,493,0.8391519347736273
GSM9237902,P3_AIS,AIS,macrophage,epithelial_progenitor_like,493,0.04261020732410563
GSM9237902,P3_AIS,AIS,macrophage,spp1_macrophage,493,0.7386999453723214
GSM9237902,P3_AIS,AIS,macrophage,c1q_macrophage,493,0.8919547141400394
GSM9237902,P3_AIS,AIS,macrophage,inflammatory_macrophage,493,0.5002382189210008
GSM9237902,P3_AIS,AIS,macrophage,refined_epithelial_progenitor_like,493,0.1481094123266
GSM9237902,P3_AIS,AIS,macrophage,refined_spp1_macrophage,493,0.2774377310414719
GSM9237902,P3_AIS,AIS,macrophage,refined_c1q_macrophage,493,0.2975144860355789
GSM9237902,P3_AIS,AIS,macrophage,refined_inflammatory_macrophage,493,0.3554264426142155
GSM9237903,P3_LUAD,LUAD,all_cells,epithelial,3877,0.33858257949290577
GSM9237903,P3_LUAD,LUAD,all_cells,macrophage,3877,0.1573980269299727
GSM9237903,P3_LUAD,LUAD,all_cells,epithelial_progenitor_like,3877,0.2859022501941631
GSM9237903,P3_LUAD,LUAD,all_cells,spp1_macrophage,3877,0.29551034377042934
GSM9237903,P3_LUAD,LUAD,all_cells,c1q_macrophage,3877,0.17288287450573725
GSM9237903,P3_LUAD,LUAD,all_cells,inflammatory_macrophage,3877,0.2723705583685161
GSM9237903,P3_LUAD,LUAD,all_cells,refined_epithelial_progenitor_like,3877,0.3025342570021358
GSM9237903,P3_LUAD,LUAD,all_cells,refined_spp1_macrophage,3877,0.10836698370258976
GSM9237903,P3_LUAD,LUAD,all_cells,refined_c1q_macrophage,3877,0.11767208672889994
GSM9237903,P3_LUAD,LUAD,all_cells,refined_inflammatory_macrophage,3877,0.271606950769574
GSM9237903,P3_LUAD,LUAD,epithelial,epithelial,1021,1.051615871422383
GSM9237903,P3_LUAD,LUAD,epithelial,macrophage,1021,0.049174024406152615
GSM9237903,P3_LUAD,LUAD,epithelial,epithelial_progenitor_like,1021,0.9164774584878824
GSM9237903,P3_LUAD,LUAD,epithelial,spp1_macrophage,1021,0.4243226163726163
GSM9237903,P3_LUAD,LUAD,epithelial,c1q_macrophage,1021,0.04810595933038834
GSM9237903,P3_LUAD,LUAD,epithelial,inflammatory_macrophage,1021,0.28788994533166923
GSM9237903,P3_LUAD,LUAD,epithelial,refined_epithelial_progenitor_like,1021,0.7039697891425967
GSM9237903,P3_LUAD,LUAD,epithelial,refined_spp1_macrophage,1021,0.16048471023367986
GSM9237903,P3_LUAD,LUAD,epithelial,refined_c1q_macrophage,1021,0.14916623733710332
GSM9237903,P3_LUAD,LUAD,epithelial,refined_inflammatory_macrophage,1021,0.25309032092593275
GSM9237903,P3_LUAD,LUAD,macrophage,epithelial,414,0.07010804967450317
GSM9237903,P3_LUAD,LUAD,macrophage,macrophage,414,0.9928864280405276
GSM9237903,P3_LUAD,LUAD,macrophage,epithelial_progenitor_like,414,0.03795428813183266
GSM9237903,P3_LUAD,LUAD,macrophage,spp1_macrophage,414,0.9007483539910656
GSM9237903,P3_LUAD,LUAD,macrophage,c1q_macrophage,414,1.1329162783900593
GSM9237903,P3_LUAD,LUAD,macrophage,inflammatory_macrophage,414,0.5447009522452956
GSM9237903,P3_LUAD,LUAD,macrophage,refined_epithelial_progenitor_like,414,0.15238155403625497
GSM9237903,P3_LUAD,LUAD,macrophage,refined_spp1_macrophage,414,0.2493834985352103
GSM9237903,P3_LUAD,LUAD,macrophage,refined_c1q_macrophage,414,0.31334878865032173
GSM9237903,P3_LUAD,LUAD,macrophage,refined_inflammatory_macrophage,414,0.4009257047941739
GSM9237904,P4_Normal,Normal,all_cells,epithelial,36862,1.1510559419372037
GSM9237904,P4_Normal,Normal,all_cells,macrophage,36862,0.6960818623866735
GSM9237904,P4_Normal,Normal,all_cells,epithelial_progenitor_like,36862,0.48430903337777803
GSM9237904,P4_Normal,Normal,all_cells,spp1_macrophage,36862,0.6991583326250377
GSM9237904,P4_Normal,Normal,all_cells,c1q_macrophage,36862,0.8484923094145861
GSM9237904,P4_Normal,Normal,all_cells,inflammatory_macrophage,36862,0.21636853794059063
GSM9237904,P4_Normal,Normal,all_cells,refined_epithelial_progenitor_like,36862,0.3504924942359512
GSM9237904,P4_Normal,Normal,all_cells,refined_spp1_macrophage,36862,0.14169882302639109
GSM9237904,P4_Normal,Normal,all_cells,refined_c1q_macrophage,36862,0.3619454795665135
GSM9237904,P4_Normal,Normal,all_cells,refined_inflammatory_macrophage,36862,0.18852101211019587
GSM9237904,P4_Normal,Normal,epithelial,epithelial,12981,1.9183314032969105
GSM9237904,P4_Normal,Normal,epithelial,macrophage,12981,0.4130498764748882
GSM9237904,P4_Normal,Normal,epithelial,epithelial_progenitor_like,12981,1.0380533846450786
GSM9237904,P4_Normal,Normal,epithelial,spp1_macrophage,12981,0.6749769208862424
GSM9237904,P4_Normal,Normal,epithelial,c1q_macrophage,12981,0.5048059201996905
GSM9237904,P4_Normal,Normal,epithelial,inflammatory_macrophage,12981,0.20924844259510963
GSM9237904,P4_Normal,Normal,epithelial,refined_epithelial_progenitor_like,12981,0.5938270781689056
GSM9237904,P4_Normal,Normal,epithelial,refined_spp1_macrophage,12981,0.1616059454246306
