"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","MIF",1.72499905004665e-11,2.45869086186164,28.720700030551,8.36052889014527e-08,9.69821351256851e-06
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","HMGB2",1.35718614621166e-11,2.18837787143349,17.7785417628891,2.48166391377658e-05,0.00143936506999042
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","CD24",1.04200686688164e-11,1.90443958233779,10.4799319489251,0.00120678201285182,0.0466622378302703
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","APOC1",9.8068873246544e-12,1.84126479629919,9.28281449374072,0.00231313739269938,0.0670809843882819
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","TK1",8.87521582903019e-12,1.73885853196145,7.60282767280912,0.00582768334887137,0.119496164734405
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","ECI1",8.81311863729756e-12,1.73172841236068,7.49681050393937,0.00618083610695196,0.119496164734405
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","IL1R1",8.37913771889489e-12,1.68072887485245,6.77666407161446,0.00923573425196959,0.15304931046121
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","EMP2",7.05715449351844e-12,1.51093372762249,4.80702687970095,0.0283439062020543,0.410986639929787
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","IFT57",6.37742926263983e-12,1.41335146710841,3.92562310373138,0.0475555640235141,0.612938380747515
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","HBB",5.69018556195519e-12,1.30571478454552,3.1251449051,0.0770930174479288,0.878173171709244
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","PLA2G7",5.57490092286493e-12,1.28663865394108,2.99979521195434,0.0832750421448421,0.878173171709244
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN4",5.3068492088924e-12,1.24101744071719,2.7182587565441,0.0992061845212135,0.928608569435016
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","ANXA2",5.23194406072371e-12,1.22793575815841,2.64206491797791,0.104068201747028,0.928608569435016
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","SPINT1",5.08760113079003e-12,1.20229347556709,2.49829322910517,0.113969752432656,0.944320805870581
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","DEK",4.57927208241562e-12,1.10702329546497,2.02399855136308,0.154830962325433,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","CAMK1",4.50323592088022e-12,1.09204453609657,1.95734193341514,0.16179787939785,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","TMEM106C",4.38514758622133e-12,1.06837049499261,1.85603315388321,0.173083330166038,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","SLC19A3",4.03751223725257e-12,0.995545651963179,1.573421223136,0.209710864007549,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","S100A8",3.98255950889253e-12,0.983572886009983,1.53088246435353,0.215980050885048,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","NUSAP1",3.93211092315714e-12,0.97246308566248,1.49234358056615,0.22185319583987,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","GCHFR",3.80190444679787e-12,0.943246045285847,1.39514612018951,0.237537961913784,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","CXCR3",3.73116848354833e-12,0.927032364057439,1.34371455460337,0.246379959847794,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","STMN1",3.70726719516976e-12,0.921497579496929,1.32655443840189,0.249419112951438,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","NUCKS1",3.59947215352942e-12,0.896170641279828,1.25053236672923,0.263450822484653,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","LGALS3",3.57305480814169e-12,0.88987019152506,1.23224384240174,0.266971107566082,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","MKI67",3.14221204009735e-12,0.781376384907866,0.952989854897265,0.328959421361349,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","PRDM1",3.0688023163544e-12,0.761703398948509,0.908981673363369,0.340384755171444,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","TOP2A",3.03767331806924e-12,0.753245945521196,0.890634334816601,0.345305467084132,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","FOLR2",2.97384589799734e-12,0.735682778026348,0.853599634840646,0.355536009044218,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","TYMS",2.85725904836641e-12,0.70279821331414,0.787982430136934,0.374710892341847,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","SPP1",2.71224759334245e-12,0.660344350091532,0.710028801290937,0.399434250731108,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","GLDN",2.69552800075417e-12,0.655332089133767,0.701301868071426,0.402346593197877,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","PDE4B",2.67167000186415e-12,0.648136075075081,0.688942424134416,0.406524334551468,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","MYBL2",2.62609501203028e-12,0.634243916267928,0.665638096789728,0.414576511190156,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","KRT8",2.51345589385106e-12,0.599052341637182,0.609761272626672,0.434877709371556,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","IFI6",2.44680412387353e-12,0.577622587228993,0.577850785765019,0.447155979464137,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","SERPINB9",2.30032655864884e-12,0.528813103421225,0.510735784843767,0.474820513825771,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","CXCL9",2.29233156962852e-12,0.526077300257117,0.507191739330589,0.476357064143863,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","PERP",2.25553125419825e-12,0.513384065592447,0.491037883652929,0.483464693295345,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","CCL4",2.13447876931269e-12,0.470411409915409,0.439745070189764,0.507245524782765,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","GPD1",2.0726847214449e-12,0.447709129890862,0.414652026971362,0.519617714125872,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","ADAMDEC1",1.96401212660453e-12,0.406419241706658,0.372310796655833,0.541747372511965,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","ANXA3",1.8994421181424e-12,0.381001649283148,0.348232602220549,0.555115320169657,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","APOE",1.72338614050926e-12,0.307956417748004,0.286670162513005,0.592362312953902,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","CXCL8",1.69284723961988e-12,0.29467628161596,0.276600423029127,0.598938126705315,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","TREM2",1.57484850896942e-12,0.241466618346714,0.239383861212322,0.624651477191495,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","GDF15",1.54618129767978e-12,0.228053808483213,0.23074809922178,0.630969678195506,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN7",1.46749384134823e-12,0.190173498257204,0.207859498538039,0.648450305042834,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","UBE2T",1.42992442969468e-12,0.171504384342434,0.1973528818315,0.656866061527618,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","IL1B",1.41444978669081e-12,0.163699013518832,0.193104488949426,0.66034524152879,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLEC10A",1.40652658873539e-12,0.15967577182538,0.19094715560405,0.662129474585036,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","RND3",1.36783769838288e-12,0.139762554226708,0.180586981359044,0.670869282614495,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","MME",1.35586401414929e-12,0.133507284291571,0.177439199375494,0.673583251470474,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","ATP6V0D2",1.2931305937172e-12,0.0999832756056722,0.161399458710692,0.687871324143564,0.998816846398044
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_expanded_sensitivity","AZU1",1.21105419632246e-12,0.0540739378248888,0.141561272632427,0.706733803012515,0.998816846398044
