"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CD74",0.000124829062880108,3.6513613197935,6167.8327474128,0,0
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","PERP",3.7321169182483e-06,1.08629858893937,5.51330031396993,0.0188724030283017,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN4",3.66267684571899e-06,1.07628267332849,5.31004711003889,0.0212027829796703,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","APOC1",3.49541137842618e-06,1.05149351414391,4.83612769247972,0.0278694082652776,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","KRT8",3.43952382412518e-06,1.04299130598145,4.6827159225378,0.0304675428377895,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","PLA2G7",3.38646489347243e-06,1.03481266333508,4.53935683529029,0.0331240354205248,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","HAMP",3.31843511232506e-06,1.02416934696614,4.35880889126714,0.0368180397428989,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","MDK",3.31066680609674e-06,1.02294249985081,4.33842522963608,0.0372613722024362,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","KRT19",3.14439020430903e-06,0.996091750556697,3.91357839134085,0.0478975089902097,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","RAB42",3.00001499798242e-06,0.971804364062786,3.56244378468129,0.0591006697910547,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","ANXA2",2.97433846705971e-06,0.967383770476309,3.50172425082873,0.0613049703797982,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","EPCAM",2.8870322467487e-06,0.952111890374432,3.29916804885592,0.0693149812504644,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN3",2.85607923861684e-06,0.946605403702933,3.22880392622564,0.0723535150975348,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","TMEM106C",2.81648711228941e-06,0.939489386896708,3.1399064198208,0.0763981910934165,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","RND3",2.73721232496886e-06,0.924987904921693,2.96563802698677,0.085050899395871,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","LRP1",2.73303584593472e-06,0.924214295606574,2.95659490262562,0.085527882834903,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","EEPD1",2.72313203137416e-06,0.922375882888384,2.93520585770811,0.0866676141488771,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","IL1R1",2.71090189303633e-06,0.920097970355516,2.90889985363908,0.0880919472679611,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","SERPINB9",2.64110540293405e-06,0.906932421791405,2.76103959944961,0.0965854544044996,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","LPL",2.54938623015562e-06,0.889185432903926,2.57260103260979,0.108728824312939,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","APOE",2.53071216424787e-06,0.885507378096657,2.53505083909999,0.11134330026313,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","LTA4H",2.51971292260754e-06,0.883330408651356,2.51306252942409,0.112906323246065,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","IFI6",2.51462119889344e-06,0.88231998367917,2.50291622160499,0.113635702387733,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","IFT57",2.51375405973088e-06,0.882147735452469,2.50119031357385,0.113760287316065,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","TNFRSF12A",2.48902327984035e-06,0.877214341727066,2.45221805270246,0.117358928854826,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","LGALS3",2.47335565727686e-06,0.874067814362299,2.42144332679144,0.119684611683523,0.533977498280334
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","UBE2T",2.29037834422862e-06,0.836039243172828,2.07642201883195,0.149590464639931,0.62694724882452
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","TREM2",2.28062316105565e-06,0.833941895736047,2.05877188669847,0.15133209454385,0.62694724882452
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CCL3",2.0853352781171e-06,0.790303396624313,1.72128565271607,0.189527637325229,0.713423556016375
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","C1QA",2.08195976208981e-06,0.789519789692662,1.71571769931857,0.19024520559427,0.713423556016375
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","ADAMDEC1",2.08003017706983e-06,0.789071373748682,1.71253887802823,0.190656295142307,0.713423556016375
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","C1QC",2.01912524352543e-06,0.774737082297846,1.61371815507055,0.203969930709338,0.73939099882135
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","TACSTD2",1.83725108644783e-06,0.729684665421625,1.33609763068969,0.247723333060049,0.870785049544413
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","FAM89A",1.76936813800748e-06,0.711916901864414,1.2391890665808,0.265627397715513,0.894074952551065
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","C1QB",1.75413717781823e-06,0.707852798066772,1.21794667637952,0.269763994304201,0.894074952551065
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN7",1.67978320009948e-06,0.687581917830255,1.11688288280862,0.290590641277963,0.9143760843269
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","PPIF",1.67608352778879e-06,0.686553980750317,1.11196849830778,0.291654440690477,0.9143760843269
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","PPARG",1.63512041486931e-06,0.675044876951274,1.05828014901686,0.303607771048799,0.926802669517385
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","HMGB3",1.59696294837813e-06,0.664106759082779,1.0094640295231,0.315031275185001,0.93701610055026
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","GCHFR",1.4745170114701e-06,0.627476913453351,0.860598813214776,0.353571172221445,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CARHSP1",1.41161463340558e-06,0.607667720157027,0.788739283720509,0.374481610824226,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CD24",1.38754345118362e-06,0.599893077727426,0.762069099535657,0.382681777945586,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","ANXA3",1.37567454933183e-06,0.596018318897268,0.749087540401225,0.386765274720735,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","PLPP2",1.37036287674872e-06,0.594275261949491,0.743314043767313,0.388601335502374,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CYP27A1",1.33276177825088e-06,0.581773304413393,0.703082400231678,0.401749897418467,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CKS1B",1.28652114365089e-06,0.565991037869323,0.655141369728304,0.418280481036448,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","FOLR2",1.2218993828742e-06,0.543127206999316,0.590979013911461,0.442040789636533,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","ITGA5",1.05150594312958e-06,0.477630087410399,0.437647680879801,0.508260010194069,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","SPINT1",9.76875386508695e-07,0.446129749192949,0.377728281245368,0.53882153625375,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","SIVA1",8.73903922083861e-07,0.399212746171215,0.302293316309189,0.582448276625154,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CD44",8.57224790180335e-07,0.391185946889098,0.290864428462849,0.589667116041852,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CXCL8",8.35472775523836e-07,0.380520790515503,0.276290386187328,0.59914300188448,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","MIF",7.95959295678099e-07,0.360543101721685,0.250774218817536,0.616530453058292,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","TK1",7.52153886867356e-07,0.337409492978864,0.223931184005955,0.63606074106968,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","CXCL10",6.81013669060447e-07,0.297339620239208,0.183574699566061,0.668319029064067,0.999999999253053
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_expanded_sensitivity","NFKBIA",6.70951140829216e-07,0.291394429619593,0.178189848854608,0.672933492958941,0.999999999253053
