"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","PERP",3.00820561423017e-07,1.11405270168682,5.68409452588734,0.0171193714241871,0.524546737563699
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN4",2.91121922315479e-07,1.0960194814308,5.32348552188035,0.0210398855240553,0.524546737563699
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","APOC1",2.80790557114202e-07,1.07625285892126,4.95234912814442,0.0260552419363566,0.524546737563699
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","KRT8",2.75674880381716e-07,1.06624089938231,4.77354088143521,0.0289003273352318,0.524546737563699
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","PLA2G7",2.69550448354656e-07,1.05404986696517,4.5637975805065,0.0326545896820553,0.524546737563699
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","MDK",2.68981762741299e-07,1.0529062393057,4.54456089774147,0.0330234911505905,0.524546737563699
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","HAMP",2.64332198640811e-07,1.04347992302,4.38880609427834,0.0361756370733585,0.524546737563699
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","KRT19",2.52079810040585e-07,1.01796404154946,3.99137361856273,0.0457337662193982,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","RAB42",2.44297852349928e-07,1.00121832667826,3.74874202452673,0.0528472706010505,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","ANXA2",2.37076958095432e-07,0.985279211016911,3.53040841112192,0.0602529447588186,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","EPCAM",2.29628582643863e-07,0.968410134480812,3.31205962913596,0.0687732465528911,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN3",2.28532279705675e-07,0.965889021447428,3.28050995904412,0.0701071421978817,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","EEPD1",2.22402758078867e-07,0.951605438825161,3.10689512888154,0.0779614483715713,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","IL1R1",2.2218206276528e-07,0.951085089960256,3.1007321028999,0.0782570943803378,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","TMEM106C",2.22098879522434e-07,0.950888851675466,3.09841075737807,0.0783687641686343,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","RND3",2.17588310554192e-07,0.940155471104012,2.97383848192246,0.0846208492792343,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","LRP1",2.10894520316814e-07,0.923881435087395,2.79368121693451,0.0946365989325939,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","APOE",2.07404877801323e-07,0.915226705703501,2.70199280814872,0.100222903580659,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","LTA4H",2.04397497718077e-07,0.907670555302343,2.62420287048456,0.1052453474941,0.560924827578312
"GSE308103","macrophage","CXCR4",116,90,"original_scTenifoldKnk_expanded_sensitivity","LPL",2.00694974479121e-07,0.898240071933136,2.52999260610501,0.111700739696504,0.560924827578312
