"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","RND3",2.19622026991708e-12,2.26426475259997,22.0399333578885,2.67036490654719e-06,0.000309762329159474
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","PERP",1.87740191244669e-12,2.1317743358268,16.1054549666296,5.99112178268929e-05,0.00308836822748955
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","KRT7",1.84541523053552e-12,2.11736697440376,15.5613290865429,7.98715920902469e-05,0.00308836822748955
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","SERPINB9",1.71916607274807e-12,2.05817911574681,13.5049863550916,0.000237930375948625,0.00689998090251012
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","LPL",1.64011166850964e-12,2.01906025046526,12.291512375081,0.000455022863281765,0.010556530428137
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","TYMS",1.36775073822712e-12,1.86963175421544,8.54815526022973,0.00345872556443068,0.0668686942456598
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","GDF15",1.29513145355701e-12,1.82519476832493,7.66454163125549,0.00563165655707986,0.0933245943744663
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","ANXA2",1.17467587186044e-12,1.74619939655577,6.30513779996922,0.0120388556119367,0.174563406373082
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","FABP3",1.10739434760031e-12,1.69879074986198,5.60354792746614,0.017924143599851,0.231022295286968
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN7",9.04600169738354e-13,1.53802554877978,3.73914077090867,0.0531517708630954,0.616560542011907
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","LGALS2",8.51298781158266e-13,1.4903015058664,3.31148284190205,0.0687973874584384,0.725499722288987
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","FOLR2",7.63013451053202e-13,1.40488958267805,2.66025258713921,0.102884395302132,0.994549154587276
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","APOC1",7.03956213619051e-13,1.34255667576753,2.26438244509661,0.132378972706021,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","LRP1",6.40369985018739e-13,1.26985609180229,1.87378786259529,0.171041880702183,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CXCL10",5.4186412223382e-13,1.14302304095805,1.34165013624627,0.246743172904517,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CST6",5.17002531824115e-13,1.10768605991402,1.22136037445013,0.269093843130878,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","EEPD1",5.16179672519501e-13,1.10649013836987,1.21747564312565,0.26985662754905,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","RAB42",4.97800802539871e-13,1.07931427286799,1.13232128420252,0.287280745902387,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CARHSP1",4.84749879230158e-13,1.05945405580338,1.07372707666998,0.300105102432796,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN4",4.71362602547681e-13,1.03856765167205,1.01524002716598,0.313650755080811,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CKS1B",4.55994129748651e-13,1.01391108661847,0.95011678288912,0.329689573016927,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","NUSAP1",3.97176416520829e-13,0.911941211474145,0.720817616665234,0.395875846976796,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","PLPP2",3.74413112276053e-13,0.868729820237728,0.64056113550597,0.423507674910359,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","UBE2C",3.70151753867903e-13,0.860374641045951,0.626063102371798,0.428803081869306,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CHIT1",3.16111339938274e-13,0.746014993315147,0.456602870363776,0.499215920564076,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","LGALS3",2.93247225527896e-13,0.692154059687159,0.392940062296127,0.530758014694883,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","IFI6",2.90631060848049e-13,0.685748421484692,0.385960215523115,0.534430564647672,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","EPCAM",2.84845597095288e-13,0.671393576967225,0.370746882375703,0.542597434495682,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","ITGB1",2.64949876367264e-13,0.619907138901063,0.320764227303019,0.571148733931522,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","MKI67",2.58056496682888e-13,0.601241275231627,0.304290280212903,0.581205217758301,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CYP4B1",2.29766678617895e-13,0.519528235797435,0.241230700894263,0.623318647433011,0.999561767592545
