"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","MIF",0.000716514742437681,1.91276576176328,5702.73294107768,0,0
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","KRT8",2.3627695465836e-05,0.949350332682055,6.20119662971819,0.0127663973188804,0.305553118555731
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","ANXA2",2.30295452931725e-05,0.943173095051509,5.89119637040358,0.0152167592251829,0.305553118555731
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","PERP",2.28346146921698e-05,0.941128437753453,5.79188791240185,0.0161002898353898,0.305553118555731
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","IFT57",2.26698901581376e-05,0.939388197552115,5.70862617791847,0.0168817458767849,0.305553118555731
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CYP4B1",2.2404281895207e-05,0.936557782816722,5.57564134478032,0.0182119938662995,0.305553118555731
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CD24",2.20568507414889e-05,0.932808985021786,5.40405526440069,0.0200900194227232,0.305553118555731
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","LGALS3",2.18862365568995e-05,0.930948337928465,5.3207756944852,0.0210726288659124,0.305553118555731
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CLDN4",1.91273670848858e-05,0.898870011157213,4.06390136391094,0.0438091741092371,0.522416804640968
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CLDN3",1.90173672327144e-05,0.897505555197088,4.01729347106143,0.0450359314345662,0.522416804640968
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","EPCAM",1.79378207154947e-05,0.883719667651005,3.57414470023537,0.0586856627700698,0.612051536290539
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","PLPP2",1.76192770230659e-05,0.879507503619586,3.44833095564269,0.0633156761679868,0.612051536290539
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CD74",1.61407571429538e-05,0.859001119464933,2.89388040530262,0.0889165299485114,0.655779339246157
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","G0S2",1.51686401409952e-05,0.844565347981234,2.55579531451404,0.109890501993891,0.655779339246157
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CARHSP1",1.51079256674996e-05,0.843636063811756,2.53537644851718,0.111320334277213,0.655779339246157
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","RND3",1.50901063806913e-05,0.843362680176778,2.52939919422269,0.111742755789347,0.655779339246157
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","NUCKS1",1.50404283876613e-05,0.842598966112956,2.51277258632623,0.112927094399155,0.655779339246157
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CCL17",1.50346537347665e-05,0.842510041857525,2.51084343862628,0.113065403316931,0.655779339246157
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","MCEMP1",1.50346537347336e-05,0.842510041857018,2.51084343861527,0.113065403317722,0.655779339246157
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","AZU1",1.50346537347093e-05,0.842510041856644,2.51084343860716,0.113065403318303,0.655779339246157
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CKS1B",1.47586000124045e-05,0.838222392379927,2.41948591558511,0.119834250957645,0.661941576718419
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","SIVA1",1.45087051882393e-05,0.834277641037096,2.33824538137275,0.126231666457801,0.665585150413859
