"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","CD74",0.000271250965236142,2.03705680702229,3688.34531602432,0,0
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","CYP27A1",1.28837186522448e-05,1.14263273334509,8.32092207039036,0.00391910208048679,0.191555951279658
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","TREM2",1.20268503520356e-05,1.12501699003182,7.25091483571401,0.0070864900062487,0.191555951279658
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","APOC1",1.17942943157746e-05,1.12003817670257,6.97321269144427,0.00827388184077519,0.191555951279658
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","PLA2G7",1.12203424291361e-05,1.10735549208376,6.31104406161813,0.0119988160373835,0.191555951279658
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","LPL",1.11636747234131e-05,1.10607132729963,6.24745789410967,0.01243716731632,0.191555951279658
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","LRP1",1.10740007384077e-05,1.10402697256288,6.14749361292201,0.0131598473557866,0.191555951279658
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","LGALS3",1.10678493895346e-05,1.10388618246043,6.14066593139629,0.0132107552606661,0.191555951279658
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","APOE",1.07866391461114e-05,1.09737231784752,5.83258786961535,0.0157319644568468,0.202767541888247
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","FABP3",1.05286649722548e-05,1.09125872432639,5.55693865867733,0.0184075758848955,0.213527880264788
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","RAB42",1.02685234211337e-05,1.08495353352902,5.28573013083756,0.0215008750005676,0.226736500005985
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","CHIT1",1.00448089761954e-05,1.07941338466129,5.05792463783026,0.024513576205472,0.236964569986229
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","RND3",9.52530489245806e-06,1.06610012086393,4.54827548298658,0.032951919070788,0.284717421934415
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","ATP6V0D2",9.44993033281091e-06,1.06411363622505,4.47657848923046,0.0343624474748431,0.284717421934415
