stages,broad_class,target_gene,gene,baseline_signal,knockout_signal,impact_score,impact_rank
"LUAD,MIA",epithelial,MIF,MDK,0.02639397798357892,0.0,0.02639397798357892,1
"LUAD,MIA",epithelial,MIF,CD24,0.02230380403861288,0.0,0.02230380403861288,2
"LUAD,MIA",epithelial,MIF,EPCAM,0.021212472218672826,0.0,0.021212472218672826,3
"LUAD,MIA",epithelial,MIF,CLDN3,0.020615941028096663,0.0,0.020615941028096663,4
"LUAD,MIA",epithelial,MIF,PERP,0.020333868066459294,0.0,0.020333868066459294,5
"LUAD,MIA",epithelial,MIF,NUCKS1,0.02002662156842401,0.0,0.02002662156842401,6
"LUAD,MIA",epithelial,MIF,KRT8,0.019207577946271447,0.0,0.019207577946271447,7
"LUAD,MIA",epithelial,MIF,LGALS3,0.017746296688232657,0.0,0.017746296688232657,8
"LUAD,MIA",epithelial,MIF,IFI6,0.016829219972737657,0.0,0.016829219972737657,9
"LUAD,MIA",epithelial,MIF,ANXA2,0.01682329481948196,0.0,0.01682329481948196,10
"LUAD,MIA",epithelial,MIF,TMEM106C,0.01600800521197448,0.0,0.01600800521197448,11
"LUAD,MIA",epithelial,MIF,MYBL2,0.01513152815091596,0.0,0.01513152815091596,12
"LUAD,MIA",epithelial,MIF,UBE2T,0.014926618089803336,0.0,0.014926618089803336,13
"LUAD,MIA",epithelial,MIF,TOP2A,0.014924051477135143,0.0,0.014924051477135143,14
"LUAD,MIA",epithelial,MIF,TK1,0.014390906597052153,0.0,0.014390906597052153,15
"LUAD,MIA",epithelial,MIF,HMGB2,0.014311723558476711,0.0,0.014311723558476711,16
"LUAD,MIA",epithelial,MIF,SOX4,0.014179087092808844,0.0,0.014179087092808844,17
"LUAD,MIA",epithelial,MIF,MKI67,0.01317513527788189,0.0,0.01317513527788189,18
"LUAD,MIA",epithelial,MIF,DEK,0.01297837637146569,0.0,0.01297837637146569,19
"LUAD,MIA",epithelial,MIF,CLDN4,0.012689278805904711,0.0,0.012689278805904711,20
"LUAD,MIA",epithelial,MIF,TYMS,0.012679790131395276,0.0,0.012679790131395276,21
"LUAD,MIA",epithelial,MIF,KRT19,0.012448750510764203,0.0,0.012448750510764203,22
"LUAD,MIA",epithelial,MIF,STMN1,0.012058792305724781,0.0,0.012058792305724781,23
"LUAD,MIA",epithelial,MIF,ITGAV,0.012040041392090434,0.0,0.012040041392090434,24
"LUAD,MIA",epithelial,MIF,CD74,0.01170428587487925,0.0,0.01170428587487925,25
"LUAD,MIA",epithelial,MIF,PLPP2,0.011633271899793223,0.0,0.011633271899793223,26
"LUAD,MIA",epithelial,MIF,HMGB3,0.011518170162351876,0.0,0.011518170162351876,27
"LUAD,MIA",epithelial,MIF,CKS1B,0.011477326545181722,0.0,0.011477326545181722,28
"LUAD,MIA",epithelial,MIF,ITGB1,0.010963374462026169,0.0,0.010963374462026169,29
