sample,sample_name,stage,broad_class,n_cells,denominator,fraction
GSM9237901,P3_Normal,Normal,ambiguous,83,2631,0.031546940326871914
GSM9237901,P3_Normal,Normal,b_plasma,143,2631,0.05435195743063474
GSM9237901,P3_Normal,Normal,dendritic,20,2631,0.007601672367920942
GSM9237901,P3_Normal,Normal,endothelial,324,2631,0.12314709236031927
GSM9237901,P3_Normal,Normal,epithelial,409,2631,0.15545419992398327
GSM9237901,P3_Normal,Normal,fibroblast,494,2631,0.18776130748764727
GSM9237901,P3_Normal,Normal,macrophage,370,2631,0.14063093880653743
GSM9237901,P3_Normal,Normal,mast_cell,82,2631,0.031166856708475865
GSM9237901,P3_Normal,Normal,neutrophil,39,2631,0.014823261117445839
GSM9237901,P3_Normal,Normal,t_nk,441,2631,0.1676168757126568
GSM9237901,P3_Normal,Normal,unassigned,226,2631,0.08589889775750666
GSM9237902,P3_AIS,AIS,ambiguous,179,5107,0.03504993146661445
GSM9237902,P3_AIS,AIS,b_plasma,183,5107,0.035833170158605834
GSM9237902,P3_AIS,AIS,dendritic,19,5107,0.003720383786959076
GSM9237902,P3_AIS,AIS,endothelial,502,5107,0.09829645584491874
GSM9237902,P3_AIS,AIS,epithelial,1683,5107,0.32954767965537496
GSM9237902,P3_AIS,AIS,fibroblast,748,5107,0.14646563540238888
GSM9237902,P3_AIS,AIS,macrophage,493,5107,0.09653416878793812
GSM9237902,P3_AIS,AIS,mast_cell,176,5107,0.03446250244762091
GSM9237902,P3_AIS,AIS,neutrophil,133,5107,0.026042686508713532
GSM9237902,P3_AIS,AIS,t_nk,676,5107,0.13236733894654396
GSM9237902,P3_AIS,AIS,unassigned,315,5107,0.061680046994321516
