stage,broad_class,n_samples,mean_fraction,sd_fraction,total_cells
AIS,ambiguous,1,0.03504993146661445,,179
AIS,b_plasma,1,0.035833170158605834,,183
AIS,dendritic,1,0.003720383786959076,,19
AIS,endothelial,1,0.09829645584491874,,502
AIS,epithelial,1,0.32954767965537496,,1683
AIS,fibroblast,1,0.14646563540238888,,748
AIS,macrophage,1,0.09653416878793812,,493
AIS,mast_cell,1,0.03446250244762091,,176
AIS,neutrophil,1,0.026042686508713532,,133
AIS,t_nk,1,0.13236733894654396,,676
AIS,unassigned,1,0.061680046994321516,,315
Normal,ambiguous,1,0.031546940326871914,,83
Normal,b_plasma,1,0.05435195743063474,,143
Normal,dendritic,1,0.007601672367920942,,20
Normal,endothelial,1,0.12314709236031927,,324
Normal,epithelial,1,0.15545419992398327,,409
Normal,fibroblast,1,0.18776130748764727,,494
Normal,macrophage,1,0.14063093880653743,,370
Normal,mast_cell,1,0.031166856708475865,,82
Normal,neutrophil,1,0.014823261117445839,,39
Normal,t_nk,1,0.1676168757126568,,441
Normal,unassigned,1,0.08589889775750666,,226
