display_rank,broad_class,class_label,target_gene,top_impacted_signature,signature_label,gene_position,impacted_gene
1,macrophage,Macrophage,CD44,c1q_macrophage_vs_other_macrophage,C1Q macrophage,1,MARCO
1,macrophage,Macrophage,CD44,c1q_macrophage_vs_other_macrophage,C1Q macrophage,2,MCEMP1
1,macrophage,Macrophage,CD44,c1q_macrophage_vs_other_macrophage,C1Q macrophage,3,INHBA
1,macrophage,Macrophage,CD44,c1q_macrophage_vs_other_macrophage,C1Q macrophage,4,LTA4H
1,macrophage,Macrophage,CD44,c1q_macrophage_vs_other_macrophage,C1Q macrophage,5,PPARG
2,macrophage,Macrophage,TREM2,c1q_macrophage_vs_other_macrophage,C1Q macrophage,1,APOE
2,macrophage,Macrophage,TREM2,c1q_macrophage_vs_other_macrophage,C1Q macrophage,2,APOC1
2,macrophage,Macrophage,TREM2,c1q_macrophage_vs_other_macrophage,C1Q macrophage,3,ACP5
2,macrophage,Macrophage,TREM2,c1q_macrophage_vs_other_macrophage,C1Q macrophage,4,CYP27A1
2,macrophage,Macrophage,TREM2,c1q_macrophage_vs_other_macrophage,C1Q macrophage,5,LGALS3
3,macrophage,Macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,1,APOE
3,macrophage,Macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,2,ACP5
3,macrophage,Macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,3,APOC1
3,macrophage,Macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,4,CHIT1
3,macrophage,Macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,5,CYP27A1
4,macrophage,Macrophage,CD74,c1q_macrophage_vs_other_macrophage,C1Q macrophage,1,C1QA
4,macrophage,Macrophage,CD74,c1q_macrophage_vs_other_macrophage,C1Q macrophage,2,C1QB
4,macrophage,Macrophage,CD74,c1q_macrophage_vs_other_macrophage,C1Q macrophage,3,C1QC
4,macrophage,Macrophage,CD74,c1q_macrophage_vs_other_macrophage,C1Q macrophage,4,APOE
4,macrophage,Macrophage,CD74,c1q_macrophage_vs_other_macrophage,C1Q macrophage,5,ACP5
5,epithelial,Epithelial,MIF,proliferating_epithelial_vs_other_epithelial,Proliferating epi,1,MDK
5,epithelial,Epithelial,MIF,proliferating_epithelial_vs_other_epithelial,Proliferating epi,2,EPCAM
5,epithelial,Epithelial,MIF,proliferating_epithelial_vs_other_epithelial,Proliferating epi,3,KRT8
5,epithelial,Epithelial,MIF,proliferating_epithelial_vs_other_epithelial,Proliferating epi,4,CD24
5,epithelial,Epithelial,MIF,proliferating_epithelial_vs_other_epithelial,Proliferating epi,5,PERP
6,macrophage,Macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,1,PRDM1
6,macrophage,Macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,2,GPR183
6,macrophage,Macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,3,ADAMDEC1
6,macrophage,Macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,4,PLA2G7
6,macrophage,Macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,5,APOE
7,macrophage,Macrophage,SPP1,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,1,MIF
7,macrophage,Macrophage,SPP1,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,2,ANXA2
7,macrophage,Macrophage,SPP1,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,3,TREM2
7,macrophage,Macrophage,SPP1,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,4,G0S2
7,macrophage,Macrophage,SPP1,spp1_macrophage_vs_other_macrophage,SPP1 macrophage,5,CAMK1
