signature,rank,gene,expected_celltype,top_celltype,top_mean_expression,specificity_status
epithelial_progenitor_like_vs_other_epithelial,1,KRT7,Epithelial cells,Epithelial cells,1.573822,expected
epithelial_progenitor_like_vs_other_epithelial,2,TACSTD2,Epithelial cells,Epithelial cells,1.2621814,expected
epithelial_progenitor_like_vs_other_epithelial,3,CLDN3,Epithelial cells,Epithelial cells,1.0199356,expected
epithelial_progenitor_like_vs_other_epithelial,4,KRT19,Epithelial cells,Epithelial cells,2.1193964,expected
epithelial_progenitor_like_vs_other_epithelial,5,KRT8,Epithelial cells,Epithelial cells,1.7875321,expected
epithelial_progenitor_like_vs_other_epithelial,6,CLDN4,Epithelial cells,Epithelial cells,1.6479083,expected
epithelial_progenitor_like_vs_other_epithelial,7,GDF15,Epithelial cells,Epithelial cells,0.8355422,expected
epithelial_progenitor_like_vs_other_epithelial,8,TNFRSF12A,Epithelial cells,Epithelial cells,0.88869053,expected
epithelial_progenitor_like_vs_other_epithelial,9,ANXA3,Epithelial cells,Epithelial cells,0.3411511,expected
epithelial_progenitor_like_vs_other_epithelial,10,CLDN7,Epithelial cells,Epithelial cells,0.96880203,expected
epithelial_progenitor_like_vs_other_epithelial,11,CRIP2,Epithelial cells,Endothelial cells,1.0248424,off_target
epithelial_progenitor_like_vs_other_epithelial,12,EPCAM,Epithelial cells,Epithelial cells,1.5270214,expected
epithelial_progenitor_like_vs_other_epithelial,13,CD24,Epithelial cells,Epithelial cells,0.95535636,expected
epithelial_progenitor_like_vs_other_epithelial,14,KRT18,Epithelial cells,Epithelial cells,2.0868473,expected
epithelial_progenitor_like_vs_other_epithelial,15,TM4SF1,Epithelial cells,Endothelial cells,1.6535448,off_target
epithelial_progenitor_like_vs_other_epithelial,16,EMP2,Epithelial cells,Epithelial cells,1.1570581,expected
epithelial_progenitor_like_vs_other_epithelial,17,CAV2,Epithelial cells,Endothelial cells,0.7386811,off_target
epithelial_progenitor_like_vs_other_epithelial,18,ANXA2,Epithelial cells,Epithelial cells,2.1341023,expected
epithelial_progenitor_like_vs_other_epithelial,19,MDK,Epithelial cells,Epithelial cells,1.6779981,expected
epithelial_progenitor_like_vs_other_epithelial,20,SPINT1,Epithelial cells,Epithelial cells,0.80071616,expected
epithelial_progenitor_like_vs_other_epithelial,21,PERP,Epithelial cells,Epithelial cells,1.1009884,expected
epithelial_progenitor_like_vs_other_epithelial,22,IFT57,Epithelial cells,Epithelial cells,0.6793995,expected
epithelial_progenitor_like_vs_other_epithelial,23,PLPP2,Epithelial cells,Epithelial cells,0.7428706,expected
epithelial_progenitor_like_vs_other_epithelial,24,CST6,Epithelial cells,Epithelial cells,0.5942903,expected
epithelial_progenitor_like_vs_other_epithelial,25,SOX4,Epithelial cells,Epithelial cells,1.3167295,expected
epithelial_progenitor_like_vs_other_epithelial,26,RND3,Epithelial cells,Epithelial cells,0.49253505,expected
epithelial_progenitor_like_vs_other_epithelial,27,IFI27,Epithelial cells,Endothelial cells,2.3318768,off_target
epithelial_progenitor_like_vs_other_epithelial,28,CYP4B1,Epithelial cells,Epithelial cells,0.13492198,expected
epithelial_progenitor_like_vs_other_epithelial,29,CTGF,Epithelial cells,Fibroblasts,0.95385444,off_target
epithelial_progenitor_like_vs_other_epithelial,30,RAB11FIP1,Epithelial cells,Epithelial cells,0.70861125,expected
proliferating_epithelial_vs_other_epithelial,1,PCNA,Epithelial cells,Epithelial cells,0.26746076,expected
proliferating_epithelial_vs_other_epithelial,2,TOP2A,Epithelial cells,Epithelial cells,0.13123812,expected
proliferating_epithelial_vs_other_epithelial,3,PCLAF,Epithelial cells,,,missing
proliferating_epithelial_vs_other_epithelial,4,MKI67,Epithelial cells,Epithelial cells,0.07881588,expected
proliferating_epithelial_vs_other_epithelial,5,STMN1,Epithelial cells,Epithelial cells,0.5643619,expected
proliferating_epithelial_vs_other_epithelial,6,CKS1B,Epithelial cells,Epithelial cells,0.5787548,expected
proliferating_epithelial_vs_other_epithelial,7,TUBB,Epithelial cells,Fibroblasts,1.1961304,off_target
proliferating_epithelial_vs_other_epithelial,8,TK1,Epithelial cells,Epithelial cells,0.23831794,expected
proliferating_epithelial_vs_other_epithelial,9,TYMS,Epithelial cells,Epithelial cells,0.1317634,expected
proliferating_epithelial_vs_other_epithelial,10,H2AFV,Epithelial cells,Epithelial cells,1.0010381,expected
proliferating_epithelial_vs_other_epithelial,11,UBE2T,Epithelial cells,Epithelial cells,0.16167782,expected
proliferating_epithelial_vs_other_epithelial,12,DEK,Epithelial cells,Epithelial cells,0.8578588,expected
proliferating_epithelial_vs_other_epithelial,13,NUCKS1,Epithelial cells,Epithelial cells,1.2358172,expected
proliferating_epithelial_vs_other_epithelial,14,UBE2C,Epithelial cells,Epithelial cells,0.21111032,expected
proliferating_epithelial_vs_other_epithelial,15,RANBP1,Epithelial cells,Epithelial cells,0.861361,expected
proliferating_epithelial_vs_other_epithelial,16,CARHSP1,Epithelial cells,Epithelial cells,0.6438885,expected
proliferating_epithelial_vs_other_epithelial,17,HMGB2,Epithelial cells,Epithelial cells,0.4057637,expected
proliferating_epithelial_vs_other_epithelial,18,HMGB3,Epithelial cells,Epithelial cells,0.8452219,expected
proliferating_epithelial_vs_other_epithelial,19,TUBA1B,Epithelial cells,Myeloid cells,1.7778149,off_target
proliferating_epithelial_vs_other_epithelial,20,H2AFY,Epithelial cells,Myeloid cells,1.0782311,off_target
proliferating_epithelial_vs_other_epithelial,21,SIVA1,Epithelial cells,Epithelial cells,0.9452421,expected
proliferating_epithelial_vs_other_epithelial,22,MYBL2,Epithelial cells,Epithelial cells,0.08387883,expected
proliferating_epithelial_vs_other_epithelial,23,CENPX,Epithelial cells,,,missing
proliferating_epithelial_vs_other_epithelial,24,ECI1,Epithelial cells,Epithelial cells,0.47025806,expected
proliferating_epithelial_vs_other_epithelial,25,RPL39L,Epithelial cells,Epithelial cells,0.294127,expected
proliferating_epithelial_vs_other_epithelial,26,JPT1,Epithelial cells,,,missing
proliferating_epithelial_vs_other_epithelial,27,NUSAP1,Epithelial cells,Epithelial cells,0.09485314,expected
proliferating_epithelial_vs_other_epithelial,28,TMEM106C,Epithelial cells,Epithelial cells,0.46523747,expected
proliferating_epithelial_vs_other_epithelial,29,HMGN2,Epithelial cells,Myeloid cells,1.2616092,off_target
proliferating_epithelial_vs_other_epithelial,30,DUT,Epithelial cells,Epithelial cells,0.6444322,expected
spp1_macrophage_vs_other_macrophage,1,SPP1,Myeloid cells,Myeloid cells,0.93069005,expected
spp1_macrophage_vs_other_macrophage,2,CHI3L1,Myeloid cells,Epithelial cells,0.30674732,off_target
spp1_macrophage_vs_other_macrophage,3,CHIT1,Myeloid cells,Myeloid cells,0.050692867,expected
spp1_macrophage_vs_other_macrophage,4,OTOA,Myeloid cells,Myeloid cells,0.15722148,expected
spp1_macrophage_vs_other_macrophage,5,HAMP,Myeloid cells,Myeloid cells,0.098566145,expected
spp1_macrophage_vs_other_macrophage,6,HBB,Myeloid cells,Myeloid cells,0.14002965,expected
spp1_macrophage_vs_other_macrophage,7,NCS1,Myeloid cells,Epithelial cells,0.04665847,off_target
spp1_macrophage_vs_other_macrophage,8,CTSK,Myeloid cells,Fibroblasts,0.89046305,off_target
spp1_macrophage_vs_other_macrophage,9,PLA2G7,Myeloid cells,Myeloid cells,0.23776612,expected
spp1_macrophage_vs_other_macrophage,10,CD9,Myeloid cells,Epithelial cells,1.5401087,off_target
spp1_macrophage_vs_other_macrophage,11,ADAMDEC1,Myeloid cells,Myeloid cells,0.07800059,expected
spp1_macrophage_vs_other_macrophage,12,SDS,Myeloid cells,Myeloid cells,0.17012922,expected
spp1_macrophage_vs_other_macrophage,13,FABP3,Myeloid cells,Myeloid cells,0.16065583,expected
spp1_macrophage_vs_other_macrophage,14,MATK,Myeloid cells,,0.16143781,off_target
spp1_macrophage_vs_other_macrophage,15,RARRES1,Myeloid cells,Fibroblasts,0.86616117,off_target
spp1_macrophage_vs_other_macrophage,16,SDC2,Myeloid cells,Fibroblasts,0.4649013,off_target
spp1_macrophage_vs_other_macrophage,17,GSDME,Myeloid cells,,,missing
spp1_macrophage_vs_other_macrophage,18,CHCHD6,Myeloid cells,Epithelial cells,0.18191883,off_target
spp1_macrophage_vs_other_macrophage,19,TREM2,Myeloid cells,Myeloid cells,0.76335996,expected
spp1_macrophage_vs_other_macrophage,20,RAB42,Myeloid cells,Myeloid cells,0.13688825,expected
spp1_macrophage_vs_other_macrophage,21,ATP6V0D2,Myeloid cells,Myeloid cells,0.0644246,expected
spp1_macrophage_vs_other_macrophage,22,SNCA,Myeloid cells,Endothelial cells,0.12761287,off_target
spp1_macrophage_vs_other_macrophage,23,CST6,Myeloid cells,Epithelial cells,0.5942903,off_target
spp1_macrophage_vs_other_macrophage,24,CAMK1,Myeloid cells,Myeloid cells,0.19337262,expected
spp1_macrophage_vs_other_macrophage,25,RAMP1,Myeloid cells,Epithelial cells,0.59084296,off_target
spp1_macrophage_vs_other_macrophage,26,EEPD1,Myeloid cells,Myeloid cells,0.07803874,expected
spp1_macrophage_vs_other_macrophage,27,OCIAD2,Myeloid cells,Epithelial cells,1.4588826,off_target
spp1_macrophage_vs_other_macrophage,28,WFDC2,Myeloid cells,Epithelial cells,1.9827259,off_target
spp1_macrophage_vs_other_macrophage,29,TNS1,Myeloid cells,Fibroblasts,0.28062406,off_target
spp1_macrophage_vs_other_macrophage,30,DEXI,Myeloid cells,Epithelial cells,0.21928017,off_target
c1q_macrophage_vs_other_macrophage,1,RBP4,Myeloid cells,Myeloid cells,0.25028056,expected
c1q_macrophage_vs_other_macrophage,2,NUPR1,Myeloid cells,Fibroblasts,1.4627814,off_target
c1q_macrophage_vs_other_macrophage,3,FABP4,Myeloid cells,Myeloid cells,0.95056266,expected
