perturbation_id,perturbation_type,perturbed_genes,perturbation_factor,axis_id,evidence_type,n_stage_rows,n_samples,baseline_panel_mean,panel_mean_delta,panel_relative_delta,observed_fraction_delta,dropout_priority_score
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,axis,"MIF,CD74,CXCR4,CD44",0.0,mif_cd74_cxcr4,target_near_epithelial_progenitor,2,30,0.321686721502,-0.321686721502,-1.0,-0.586767951846,1.586767951846
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,axis,"MIF,CD74,CXCR4,CD44",0.0,mif_cd74_cxcr4,source_near_epithelial_progenitor,2,30,0.09625260293,-0.09625260293,-1.0,-0.564983425945,1.564983425945
mif_cd74_cxcr4_gene_MIF_x0,gene,MIF,0.0,mif_cd74_cxcr4,source_near_epithelial_progenitor,2,30,0.09625260293,-0.09625260293,-1.0,-0.564983425945,1.564983425945
mif_cd74_cxcr4_gene_CD74_x0,gene,CD74,0.0,mif_cd74_cxcr4,target_near_epithelial_progenitor,2,30,0.321686721502,-0.209041001378,-0.713597953026,-0.003532636852,0.717130589878
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,axis,"MIF,CD74,CXCR4,CD44",0.5,mif_cd74_cxcr4,source_near_epithelial_progenitor,2,30,0.09625260293,-0.048126301465,-0.500000000064,0.0,0.500000000064
mif_cd74_cxcr4_gene_MIF_x0p5,gene,MIF,0.5,mif_cd74_cxcr4,source_near_epithelial_progenitor,2,30,0.09625260293,-0.048126301465,-0.500000000064,0.0,0.500000000064
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,axis,"MIF,CD74,CXCR4,CD44",0.5,mif_cd74_cxcr4,target_near_epithelial_progenitor,2,30,0.321686721502,-0.160843360751,-0.500000000004,0.0,0.500000000004
mif_cd74_cxcr4_gene_CD74_x0p5,gene,CD74,0.5,mif_cd74_cxcr4,target_near_epithelial_progenitor,2,30,0.321686721502,-0.104520500689,-0.356798976513,0.004738070991,0.356798976513
mif_cd74_cxcr4_gene_CD44_x0,gene,CD44,0.0,mif_cd74_cxcr4,target_near_epithelial_progenitor,2,30,0.321686721502,-0.086819856795,-0.227129317911,-0.017154399724,0.244283717635
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0,axis,"SPP1,TREM2,PLA2G7",0.0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,2,30,0.117722854479,-0.022528851607,-0.126820262584,-0.00801165548,0.134831918064
