perturbation_id,perturbation_type,perturbed_genes,perturbation_factor,axis_id,evidence_type,n_samples,baseline_coupling_score,perturbed_coupling_score,coupling_delta_mean,coupling_relative_delta_mean,continuous_priority_score
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,axis,"MIF,CD74,CXCR4,CD44",0.0,mif_cd74_cxcr4,source_near_epithelial_progenitor,30,0.143082251361,0.0,-0.143082251361,-1.0,1.0
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,axis,"MIF,CD74,CXCR4,CD44",0.0,mif_cd74_cxcr4,target_near_epithelial_progenitor,30,0.355514794523,0.0,-0.355514794523,-1.0,1.0
mif_cd74_cxcr4_gene_MIF_x0,gene,MIF,0.0,mif_cd74_cxcr4,source_near_epithelial_progenitor,30,0.143082251361,0.0,-0.143082251361,-1.0,1.0
mif_cd74_cxcr4_gene_CD74_x0,gene,CD74,0.0,mif_cd74_cxcr4,target_near_epithelial_progenitor,30,0.355514794523,0.1373094532,-0.218205341323,-0.740253169982,0.740253169982
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,axis,"MIF,CD74,CXCR4,CD44",0.5,mif_cd74_cxcr4,source_near_epithelial_progenitor,30,0.143082251361,0.07154112568,-0.07154112568,-0.5,0.5
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,axis,"MIF,CD74,CXCR4,CD44",0.5,mif_cd74_cxcr4,target_near_epithelial_progenitor,30,0.355514794523,0.177757397262,-0.177757397262,-0.5,0.5
mif_cd74_cxcr4_gene_MIF_x0p5,gene,MIF,0.5,mif_cd74_cxcr4,source_near_epithelial_progenitor,30,0.143082251361,0.07154112568,-0.07154112568,-0.5,0.5
mif_cd74_cxcr4_gene_CD74_x0p5,gene,CD74,0.5,mif_cd74_cxcr4,target_near_epithelial_progenitor,30,0.355514794523,0.246412123862,-0.109102670662,-0.370126584991,0.370126584991
mif_cd74_cxcr4_gene_CD44_x0,gene,CD44,0.0,mif_cd74_cxcr4,target_near_epithelial_progenitor,30,0.355514794523,0.248630849632,-0.106883944891,-0.199824375773,0.199824375773
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0,axis,"SPP1,TREM2,PLA2G7",0.0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,30,0.143756443545,0.114122836279,-0.029633607266,-0.172979673408,0.172979673408
spp1_trem2_macrophage_epithelial_gene_SPP1_x0,gene,SPP1,0.0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,30,0.143756443545,0.127957889687,-0.015798553859,-0.121293617325,0.121293617325
mif_cd74_cxcr4_gene_CD44_x0p5,gene,CD44,0.5,mif_cd74_cxcr4,target_near_epithelial_progenitor,30,0.355514794523,0.302072822078,-0.053441972445,-0.099912187887,0.099912187887
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0p5,axis,"SPP1,TREM2,PLA2G7",0.5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,30,0.143756443545,0.128939639912,-0.014816803633,-0.086489836704,0.086489836704
c1q_apoe_trem2_lgals3_gene_TREM2_x0,gene,TREM2,0.0,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,30,0.177090427082,0.160765672405,-0.016324754676,-0.062546883603,0.062546883603
spp1_trem2_macrophage_epithelial_gene_SPP1_x0p5,gene,SPP1,0.5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,30,0.143756443545,0.135857166616,-0.007899276929,-0.060646808663,0.060646808663
mif_cd74_cxcr4_gene_CXCR4_x0,gene,CXCR4,0.0,mif_cd74_cxcr4,target_near_epithelial_progenitor,30,0.355514794523,0.325089286214,-0.030425508309,-0.059922454244,0.059922454244
spp1_trem2_macrophage_epithelial_gene_TREM2_x0,gene,TREM2,0.0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,30,0.143756443545,0.135594066207,-0.008162377338,-0.0313596297,0.0313596297
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,gene,TREM2,0.5,c1q_apoe_trem2_lgals3,target_near_epithelial_progenitor,30,0.177090427082,0.168928049743,-0.008162377338,-0.031273441801,0.031273441801
mif_cd74_cxcr4_gene_CXCR4_x0p5,gene,CXCR4,0.5,mif_cd74_cxcr4,target_near_epithelial_progenitor,30,0.355514794523,0.340302040369,-0.015212754155,-0.029961227122,0.029961227122
c1q_apoe_trem2_lgals3_gene_TREM2_x0,gene,TREM2,0.0,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,30,0.194716672717,0.187720349285,-0.006996323433,-0.021436973459,0.021436973459
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,gene,PLA2G7,0.0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,30,0.143756443545,0.138083767476,-0.005672676069,-0.020326426382,0.020326426382
spp1_trem2_macrophage_epithelial_gene_TREM2_x0p5,gene,TREM2,0.5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,30,0.143756443545,0.139675254876,-0.004081188669,-0.01567981485,0.01567981485
c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,gene,TREM2,0.5,c1q_apoe_trem2_lgals3,source_near_epithelial_progenitor,30,0.194716672717,0.191218511001,-0.003498161716,-0.010718486729,0.010718486729
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0p5,gene,PLA2G7,0.5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,30,0.143756443545,0.140920105511,-0.002836338035,-0.010163213191,0.010163213191
