stage,macrophage_state,n_samples,mean_fraction,sd_fraction,total_cells
AAH,ambiguous_macrophage,9,0.03558661714570928,0.015502498913504867,228
AAH,c1q_macrophage,9,0.8392042813647338,0.04977574475491872,6133
AAH,inflammatory_macrophage,9,0.015109939941894277,0.007262580480389194,107
AAH,other_macrophage,8,0.008551492781694724,0.003624882740491654,40
AAH,resident_macrophage,9,0.04539100172828822,0.026991262334826033,258
AAH,spp1_macrophage,9,0.05710683290231247,0.02386877351550636,426
AIS,ambiguous_macrophage,14,0.04770248741528405,0.028227249711111853,887
AIS,c1q_macrophage,14,0.748746528861363,0.1694039930691781,12758
AIS,inflammatory_macrophage,14,0.033300045029535076,0.04294192603823967,360
AIS,other_macrophage,14,0.012467936080597016,0.01258401609718151,205
AIS,resident_macrophage,14,0.05668878257789529,0.032679375373585576,636
AIS,spp1_macrophage,14,0.10109422003532563,0.10617988536754666,2866
LUAD,ambiguous_macrophage,23,0.04004307409943468,0.021945253835058603,1401
LUAD,c1q_macrophage,23,0.793423235525727,0.1264208210311605,32321
LUAD,inflammatory_macrophage,23,0.02487307181908613,0.03333895003115825,607
LUAD,other_macrophage,22,0.01130213507030799,0.012188652869960017,270
LUAD,resident_macrophage,23,0.03187766117375149,0.021456288267361637,829
LUAD,spp1_macrophage,23,0.09897221948866254,0.06979840640858721,3683
MIA,ambiguous_macrophage,4,0.04550012306094171,0.00893034536613408,92
MIA,c1q_macrophage,4,0.7973164533389487,0.03735097765630449,1614
MIA,inflammatory_macrophage,4,0.03030091165357856,0.015719301903952126,73
MIA,other_macrophage,4,0.012355514179558588,0.0047303283054582765,21
MIA,resident_macrophage,4,0.060092189183121175,0.015829940439010336,105
MIA,spp1_macrophage,4,0.05443480858385122,0.02648152611743606,117
Normal,ambiguous_macrophage,23,0.039798536475197974,0.01685136837459193,676
Normal,c1q_macrophage,23,0.7996970433565559,0.10062571929710118,14774
Normal,inflammatory_macrophage,23,0.040744915640477324,0.03404274015813206,464
Normal,other_macrophage,21,0.012341824111200973,0.009248199306939776,105
Normal,resident_macrophage,23,0.05659022953106772,0.03385960116435264,668
Normal,spp1_macrophage,23,0.0519006529821262,0.03923590897689018,864
