stage,context,gene,n_samples,mean_expression,sd_expression,mean_detection_fraction,total_cells
AAH,all_cells,CD44,9,1.2258223931549823,0.204911948279103,0.49167839349887527,62892
AAH,all_cells,CD74,9,2.6060928605918363,0.6269919385639962,0.7417584706308661,62892
AAH,all_cells,CXCL8,9,0.0686428939645012,0.08393608720120566,0.03456647519377215,62892
AAH,all_cells,CXCR4,9,0.5249006975850485,0.3575950100257087,0.20313386785038834,62892
AAH,all_cells,IL1B,9,0.03581999104137766,0.023983866641098524,0.02287169881975559,62892
AAH,all_cells,MIF,9,0.2550648723527459,0.06971157024351565,0.16922068408909002,62892
AAH,all_cells,PLA2G7,9,0.0676485783936661,0.07400108995565527,0.03678072736682566,62892
AAH,all_cells,SPP1,9,0.013689094822737205,0.014999192058103595,0.006867594263530462,62892
AAH,all_cells,TNF,9,0.046052480617101016,0.03398868014597553,0.027026356700305787,62892
AAH,all_cells,TREM2,9,0.09724115044311704,0.04223748631659736,0.05592610685562311,62892
AAH,epithelial,CD44,9,1.4282917197852032,0.16390140510128826,0.5866642288941039,21552
AAH,epithelial,CD74,9,2.743595033911719,0.5930687846922449,0.8129792982387412,21552
AAH,epithelial,CXCL8,9,0.061929269725182215,0.09651760274756158,0.036485400159269994,21552
AAH,epithelial,CXCR4,9,0.27825587813199903,0.23551947817001118,0.12675250949165562,21552
AAH,epithelial,IL1B,9,0.012022219044629521,0.016927918073713244,0.008242379423470864,21552
AAH,epithelial,MIF,9,0.34141563717057505,0.08897938518156452,0.2380309890351638,21552
AAH,epithelial,PLA2G7,9,0.020158898352445213,0.027050027867047233,0.016110575553159145,21552
AAH,epithelial,SPP1,9,0.007424924586199337,0.006931768706821638,0.00494172464148626,21552
AAH,epithelial,TNF,9,0.01955028218078557,0.020643890897123922,0.01138849999963341,21552
AAH,epithelial,TREM2,9,0.024812786165089615,0.015110549793998526,0.017968779804658375,21552
AAH,macrophage,CD44,9,1.6979124109299664,0.25886077017102,0.6687169544751635,7192
AAH,macrophage,CD74,9,4.83487859090896,0.3020027698253297,0.9734331511437936,7192
AAH,macrophage,CXCL8,9,0.1809843898596747,0.12260573848295855,0.0960922863202423,7192
AAH,macrophage,CXCR4,9,0.7353512874306154,0.43132466613148285,0.36607032987521393,7192
AAH,macrophage,IL1B,9,0.15267834186027673,0.06595590662195622,0.11820920976473308,7192
AAH,macrophage,MIF,9,0.27555482510860774,0.05857219997209091,0.24812414675962977,7192
AAH,macrophage,PLA2G7,9,0.3912220143420611,0.3285181292442856,0.19387146334638977,7192
AAH,macrophage,SPP1,9,0.07283140225076218,0.08130721144491448,0.030850140550878244,7192
AAH,macrophage,TNF,9,0.09319791545723707,0.05322540782824102,0.08351504840521817,7192
AAH,macrophage,TREM2,9,0.6781468457629575,0.14098970787660212,0.37888631808799184,7192
AIS,all_cells,CD44,14,1.2164576357617687,0.18201085147473384,0.4806899115752206,146987
AIS,all_cells,CD74,14,2.3247568136031647,0.6050308463588623,0.6835425787506842,146987
AIS,all_cells,CXCL8,14,0.08179983102376609,0.05300492226190554,0.033576305086083065,146987
AIS,all_cells,CXCR4,14,0.45203133606432633,0.18173631255040812,0.17718143028578173,146987
AIS,all_cells,IL1B,14,0.04282616262413097,0.026633525485886368,0.023305071863614153,146987
AIS,all_cells,MIF,14,0.20298936888438315,0.08884739565871606,0.13445504758293952,146987
AIS,all_cells,PLA2G7,14,0.06247225137401568,0.048847123445646776,0.032281539424118454,146987
AIS,all_cells,SPP1,14,0.04192886194485183,0.07757883710577759,0.017391814591218763,146987
AIS,all_cells,TNF,14,0.028312116695395125,0.013399259180665084,0.01693700232686647,146987
AIS,all_cells,TREM2,14,0.08995861099351661,0.05238850060608967,0.049923871183454205,146987
AIS,epithelial,CD44,14,1.4435992524979326,0.26792350446716945,0.5847287784496521,47943
AIS,epithelial,CD74,14,2.4612887362576363,0.6630297816740546,0.7452903621225673,47943
AIS,epithelial,CXCL8,14,0.07965112178741715,0.0527597942015382,0.03637547514918583,47943
AIS,epithelial,CXCR4,14,0.24079116479945067,0.13818848791497976,0.10772149369114968,47943
AIS,epithelial,IL1B,14,0.011424893885606942,0.007261779056822459,0.006422698296949226,47943
AIS,epithelial,MIF,14,0.27838398582733703,0.12205922255258789,0.1923739654248115,47943
AIS,epithelial,PLA2G7,14,0.015682512323531097,0.01708065231405319,0.010691308152490486,47943
AIS,epithelial,SPP1,14,0.017010816564471447,0.036086872828297055,0.010330028306386059,47943
AIS,epithelial,TNF,14,0.011195807733577546,0.0056277712074257295,0.006678487578944116,47943
AIS,epithelial,TREM2,14,0.02204737645590285,0.019839893429316795,0.016336263351661825,47943
AIS,macrophage,CD44,14,1.7469645281612318,0.3014435887275465,0.674887685500586,17712
AIS,macrophage,CD74,14,4.435642407640196,0.7890290175257515,0.9472798053516763,17712
AIS,macrophage,CXCL8,14,0.26052151371269266,0.22190903182289695,0.1040266175317066,17712
AIS,macrophage,CXCR4,14,0.6385506156091388,0.2075025354522392,0.3259840442276966,17712
AIS,macrophage,IL1B,14,0.20346909711777264,0.07317156571072414,0.13057041047022963,17712
AIS,macrophage,MIF,14,0.21495695923572242,0.10922029844264054,0.19257857254347813,17712
AIS,macrophage,PLA2G7,14,0.4473550731064133,0.254139731414553,0.21841689480043214,17712
AIS,macrophage,SPP1,14,0.21276505321118305,0.2760904322349849,0.07403636267560544,17712
AIS,macrophage,TNF,14,0.07785035585216038,0.04598800806858982,0.06325587757283106,17712
AIS,macrophage,TREM2,14,0.6652583028888955,0.22419222372062,0.34945410378825104,17712
LUAD,all_cells,CD44,24,1.267513387287282,0.20333396986037605,0.5170150962031437,378480
LUAD,all_cells,CD74,24,2.7666663590062726,0.6780889571450777,0.7728045011691042,378480
LUAD,all_cells,CXCL8,24,0.10240598310613075,0.07746226915577954,0.04624008306611311,378480
LUAD,all_cells,CXCR4,24,0.7711962379288484,0.4406483637335236,0.2892646269884815,378480
LUAD,all_cells,IL1B,24,0.037658309984681275,0.022438698811900682,0.019978620843844958,378480
LUAD,all_cells,MIF,24,0.35605079410924373,0.1979598635328929,0.21352997307631028,378480
LUAD,all_cells,PLA2G7,24,0.0774225632320614,0.059556708634593024,0.04377032782679983,378480
LUAD,all_cells,SPP1,24,0.15853402200657182,0.15985469560713572,0.069221507119167,378480
LUAD,all_cells,TNF,24,0.03256219119446394,0.018479599289648117,0.01867741375726939,378480
LUAD,all_cells,TREM2,24,0.10578214923099293,0.04283153855410671,0.05719718841141671,378480
LUAD,epithelial,CD44,24,1.4010368206604826,0.22662250256877606,0.6083102710676909,101812
LUAD,epithelial,CD74,24,2.895662199596919,0.7261973098857292,0.8383570205394283,101812
LUAD,epithelial,CXCL8,24,0.14935440650410908,0.12027878530370822,0.07733100581252222,101812
LUAD,epithelial,CXCR4,24,0.2935557269989258,0.177236693799889,0.15977953155205912,101812
LUAD,epithelial,IL1B,24,0.01440344213636602,0.009975951768563899,0.01078674024671792,101812
LUAD,epithelial,MIF,24,0.5765979015436372,0.3279316433670089,0.3533794964282728,101812
LUAD,epithelial,PLA2G7,24,0.02063736535152997,0.02334154951686315,0.019727090090568236,101812
LUAD,epithelial,SPP1,24,0.10106700974439907,0.11668820359556883,0.07358439765735716,101812
LUAD,epithelial,TNF,24,0.012061453194921759,0.009463657061597045,0.009229726705368512,101812
LUAD,epithelial,TREM2,24,0.025231940070320303,0.012761827645261804,0.023856378329199755,101812
LUAD,macrophage,CD44,24,1.6600708680617162,0.3423295944994099,0.6533724440410013,39111
LUAD,macrophage,CD74,24,4.76559073514704,0.6341621238036325,0.9639470366588769,39111
LUAD,macrophage,CXCL8,24,0.21132146485240053,0.18182693622198515,0.08934923662068994,39111
LUAD,macrophage,CXCR4,24,0.8971459678230274,0.31917257492437234,0.40955049295428664,39111
LUAD,macrophage,IL1B,24,0.17159240033071455,0.06822267692673036,0.101622080753845,39111
LUAD,macrophage,MIF,24,0.3096385617319079,0.18454871875624065,0.2265136167668782,39111
LUAD,macrophage,PLA2G7,24,0.5069583926778717,0.2249657306368071,0.25777581181609494,39111
LUAD,macrophage,SPP1,24,0.6021458028532282,0.5555121761375149,0.1789379261874693,39111
LUAD,macrophage,TNF,24,0.06944458579762341,0.04215901724464671,0.05721385079576815,39111
LUAD,macrophage,TREM2,24,0.7546133987511524,0.19755226838852757,0.3764635272946886,39111
MIA,all_cells,CD44,4,1.0577838474592443,0.21067110027113115,0.4111907140970974,27831
MIA,all_cells,CD74,4,2.05191029450679,0.15518746804183214,0.6244633559541879,27831
MIA,all_cells,CXCL8,4,0.04583587378455076,0.033862340504661304,0.019945264882365185,27831
MIA,all_cells,CXCR4,4,0.3986292058914404,0.24355089056517404,0.14540152901566783,27831
MIA,all_cells,IL1B,4,0.03616570553624652,0.016169120393518345,0.017457599654435607,27831
MIA,all_cells,MIF,4,0.16932903862380783,0.04204981269627005,0.10629711256823952,27831
MIA,all_cells,PLA2G7,4,0.030502173472725803,0.008002515800840831,0.015058681397267154,27831
MIA,all_cells,SPP1,4,0.009162060802723814,0.004024903904683437,0.004197871993249123,27831
MIA,all_cells,TNF,4,0.036537423927617906,0.01701146904006308,0.018329185925484014,27831
MIA,all_cells,TREM2,4,0.05157808636027353,0.005391659480110045,0.02728053058663416,27831
MIA,epithelial,CD44,4,1.2889718657163898,0.26661985311852215,0.5391343450223633,7603
MIA,epithelial,CD74,4,2.3364813099568336,0.1606259613471194,0.7377929386904033,7603
MIA,epithelial,CXCL8,4,0.05387380704168801,0.044869890354105026,0.027890552276311924,7603
MIA,epithelial,CXCR4,4,0.15430359390927562,0.06946335205660256,0.07039674148764972,7603
MIA,epithelial,IL1B,4,0.01028139362281042,0.009042503606953162,0.006251973271281394,7603
MIA,epithelial,MIF,4,0.30317352567842026,0.06397638675622606,0.21805216734208524,7603
MIA,epithelial,PLA2G7,4,0.007060239408886651,0.004166548493104842,0.004613505139041565,7603
MIA,epithelial,SPP1,4,0.003541763247153617,0.0016971549225383495,0.003078756001216866,7603
MIA,epithelial,TNF,4,0.008850657720244076,0.004741586099450643,0.005912731019268928,7603
MIA,epithelial,TREM2,4,0.011114780179394787,0.005120916147274637,0.007991037502777675,7603
MIA,macrophage,CD44,4,1.6383298142181606,0.34285872479762014,0.6216651871066448,2022
MIA,macrophage,CD74,4,4.6715018061854625,0.1887486885954642,0.9684439184576017,2022
MIA,macrophage,CXCL8,4,0.18802471660760964,0.05836625458094517,0.07677150999894647,2022
MIA,macrophage,CXCR4,4,0.6332032673106125,0.27238245312462445,0.30686789799912617,2022
MIA,macrophage,IL1B,4,0.2666528898434628,0.04410911610346314,0.13544579520511982,2022
MIA,macrophage,MIF,4,0.16327706028774283,0.059520137809436977,0.1360899303169958,2022
MIA,macrophage,PLA2G7,4,0.3004959954095877,0.0652613725603007,0.1464978963318659,2022
MIA,macrophage,SPP1,4,0.06970561073260764,0.039081225026057785,0.02778843546436472,2022
MIA,macrophage,TNF,4,0.1129496704927471,0.018809020284993313,0.082005744792548,2022
MIA,macrophage,TREM2,4,0.5643669112531537,0.10109113584399443,0.29618657415783145,2022
Normal,all_cells,CD44,24,1.203573435095793,0.20723173015036106,0.46336385453652557,181910
Normal,all_cells,CD74,24,2.1957609423016105,0.6145689952083087,0.6575254700914323,181910
Normal,all_cells,CXCL8,24,0.09765718668185806,0.08183945512737346,0.04006821140139357,181910
Normal,all_cells,CXCR4,24,0.4274182908993606,0.26985019437992963,0.16564919891355676,181910
Normal,all_cells,IL1B,24,0.045231334128180194,0.02767815793283566,0.023005512161755757,181910
Normal,all_cells,MIF,24,0.17973059915953005,0.08818284006301942,0.11580230875750745,181910
Normal,all_cells,PLA2G7,24,0.05140252811710033,0.054977660129221305,0.02672433336201517,181910
Normal,all_cells,SPP1,24,0.013245950233528876,0.014793835231614615,0.00639918179824768,181910
Normal,all_cells,TNF,24,0.03261263385264298,0.022824031444851792,0.018934569341017556,181910
Normal,all_cells,TREM2,24,0.06824784193879085,0.0405792127040608,0.03945380852547283,181910
Normal,epithelial,CD44,24,1.3763771357726418,0.1933637130866987,0.538173379709991,56242
Normal,epithelial,CD74,24,2.279200904529166,0.545669420175675,0.7185388427441979,56242
Normal,epithelial,CXCL8,24,0.12027240837088493,0.18828016170464534,0.04870197432853527,56242
Normal,epithelial,CXCR4,24,0.22741036309321003,0.1934953446140615,0.09862349499054295,56242
Normal,epithelial,IL1B,24,0.013861242465288989,0.010617705465206576,0.007309095651281766,56242
Normal,epithelial,MIF,24,0.2269069481151744,0.09303720494822582,0.15088457460081375,56242
Normal,epithelial,PLA2G7,24,0.011318680919956445,0.011086345076042559,0.0067273915139709475,56242
Normal,epithelial,SPP1,24,0.0073157061237147745,0.01173100805611504,0.004597901099763737,56242
Normal,epithelial,TNF,24,0.015091456719002218,0.015439558069715573,0.008278198597538563,56242
Normal,epithelial,TREM2,24,0.017900042299680296,0.01660745215441621,0.011640007308302348,56242
Normal,macrophage,CD44,24,1.802180537438327,0.3814493100048922,0.6719212179444279,17551
Normal,macrophage,CD74,24,4.494966607767348,0.5891528723392142,0.9547928199035737,17551
Normal,macrophage,CXCL8,24,0.26290335721403774,0.18881240735831004,0.10869212314933474,17551
Normal,macrophage,CXCR4,24,0.5803501515671957,0.314696003541076,0.28502470324781276,17551
Normal,macrophage,IL1B,24,0.2156713519686124,0.10862473230621576,0.12932490806834354,17551
Normal,macrophage,MIF,24,0.2040366526894577,0.09394652354428841,0.17691839386665456,17551
Normal,macrophage,PLA2G7,24,0.3051611734677716,0.22891795918587443,0.1473393306655247,17551
Normal,macrophage,SPP1,24,0.06939600830404358,0.07725472027357522,0.027595554509681434,17551
Normal,macrophage,TNF,24,0.09874323428286545,0.060894126976909366,0.07769886671214231,17551
Normal,macrophage,TREM2,24,0.5099376303406237,0.18229402299943215,0.2919369969873847,17551
